,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
14,"In addition , it offered the United States and Israel a way to work around Mr . Arafat .","In addition , it offered 미국과 이스라엘 a way to work around Mr . Arafat .",the United States and Israel,미국과 이스라엘,"When the prime minister ' s position was established in the spring , it offered the United States and Israel a way to work around Arafat .","When the prime minister ' s position was established in the spring , it offered 미국과 이스라엘 a way to work around Arafat .",the United States and Israel,미국과 이스라엘,3.5999999046325684
15,A white dog is playing with a ball on the beach .,하얀 개 is playing with a ball on the beach .,A white dog,하얀 개,A black and white dog is playing with a tan dog .,흑백 개 is playing with a tan dog .,A black and white dog,흑백 개,1.600000023841858
16,A man is fishing .,한 남자 is fishing .,A man,한 남자,A man is exercising .,한 남자 is exercising .,A man,한 남자,0.5
17,A cat reclines on an office chair .,고양이 reclines on an office chair .,A cat,고양이,A ginger cat sitting on an office chair .,생강 고양이 sitting on an office chair .,A ginger cat,생강 고양이,3.799999952316284
18,Swiss tourist gang - raped in India,스위스 관광 갱단 - raped in India,Swiss tourist gang,스위스 관광 갱단,Swiss tourist gang - raped in India,스위스 관광 갱단 - raped in India,Swiss tourist gang,스위스 관광 갱단,5.0
19,Assad warns Turkey of ' heavy price ' for backing Syrian rebels,Assad warns Turkey of '무거운 가격' for backing Syrian rebels,' heavy price ','무거운 가격',Cabinet at war over arming Syrian rebels,Cabinet at war over arming 시리아 반군,Syrian rebels,시리아 반군,1.0
20,"Where long - lines used to catch 10 fish per 100 hooks in past decades , they are now lucky to catch one , the study found .","Where long - lines used to catch 10 fish per 100 hooks in past decades , they are now lucky to catch one , 연구 found .",the study,연구,""" Whereas long lines used to catch 10 fish per 100 hooks , now they are lucky to catch one , "" Myers said .",""" Whereas 긴 줄 used to catch 10 fish per 100 hooks , now they are lucky to catch one , "" Myers said .",long lines,긴 줄,4.199999809265137
21,A woman standing in front of trees and smiling .,여자 standing in front of trees and smiling .,A woman,여자,A man is walking by trees in front of the city skyline .,한 남자 is walking by trees in front of the city skyline .,A man,한 남자,2.0
22,The man is riding a motorcycle down the road .,그 남자 is riding a motorcycle down the road .,The man,그 남자,A man is riding a red motorcycle on the road .,한 남자 is riding a red motorcycle on the road .,A man,한 남자,4.0
23,A federal grand jury indicted them on Tuesday ; the document was sealed until yesterday to allow authorities to make arrests .,연방 대배심 indicted them on Tuesday ; the document was sealed until yesterday to allow authorities to make arrests .,A federal grand jury,연방 대배심,Federal officials said the document remained sealed until Thursday morning to allow authorities to make arrests in five Western states .,연방 공무원 said the document remained sealed until Thursday morning to allow authorities to make arrests in five Western states .,Federal officials,연방 공무원,3.400000095367432
24,"As I understand it , nothing that can be changed , or broken down into smaller parts is inherently real .","As I understand it , 변경되거나 더 작은 부분으로 분해될 수 있는 것은 없습니다 is inherently real .","nothing that can be changed , or broken down into smaller parts",변경되거나 더 작은 부분으로 분해될 수 있는 것은 없습니다,Our interactions are merely depends on where we put our perception .,우리의 상호 작용 are merely depends on where we put our perception .,Our interactions,우리의 상호 작용,0.4000000059604645
25,A man is playing a violin .,한 남자 is playing a violin .,A man,한 남자,A woman is using a sewing machine .,여자 is using a sewing machine .,A woman,여자,0.0
26,"Two women sitting on a bench , their faces obscured , with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume .","두 여자 sitting on a bench , their faces obscured , with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume .",Two women,두 여자,A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit .,여자 sits on a bench holding an inflatable tiger next to another girl in a colorful outfit .,A girl,여자,2.200000047683716
27,a cyclist is making his bike jump between two rocks .,a cyclist is making 그의 자전거 jump between two rocks .,his bike,그의 자전거,A man jumps his bicycle in the air between two rocks .,한 남자 jumps his bicycle in the air between two rocks .,A man,한 남자,4.400000095367432
28,House - Senate deal reached on payroll tax measure,House - 상원 거래 reached on payroll tax measure,Senate deal,상원 거래,Negotiators reach deal on Congress payroll tax cut bill,Negotiators reach 의회 급여세 감면 법안에 대한 거래,deal on Congress payroll tax cut bill,의회 급여세 감면 법안에 대한 거래,3.799999952316284
29,A boat with four sails is sailing on water .,네 개의 돛이 달린 배 is sailing on water .,A boat with four sails,네 개의 돛이 달린 배,Sail boat sailing on the water .,Sail boat sailing on 물 .,the water,물,3.5999999046325684
30,A woman is slipping in the water - tub .,여자 is slipping in the water - tub .,A woman,여자,A woman is lying in a raft .,여자 is lying in a raft .,A woman,여자,0.800000011920929
31,Several black Democratic leaders were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs .,여러 흑인 민주당 지도자 were attempting to arrange a meeting with DNC chairman Terry McAuliffe to discuss the layoffs .,Several black Democratic leaders,여러 흑인 민주당 지도자,Black Democratic leaders were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters .,흑인 민주당 지도자 were trying to arrange a meeting with Democratic National Committee Chairman Terry McAuliffe to discuss the layoffs of 10 minority staffers at party headquarters .,Black Democratic leaders,흑인 민주당 지도자,3.25
32,Activists say they fear the gathering is an attempt by corporate farming to push bio - engineered crops on starving countries .,Activists say they fear 모임 is an attempt by corporate farming to push bio - engineered crops on starving countries .,the gathering,모임,"Instead , they fear the conference is an attempt by corporate farming and biotech interests to push into new markets .","Instead , they fear 회의 is an attempt by corporate farming and biotech interests to push into new markets .",the conference,회의,3.0
33,A woman mixes a beauty treatment in a glass .,여자 mixes a beauty treatment in a glass .,A woman,여자,A woman is mixing a cream in a glass with a spoon .,여자 is mixing a cream in a glass with a spoon .,A woman,여자,3.5999999046325684
34,Li Na to announce retirement,리나 to announce retirement,Li Na,리나,US Senator Ted Cruz to announce presidential bid,테드 크루즈 미 상원의원 to announce presidential bid,US Senator Ted Cruz,테드 크루즈 미 상원의원,0.0
35,A man plays the guitar .,한 남자 plays the guitar .,A man,한 남자,A man is playing the guitar .,한 남자 is playing the guitar .,A man,한 남자,5.0
36,Dozens injured as Boeing 777 jet crash lands at San Francisco airport,Dozens injured as 보잉 777 제트기 추락 lands at San Francisco airport,Boeing 777 jet crash,보잉 777 제트기 추락,Asiana Air Boeing 777 crash lands at San Francisco airport,아시아나항공 보잉 777기 추락사고 lands at San Francisco airport,Asiana Air Boeing 777 crash,아시아나항공 보잉 777기 추락사고,3.799999952316284
37,A group of people having a drink .,그룹 of people having a drink .,A group,그룹,A row of locomotives on a siding in a field .,기관차의 행렬 on a siding in a field .,A row of locomotives,기관차의 행렬,0.0
38,Sri Lanka seek one - day revival against Pakistan,스리랑카 seek one - day revival against Pakistan,Sri Lanka,스리랑카,Senior journalist killed in Pakistan,선임기자 killed in Pakistan,Senior journalist,선임기자,0.6000000238418579
39,6 . 1 - magnitude quake strikes Indonesia,6  1 - 규모 지진 strikes Indonesia,6 . 1 - magnitude quake,6  1 - 규모 지진,"6 . 1 - magnitude quake hits Papua , Indonesia - - USGS","6  1 - 규모 지진 hits Papua , Indonesia - - USGS",6 . 1 - magnitude quake,6  1 - 규모 지진,4.199999809265137
40,A person is slicing an onion .,사람 is slicing an onion .,A person,사람,A cat is pooping into a toilet .,고양이 is pooping into a toilet .,A cat,고양이,0.0
41,"When the bomb exploded at the Casa de España , customers were eating dinner and playing bingo .","When 폭탄 exploded at the Casa de España , customers were eating dinner and playing bingo .",the bomb,폭탄,"At the Casa de Espaa , customers were eating dinner and playing bingo when a bomb went off .","At 스페인의 집 , customers were eating dinner and playing bingo when a bomb went off .",the Casa de Espaa,스페인의 집,5.0
42,A dog is chasing cows .,개 is chasing cows .,A dog,개,A white dog is chasing cows .,하얀 개 is chasing cows .,A white dog,하얀 개,4.0
43,A child is jumping into a swimming pool .,아이 is jumping into a swimming pool .,A child,아이,A dog jumping into a swimming pool .,개 jumping into a swimming pool .,A dog,개,1.2000000476837158
44,"17 killed , 133 wounded in bomb attacks in northern Iraq","17 killed , 133 wounded in 이라크 북부 폭탄 테러",bomb attacks in northern Iraq,이라크 북부 폭탄 테러,"15 killed , 90 wounded in fresh attacks in Iraq","15 killed , 90 wounded in 이라크의 새로운 공격",fresh attacks in Iraq,이라크의 새로운 공격,2.799999952316284
45,Russian Air Force celebrates 100 th anniversary,러시아 공군 celebrates 100 th anniversary,Russian Air Force,러시아 공군,Russian air force ' s 100 th anniversary,러시아 공군의 100 th anniversary,Russian air force ' s,러시아 공군의,4.400000095367432
46,Classic crossword - Saturday 1 st June,클래식 크로스워드 - Saturday 1 st June,Classic crossword,클래식 크로스워드,Classic crossword - Saturday 20 th April,클래식 크로스워드 - Saturday 20 th April,Classic crossword,클래식 크로스워드,1.600000023841858
47,A woman is slicing an onion .,여자 is slicing an onion .,A woman,여자,A woman is cutting an onion .,여자 is cutting an onion .,A woman,여자,4.199999809265137
48,A man with a messenger bag in front of a gray tile wall .,한 남자 with a messenger bag in front of a gray tile wall .,A man,한 남자,Man in red jacket standing in front of lighthouse .,빨간 재킷을 입은 남자 standing in front of lighthouse .,Man in red jacket,빨간 재킷을 입은 남자,0.800000011920929
49,The effort is the Bush administration ' s latest effort to expand the role of religious organizations in government services .,노력 is the Bush administration ' s latest effort to expand the role of religious organizations in government services .,The effort,노력,July 10 - The Bush administration ' s latest effort to expand the role of religious organizations in government services enlists church - based youth groups in anti - drug programs .,July 10 - 정부 서비스에서 종교 단체의 역할을 확대하려는 부시 행정부의 최근 노력 enlists church - based youth groups in anti - drug programs .,The Bush administration ' s latest effort to expand the role of religious organizations in government services,정부 서비스에서 종교 단체의 역할을 확대하려는 부시 행정부의 최근 노력,3.25
50,""" If you pass this bill , Big Brother will be watching you , "" said Rep . John Mabry , D - Waco .",""" If you pass this bill , Big Brother will be watching you , "" said 대표  John Mabry , D - Waco .","Rep . John Mabry , D - Waco","대표  John Mabry , D - Waco",""" If you pass this bill , "" Rep . John Mabry Jr . , D - Waco , told colleagues , "" Big Brother will be watching you . """,""" If you pass this bill , "" 대표 존 마브리 주니어 , D - Waco , told colleagues , "" Big Brother will be watching you . """,Rep . John Mabry Jr .,대표 존 마브리 주니어,4.800000190734863
51,Eye Opener : Supreme Court rules on Arizona immigration law,아이 오프너 : Supreme Court rules on Arizona immigration law,Eye Opener,아이 오프너,U . S . Supreme Court issues split ruling on Arizona immigration law,U 에스 대법원 문제 split ruling on Arizona immigration law,U . S . Supreme Court issues,U 에스 대법원 문제,3.799999952316284
52,Man dies in Co Donegal house fire,Man dies in 공동 Donegal 집 화재,Co Donegal house fire,공동 Donegal 집 화재,Woman dies in Co Cork house fire,Woman dies in 공동 코르크 하우스 화재,Co Cork house fire,공동 코르크 하우스 화재,2.200000047683716
53,I am not the one claiming the right to decide over another woman ' s body .,I am not 다른 여성의 몸에 대한 결정권을 주장하는 사람 .,the one claiming the right to decide over another woman ' s body,다른 여성의 몸에 대한 결정권을 주장하는 사람,You want others to decide over a woman body .,You want others to decide over 여자 몸 .,a woman body,여자 몸,2.799999952316284
54,There are two men near a wall .,There are 벽 근처의 두 남자 .,two men near a wall,벽 근처의 두 남자,Three women are sitting near a wall .,세 여자 are sitting near a wall .,Three women,세 여자,2.0
55,Syria welcomes Iran ' s nuclear deal,Syria welcomes 이란 핵협상,Iran ' s nuclear deal,이란 핵협상,"Iran , six world powers clinch breakthrough nuclear deal","이란, 6개 세계 강국 clinch breakthrough nuclear deal","Iran , six world powers","이란, 6개 세계 강국",3.0
56,Pro - Palestinian Activists March to UN Headquarters,Pro - Palestinian Activists March to 유엔 본부,UN Headquarters,유엔 본부,Pro - Palestinian activists prepare flotilla to break Gaza blockade,친-팔레스타인 활동가 prepare flotilla to break Gaza blockade,Pro - Palestinian activists,친-팔레스타인 활동가,2.0
57,Dozens dead in Taliban resort attack,Dozens dead in 탈레반 리조트 공격,Taliban resort attack,탈레반 리조트 공격,' India police name 3 Iranians in embassy attack ',' 인도 경찰 name 3 Iranians in embassy attack ',India police,인도 경찰,0.4000000059604645
58,iran is the most prolific applier of the death penalty in the world after china .,iran is 중국 다음으로 세계에서 사형을 가장 많이 시행하는 국가 .,the most prolific applier of the death penalty in the world after china,중국 다음으로 세계에서 사형을 가장 많이 시행하는 국가,the islamic republic is the most prolific applier of the death penalty in the world after china .,이슬람 공화국 is the most prolific applier of the death penalty in the world after china .,the islamic republic,이슬람 공화국,3.799999952316284
59,"Since you ' re being kind of vague here , I can only give you a vague answer .","Since you ' re being kind of vague here , I can only give you 막연한 대답 .",a vague answer,막연한 대답,"In general , warming up your muscles only requires performing the movement with lower weights .","In general , warming up 당신의 근육 only requires performing the movement with lower weights .",your muscles,당신의 근육,0.0
60,"On Sunday , a U . S . soldier was killed and another injured in southern Iraq when a munitions dump exploded .","On Sunday , 유 에스 군인 was killed and another injured in southern Iraq when a munitions dump exploded .",a U . S . soldier,유 에스 군인,"On Sunday , a U . S . soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq .","On Sunday , 유 에스 군인 was killed and another injured when a munitions dump they were guarding exploded in southern Iraq .",a U . S . soldier,유 에스 군인,3.75
61,A rabbit is running from an eagle .,토끼 is running from an eagle .,A rabbit,토끼,A hare is running from a eagle .,토끼 is running from a eagle .,A hare,토끼,4.199999809265137
62,A man is throwing knives at a tree .,한 남자 is throwing knives at a tree .,A man,한 남자,A man is showing magic .,한 남자 is showing magic .,A man,한 남자,1.75
63,Obama endorses same - sex marriage,Obama endorses 동성 결혼,same - sex marriage,동성 결혼,Obama ' s delicate dance on same - sex marriage,오바마의 섬세한 춤 on same - sex marriage,Obama ' s delicate dance,오바마의 섬세한 춤,2.5999999046325684
64,Egypt ' s Coptic Pope Shenuda III dies,이집트 콥트교 교황 셰누다 3세 dies,Egypt ' s Coptic Pope Shenuda III,이집트 콥트교 교황 셰누다 3세,Egypt prepares to bury Coptic Pope Shenuda III,Egypt prepares to bury 콥트교 교황 셰누다 3세,Coptic Pope Shenuda III,콥트교 교황 셰누다 3세,3.5999999046325684
65,' No Evidence ' In Afghanistan Massacre Case,' No Evidence ' In 아프가니스탄 학살 사건,Afghanistan Massacre Case,아프가니스탄 학살 사건,"US toll in Afghanistan hits 2 , 000","아프가니스탄의 미국 통행료 hits 2 , 000",US toll in Afghanistan,아프가니스탄의 미국 통행료,0.800000011920929
66,Twelve killed in bomb blast on Pakistani train,Twelve killed in 폭탄 폭발 on Pakistani train,bomb blast,폭탄 폭발,Five killed by bomb blast in East India,Five killed by 폭탄 폭발 in East India,bomb blast,폭탄 폭발,1.0
67,"Properly executed weight training will increase , not decrease , your flexibility and mobility .","제대로 된 웨이트 트레이닝 will increase , not decrease , your flexibility and mobility .",Properly executed weight training,제대로 된 웨이트 트레이닝,I ' ve seen guys that are still very flexable while lifting weights .,I ' ve seen 웨이트를 들어도 여전히 매우 유연한 사람들 .,guys that are still very flexable while lifting weights,웨이트를 들어도 여전히 매우 유연한 사람들,2.200000047683716
68,"12 killed , 25 injured in bomb blast in NW Pakistan","12 killed , 25 injured in NW 파키스탄에서 폭탄 폭발",bomb blast in NW Pakistan,NW 파키스탄에서 폭탄 폭발,"6 killed , 12 injured in blast in NW Pakista","6 killed , 12 injured in blast in NW 파키스탄",NW Pakista,NW 파키스탄,2.5999999046325684
69,Avengers sets box office record,Avengers sets 박스오피스 기록,box office record,박스오피스 기록,' Hunger Games ' sets box office records,' 헝거 게임 ' sets box office records,' Hunger Games ',' 헝거 게임 ',1.600000023841858
70,Austrian found hoarding 56 stolen skulls in home museum,Austrian found hoarding 56개의 도난당한 두개골 in home museum,56 stolen skulls,56개의 도난당한 두개골,Austrian man charged after 56 human skulls are found at his home,오스트리아 남자 charged after 56 human skulls are found at his home,Austrian man,오스트리아 남자,4.400000095367432
71,A young boy is holding a guitar .,어린 소년 is holding a guitar .,A young boy,어린 소년,A little boy is playing a guitar .,작은 소년 is playing a guitar .,A little boy,작은 소년,2.75
72,"For what it ' s worth , dirt on the lens might not be as detrimental as you would think .","For what it ' s worth , 렌즈의 먼지 might not be as detrimental as you would think .",dirt on the lens,렌즈의 먼지,"Regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .","일반 식기 세척액 is great for removing grease , as it not only dissolves it but also binds it .",Regular dish washing fluid,일반 식기 세척액,0.4000000059604645
73,Two dogs share a toy in a field of vegetation .,두 마리의 개 share a toy in a field of vegetation .,Two dogs,두 마리의 개,Two snowboarders are in the air over the snow .,두 명의 스노보더 are in the air over the snow .,Two snowboarders,두 명의 스노보더,0.1700000017881393
74,Napolitano elected for second term as Italy president,Napolitano elected for 두 번째 항 as Italy president,second term,두 번째 항,Italian President Napolitano elected for second term,나폴리타노 이탈리아 대통령 elected for second term,Italian President Napolitano,나폴리타노 이탈리아 대통령,5.0
75,A woman is chopping an onion .,여자 is chopping an onion .,A woman,여자,A woman is slicing partially into half of an onion .,여자 is slicing partially into half of an onion .,A woman,여자,3.200000047683716
76,"The blue - chip Dow Jones industrial average eased 44 points , or 0 . 47 percent , to 9 , 543 , after scoring five consecutive up sessions .","파란 칩 다우 존스 산업 평균 eased 44 points , or 0 . 47 percent , to 9 , 543 , after scoring five consecutive up sessions .",The blue - chip Dow Jones industrial average,파란 칩 다우 존스 산업 평균,"The Dow Jones industrial average . DJI rose 18 . 25 points , or 0 . 19 percent , to 9 , 586 . 71 .","다우 존스 산업 평균  DJI rose 18 . 25 points , or 0 . 19 percent , to 9 , 586 . 71 .",The Dow Jones industrial average . DJI,다우 존스 산업 평균  DJI,2.0
77,AMD ' s chip sales jumped 7 percent year - on - year to $ 402 million .,AMD의 칩 판매 jumped 7 percent year - on - year to $ 402 million .,AMD ' s chip sales,AMD의 칩 판매,"Second - quarter sales grew 7 percent , to $ 645 million from $ 600 million in 2002 .","Second - 분기 판매 grew 7 percent , to $ 645 million from $ 600 million in 2002 .",quarter sales,분기 판매,2.200000047683716
78,U . S . soldier killed in shooting incident in S . Afghanistan,U . S . soldier killed in 총격 사건 in S . Afghanistan,shooting incident,총격 사건,Five NATO soldiers killed in Afghanistan,나토군 5명 killed in Afghanistan,Five NATO soldiers,나토군 5명,1.600000023841858
79,EU declares Hezbollah ' s military wing terror group,EU declares 헤즈볼라의 군사 날개 테러 그룹,Hezbollah ' s military wing terror group,헤즈볼라의 군사 날개 테러 그룹,EU puts Hezbollah military wing on terror list,EU puts 헤즈볼라 군사 날개 on terror list,Hezbollah military wing,헤즈볼라 군사 날개,4.800000190734863
80,Dozens of Egyptians hostages taken by Libyan terrorists as revenge for airstrikes,수십 명의 이집트 인질 taken by Libyan terrorists as revenge for airstrikes,Dozens of Egyptians hostages,수십 명의 이집트 인질,Egyptian boat crash death toll rises as more bodies found in Nile,이집트 보트 추락 사망자 수 rises as more bodies found in Nile,Egyptian boat crash death toll,이집트 보트 추락 사망자 수,0.0
81,"The first trial of a suspect in last year ' s Bali nightclub bombings that killed more than 200 people opened in Indonesia today , Sky News reported .","The first trial of a suspect in last year ' s Bali nightclub bombings that killed more than 200 people opened in Indonesia today , 스카이 뉴스 reported .",Sky News,스카이 뉴스,One of the key suspects in the October nightclub bombings that killed more than 200 people in Bali went on trial Monday amid tight security .,발리에서 200명 이상의 목숨을 앗아간 10월 나이트클럽 폭탄 테러의 주요 용의자 중 한 명 went on trial Monday amid tight security .,One of the key suspects in the October nightclub bombings that killed more than 200 people in Bali,발리에서 200명 이상의 목숨을 앗아간 10월 나이트클럽 폭탄 테러의 주요 용의자 중 한 명,3.75
82,"Google CEO says Android important , not critical","구글 CEO says Android important , not critical",Google CEO,구글 CEO,"Larry Page says Android important , not critical","래리 페이지 says Android important , not critical",Larry Page,래리 페이지,4.0
83,"Mom busted in and said , "" What ' s that noise ? ""","Mom busted in and said , "" What ' s 그 소음 ? """,that noise,그 소음,My kids busted in and said ' what s that Dad ? ',내 아이들 busted in and said ' what s that Dad ? ',My kids,내 아이들,1.7999999523162842
84,A man dives into a pool .,한 남자 dives into a pool .,A man,한 남자,A man dives into a swimming pool .,한 남자 dives into a swimming pool .,A man,한 남자,5.0
85,The man is smashing garlic .,그 남자 is smashing garlic .,The man,그 남자,A man is smashing some garlic .,한 남자 is smashing some garlic .,A man,한 남자,5.0
86,He was also expected to visit Yemen and Bahrain during his tour of the region .,He was also expected to visit 예멘과 바레인 during his tour of the region .,Yemen and Bahrain,예멘과 바레인,"Khatami , who arrived in Beirut Monday , was also to visit Syria , Yemen and Bahrain .","월요일 베이루트에 도착한 Khatami는 was also to visit Syria , Yemen and Bahrain .","Khatami , who arrived in Beirut Monday ,",월요일 베이루트에 도착한 Khatami는,3.400000095367432
87,A black and white cat lying on a blanket .,흑백 고양이 lying on a blanket .,A black and white cat,흑백 고양이,A black and white cat laying on a cat bed .,흑백 고양이 laying on a cat bed .,A black and white cat,흑백 고양이,3.75
88,jamaat - i - islami ' s youth wing staged a separate demonstration in kashmir .,자마트 - i - 이슬람의 청년 윙 staged a separate demonstration in kashmir .,jamaat - i - islami ' s youth wing,자마트 - i - 이슬람의 청년 윙,jamaat - i - islami ' s youth wing ' s demonstration was against a us attack on iraq .,jamaat - i - islami 's youth wing's 시연 was against a us attack on iraq .,jamaat - i - islami ' s youth wing ' s demonstration,jamaat - i - islami 's youth wing's 시연,3.0
89,Turkey unrest goes on despite end to park protest,터키 불안 goes on despite end to park protest,Turkey unrest,터키 불안,"Turkish PM Erdogan says "" duty "" to order crackdown on Istanbul park protest","터키 총리 에르도안 says "" duty "" to order crackdown on Istanbul park protest",Turkish PM Erdogan,터키 총리 에르도안,1.0
90,"2 killed , 11 wounded in attacks in Iraq","2 killed , 11 wounded in 이라크 공격",attacks in Iraq,이라크 공격,"15 killed , 90 wounded in fresh attacks in Iraq","15 killed , 90 wounded in 이라크의 새로운 공격",fresh attacks in Iraq,이라크의 새로운 공격,2.200000047683716
91,the ensuing battle and airstrikes killed at least 10 militants .,이어지는 전투와 공습 killed at least 10 militants .,the ensuing battle and airstrikes,이어지는 전투와 공습,an ensuing battle killed at least 10 militants .,이어지는 전투 killed at least 10 militants .,an ensuing battle,이어지는 전투,3.5999999046325684
92,GPS ( wikipedia ) is based on orbiting satellites and so is accurate worldwide .,GPS(위키피디아) is based on orbiting satellites and so is accurate worldwide .,GPS ( wikipedia ),GPS(위키피디아),"GPS systems can , and do , work everywhere you can get satellites .","GPS 시스템 can , and do , work everywhere you can get satellites .",GPS systems,GPS 시스템,3.400000095367432
93,A black and white dog is swimming in a large green lake .,흑백 개 is swimming in a large green lake .,A black and white dog,흑백 개,A black dog runs fast into shallow water .,검은 개 runs fast into shallow water .,A black dog,검은 개,2.200000047683716
94,A woman is slicing meat with a knife .,여자 is slicing meat with a knife .,A woman,여자,A man is spreading out dough .,한 남자 is spreading out dough .,A man,한 남자,0.4169999957084656
95,A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something .,테이블 위에 서 있는 큰 새 picks up a plastic glass containing liquid and places it in a bowl of something .,A large bird standing on a table,테이블 위에 서 있는 큰 새,A bird picks up a plastic cup containing a liquid with it ' s beak and puts the cup into a bowl .,새 picks up a plastic cup containing a liquid with it ' s beak and puts the cup into a bowl .,A bird,새,3.5
96,The boy is stuck in the door of the doghouse .,그 소년 is stuck in the door of the doghouse .,The boy,그 소년,A child is stuck in a dog house .,아이 is stuck in a dog house .,A child,아이,3.75
