,sentence1,source1_np0,sentence2,source2_np0,label
58,iran is the most prolific applier of the death penalty in the world after china .,the most prolific applier of the death penalty in the world after china,the islamic republic is the most prolific applier of the death penalty in the world after china .,the islamic republic,3.799999952316284
59,"Since you ' re being kind of vague here , I can only give you a vague answer .",a vague answer,"In general , warming up your muscles only requires performing the movement with lower weights .",your muscles,0.0
60,"On Sunday , a U . S . soldier was killed and another injured in southern Iraq when a munitions dump exploded .",a U . S . soldier,"On Sunday , a U . S . soldier was killed and another injured when a munitions dump they were guarding exploded in southern Iraq .",a U . S . soldier,3.75
61,A rabbit is running from an eagle .,A rabbit,A hare is running from a eagle .,A hare,4.199999809265137
62,A man is throwing knives at a tree .,A man,A man is showing magic .,A man,1.75
63,Obama endorses same - sex marriage,same - sex marriage,Obama ' s delicate dance on same - sex marriage,Obama ' s delicate dance,2.5999999046325684
64,Egypt ' s Coptic Pope Shenuda III dies,Egypt ' s Coptic Pope Shenuda III,Egypt prepares to bury Coptic Pope Shenuda III,Coptic Pope Shenuda III,3.5999999046325684
65,' No Evidence ' In Afghanistan Massacre Case,Afghanistan Massacre Case,"US toll in Afghanistan hits 2 , 000",US toll in Afghanistan,0.800000011920929
66,Twelve killed in bomb blast on Pakistani train,bomb blast,Five killed by bomb blast in East India,bomb blast,1.0
67,"Properly executed weight training will increase , not decrease , your flexibility and mobility .",Properly executed weight training,I ' ve seen guys that are still very flexable while lifting weights .,guys that are still very flexable while lifting weights,2.200000047683716
68,"12 killed , 25 injured in bomb blast in NW Pakistan",bomb blast in NW Pakistan,"6 killed , 12 injured in blast in NW Pakista",NW Pakista,2.5999999046325684
69,Avengers sets box office record,box office record,' Hunger Games ' sets box office records,' Hunger Games ',1.600000023841858
70,Austrian found hoarding 56 stolen skulls in home museum,56 stolen skulls,Austrian man charged after 56 human skulls are found at his home,Austrian man,4.400000095367432
71,A young boy is holding a guitar .,A young boy,A little boy is playing a guitar .,A little boy,2.75
72,"For what it ' s worth , dirt on the lens might not be as detrimental as you would think .",dirt on the lens,"Regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .",Regular dish washing fluid,0.4000000059604645
73,Two dogs share a toy in a field of vegetation .,Two dogs,Two snowboarders are in the air over the snow .,Two snowboarders,0.1700000017881393
74,Napolitano elected for second term as Italy president,second term,Italian President Napolitano elected for second term,Italian President Napolitano,5.0
75,A woman is chopping an onion .,A woman,A woman is slicing partially into half of an onion .,A woman,3.200000047683716
76,"The blue - chip Dow Jones industrial average eased 44 points , or 0 . 47 percent , to 9 , 543 , after scoring five consecutive up sessions .",The blue - chip Dow Jones industrial average,"The Dow Jones industrial average . DJI rose 18 . 25 points , or 0 . 19 percent , to 9 , 586 . 71 .",The Dow Jones industrial average . DJI,2.0
77,AMD ' s chip sales jumped 7 percent year - on - year to $ 402 million .,AMD ' s chip sales,"Second - quarter sales grew 7 percent , to $ 645 million from $ 600 million in 2002 .",quarter sales,2.200000047683716
78,U . S . soldier killed in shooting incident in S . Afghanistan,shooting incident,Five NATO soldiers killed in Afghanistan,Five NATO soldiers,1.600000023841858
79,EU declares Hezbollah ' s military wing terror group,Hezbollah ' s military wing terror group,EU puts Hezbollah military wing on terror list,Hezbollah military wing,4.800000190734863
80,Dozens of Egyptians hostages taken by Libyan terrorists as revenge for airstrikes,Dozens of Egyptians hostages,Egyptian boat crash death toll rises as more bodies found in Nile,Egyptian boat crash death toll,0.0
81,"The first trial of a suspect in last year ' s Bali nightclub bombings that killed more than 200 people opened in Indonesia today , Sky News reported .",Sky News,One of the key suspects in the October nightclub bombings that killed more than 200 people in Bali went on trial Monday amid tight security .,One of the key suspects in the October nightclub bombings that killed more than 200 people in Bali,3.75
82,"Google CEO says Android important , not critical",Google CEO,"Larry Page says Android important , not critical",Larry Page,4.0
83,"Mom busted in and said , "" What ' s that noise ? """,that noise,My kids busted in and said ' what s that Dad ? ',My kids,1.7999999523162842
84,A man dives into a pool .,A man,A man dives into a swimming pool .,A man,5.0
85,The man is smashing garlic .,The man,A man is smashing some garlic .,A man,5.0
86,He was also expected to visit Yemen and Bahrain during his tour of the region .,Yemen and Bahrain,"Khatami , who arrived in Beirut Monday , was also to visit Syria , Yemen and Bahrain .","Khatami , who arrived in Beirut Monday ,",3.400000095367432
87,A black and white cat lying on a blanket .,A black and white cat,A black and white cat laying on a cat bed .,A black and white cat,3.75
88,jamaat - i - islami ' s youth wing staged a separate demonstration in kashmir .,jamaat - i - islami ' s youth wing,jamaat - i - islami ' s youth wing ' s demonstration was against a us attack on iraq .,jamaat - i - islami ' s youth wing ' s demonstration,3.0
89,Turkey unrest goes on despite end to park protest,Turkey unrest,"Turkish PM Erdogan says "" duty "" to order crackdown on Istanbul park protest",Turkish PM Erdogan,1.0
90,"2 killed , 11 wounded in attacks in Iraq",attacks in Iraq,"15 killed , 90 wounded in fresh attacks in Iraq",fresh attacks in Iraq,2.200000047683716
91,the ensuing battle and airstrikes killed at least 10 militants .,the ensuing battle and airstrikes,an ensuing battle killed at least 10 militants .,an ensuing battle,3.5999999046325684
92,GPS ( wikipedia ) is based on orbiting satellites and so is accurate worldwide .,GPS ( wikipedia ),"GPS systems can , and do , work everywhere you can get satellites .",GPS systems,3.400000095367432
93,A black and white dog is swimming in a large green lake .,A black and white dog,A black dog runs fast into shallow water .,A black dog,2.200000047683716
94,A woman is slicing meat with a knife .,A woman,A man is spreading out dough .,A man,0.4169999957084656
95,A large bird standing on a table picks up a plastic glass containing liquid and places it in a bowl of something .,A large bird standing on a table,A bird picks up a plastic cup containing a liquid with it ' s beak and puts the cup into a bowl .,A bird,3.5
96,The boy is stuck in the door of the doghouse .,The boy,A child is stuck in a dog house .,A child,3.75
97,The veteran Malyasian diplomat met Suu Kyi Wednesday at the lakeside home in Yangon where she is under house arrest .,The veteran Malyasian diplomat,"Razali Ismail met for 90 minutes with Suu Kyi , a 1991 winner of the Nobel Peace Prize , at her lakeside home , where she is under house arrest .",Razali Ismail,3.691999912261963
98,James Murdoch quits BSkyB,James Murdoch,James Murdoch quits role at BSkyB,James Murdoch,4.199999809265137
99,' Whitey ' Bulger ' s girlfriend gets 8 years,' Whitey ' Bulger ' s girlfriend,"Mobster "" Whitey "" Bulger ' s girlfriend gets 8 years","Mobster "" Whitey "" Bulger ' s girlfriend",3.5999999046325684
100,They are being held on immigration violations as the incident is investigated .,immigration violations,Both men are being held for investigation of administrative immigration violations .,Both men,4.400000095367432
101,Read More : You have never met anyone that is Pro - Abortion ?,anyone that is Pro - Abortion,You have never met anyone that is Pro - Abortion ?,anyone that is Pro - Abortion,4.800000190734863
102,A woman is collecting tap water in a mug .,A woman,A boy is filling a pitcher with water .,A boy,1.399999976158142
103,A Tale of Two Passes : How The New York Giants Won The Super Bowl,A Tale,Lesser of two evils triumphs in Super Bowl,Lesser of two evils,1.399999976158142
104,"The identical rovers will act as robotic geologists , searching for evidence of past water .",The identical rovers,"The rovers act as robotic geologists , moving on six wheels .",The rovers,3.200000047683716
105,A train sitting on the tracks near a field .,A train,A baby is sitting in the grass .,A baby,0.0
106,Iran ' s parliament backs nuclear deal,Iran ' s parliament,Iran hardliners attack nuclear deal,Iran hardliners,1.0
107,Demolition work begins on Don Valley Stadium,Demolition work,Demolition work to begin at stadium,Demolition work,3.200000047683716
108,"The market ' s broader gauges also posted big gains , having climbed higher for four consecutive weeks .",The market ' s broader gauges,"The broader market also retreated , having climbed higher for four consecutive weeks .",The broader market,3.5999999046325684
109,A girl is making eyelid .,A girl,A woman is applying eyeshadow .,A woman,2.0
110,A woman holds a dog while another dog stands nearby in a field .,A woman,A lady holding one dog while another dog is playing in the yard .,A lady,3.400000095367432
111,Such a step could put the issue before the UN Security Council .,Such a step,The matter could then be sent to the U . N . Security Council .,The matter,2.799999952316284
112,"ABVP protesters clash with police at Jantar Mantar , throw stones",ABVP protesters,"Protesters clash with police at Jantar Mantar , 5 people detained",Jantar Mantar,2.799999952316284
113,Egypt protesters ' to be dispersed ',Egypt protesters,Abduction teacher to be sentenced,Abduction teacher,0.0
114,Pakistan begins demolition of bin Laden compound,demolition of bin Laden compound,Pakistan demolishes Osama bin Laden hideout,Osama bin Laden hideout,2.799999952316284
115,I Shot the Sheriff We are all vessels filled with many wonders .,the Sheriff,We are all vessels filled with many wonders .,all vessels filled with many wonders,3.400000095367432
116,A man pours oil on some tomatos .,A man,The man poured oil on the cut tomatoes .,The man,3.799999952316284
117,NYPD Twitter Outreach Backfires Badly,NYPD Twitter Outreach,NYPD ' s twitter campaign backfires,NYPD ' s twitter campaign,4.800000190734863
118,Iranian president calls for new nuclear talks,Iranian president,Iranian minister blames West for failed nuke talks,Iranian minister,2.0
119,A dog is playing in the snow .,A dog,A dog is pawing at a fly in the carpet before it .,A dog,1.600000023841858
120,A person sitting on a motorcycle while a man stands by .,A person,A man stands next to a helmeted man on a motorcycle in an empty parking lot .,A man,3.0
121,"To paraphrase a common saying , "" One man ' s weed is another man ' s lawn "" .","a common saying , "" One man ' s weed is another man ' s lawn ""","First , let me say I ' ve no experience doing battle with Bermuda grass .",no experience doing battle with Bermuda grass,1.0
122,Thirty - Seven Dead In Italy Tour Bus Plunge,Seven Dead In Italy Tour Bus Plunge,Thirty Dead In Italian Bus Plunge,Thirty Dead,3.200000047683716
123,18 trapped in Russian coal mine blast,Russian coal mine blast,Ten killed in Russia coal mine blast,Russia coal mine blast,2.799999952316284
124,A man is eating .,A man,A woman is rock climbing .,A woman,0.0
125,Malaysia ' s long - ruling coalition hangs on to power,Malaysia ' s long - ruling coalition,Malaysia ' s ruling coalition wins majority,Malaysia ' s ruling coalition,3.799999952316284
126,The company said it would cut the wholesale price of most top - line CDs to $ 9 . 09 from $ 12 . 02 .,The company,The company also said it would cut wholesale prices on cassettes and change the suggested retail price to $ 8 . 98 .,The company,1.600000023841858
127,But it is clear that the Joint Intelligence Committee was not involved .,the Joint Intelligence Committee,This report was cleared by the Joint Intelligence Committee .,This report,2.0
128,"you don ' t use the search button much , do you ?",the search button,"you don ' t use the search button AT ALL , do you ?",the search button,4.199999809265137
129,A group of people sitting around a table containing food .,A group,A group of people sitting around a table on a porch .,A group,3.400000095367432
130,A woman is chopping an onion .,A woman,A woman is chopping garlic with a knife .,A woman,1.7999999523162842
131,"Peterson told police he fished alone in San Francisco Bay on Christmas Eve , returning to an empty house .",San Francisco Bay,Peterson told police he left his wife at about 9 : 30 a . m . on Dec . 24 to fish alone in San Francisco Bay .,his wife,3.0
132,General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla .,General Jeffrey,Maj - Gen Jeffery said he would give his military pension to charity while he served at Yarralumla .,Gen Jeffery,4.727000236511231
133,The animal with the big eyes is eating .,The animal with the big eyes,A slow loris is eating .,A slow loris,2.5999999046325684
134,"Shares of Littleton , Colorado - based EchoStar rose $ 1 . 63 , or 5 . 3 percent , to $ 32 . 26 at 10 : 55 a . m .","Shares of Littleton , Colorado - based EchoStar","On Monday , EchoStar ( DISH : news , chart , profile ) shares shrank $ 1 . 40 , or 4 . 4 percent , to $ 30 . 63 .","EchoStar ( DISH : news , chart , profile ) shares",2.0
135,Fourteen killed in Brazil bus accident,Brazil bus accident,Two killed in Arizona skydiving accident,Arizona skydiving accident,0.6000000238418579
136,"The tech - heavy Nasdaq Stock Markets composite index added 1 . 16 points to 1 , 504 . 04 .",The tech - heavy Nasdaq Stock Markets composite index,"The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .","The Nasdaq Composite index , full of technology stocks ,",2.200000047683716
137,A man is riding a horse .,A man,A man is playing a keyboard .,A man,0.2000000029802322
138,Two constructions workers sit on a beam taking a break .,Two constructions workers,The man is putting on his shirt near an elevator .,The man,0.0
139,"Two convicted killers and another inmate escaped from a state prison on a busy street Wednesday by cutting through a fence , a Corrections Department official said .",a Corrections Department official,A convicted killer and two other inmates cut through two fences topped with razor wire and escaped from a state prison on a busy street .,A convicted killer and two other inmates,3.5
140,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves .,Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves .,The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada,3.908999919891357
141,The women are sitiing down .,The women,Two women are sitting close to each other and talking .,Two women,2.5999999046325684
142,"There were indeed some serious issues surrounding Kennedy ' s election in 1960 , one of the closest elections in History .","some serious issues surrounding Kennedy ' s election in 1960 , one of the closest elections in History",As per your original question : The Wikipedia section does not claim that Joseph P Kennedy bought John F Kennedy ' s victory .,The Wikipedia section,1.600000023841858
143,A woman is doing weight exercises .,A woman,A woman is doing her hair .,A woman,0.5
144,Two NATO soldiers killed in Afghanistan,Two NATO soldiers,NATO soldier killed in Afghan attack,NATO soldier,4.0
145,Brown cow with horns standing in a field .,Brown cow,Brown horse standing in middle of grassy field .,Brown horse,1.7999999523162842
146,brazil ' s strategic affairs minister roberto mangabeira unger stated brazil ' s new national defense plan calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,brazil ' s strategic affairs minister roberto mangabeira unger,unger stated brazil ' s new national defense plan calls for establishing partnerships with countries including russia and france to build a state - of - the - art weapons industry .,brazil ' s new national defense plan,3.799999952316284
147,A man is mowing a lawn .,A man,A woman is cutting a lemon .,A woman,0.2000000029802322
148,A skateboarder doing a trick on a stone wall .,A skateboarder,A skateboarder riding up to a slope .,A skateboarder,2.200000047683716
149,A woman dances while a man plays the keyboard .,A woman,A woman is dancing on a stage .,A woman,2.200000047683716
150,A woman boils eggs .,A woman,A woman places two eggs into a pot of water .,A woman,3.0
151,A cartoon woman dives into a pool .,A cartoon woman,A cartoon woman is diving off a board .,A cartoon woman,2.799999952316284
152,You should take this animal to a vet right away .,this animal,"As covered in the other answers , your only option is to see a vet in order to have surgery done .",your only option,3.5999999046325684
153,North Korea test fires 30 missiles into the sea,North Korea test,N Korea ' fires 100 shells ' into the sea,the sea,2.799999952316284
154,A train is on the railroad tracks .,A train,A train on the train tracks .,A train,4.800000190734863
155,A man stands in front of a train .,A man,"A man is standing in front of a raised statue , .",A man,2.0
156,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain .,a new culvert,Crews worked to install a new culvert and repave the highway so motorists could use the eastbound lanes for travel .,a new culvert,3.3329999446868896
157,He claims it may seem unrealistic only because little effort has been devoted to the concept .,little effort,""" This proposal is modest compared with the space programme , and may seem unrealistic only because little effort has been devoted to it .",This proposal,3.5
158,"But at age 15 , she had reached 260 pounds and a difficult decision : It was time to try surgery .",a difficult decision : It was time to try surgery,"But at the age of 15 , she weighed a whopping 117 kg and came to a difficult decision : it was time to try surgery .",the age of 15,4.25
159,mexico wishes to guarantee citizens ' safety .,citizens ' safety,mexico wishes to avoid more violence .,more violence,4.0
160,A woman is peeling an onion .,A woman,The woman is slicing green onions .,The woman,3.25
161,a man in red shorts is walking along rocks by a river carrying a stick .,a man in red shorts,A man is walking on rocks with water flowing around them .,A man,3.400000095367432
162,Egypt ' s main opposition rejects president ' s call for dialogue,Egypt ' s main opposition,Egypt opposition mulls response to Morsi dialogue call,Egypt opposition,3.799999952316284
163,He had been arrested twice before for trespassing and barred from the complex - home to his mother and two children .,the complex - home to his mother and two children,He had been arrested twice before for trespassing and was barred from the complex .,the complex,3.5999999046325684
164,"Shares in BA were down 1 . 5 percent at 168 pence by 1420 GMT , off a low of 164 p , in a slightly stronger overall London market .",Shares in BA,"Shares in BA were down three percent at 165 - 1 / 4 pence by 0933 GMT , off a low of 164 pence , in a stronger market .",Shares in BA,2.400000095367432
165,Three dogs standing in snow next to a blue fence .,Three dogs,Three dogs play in the shallows next to a rocky shore .,Three dogs,2.200000047683716
166,Indian police round up all five suspects in Mumbai rape case,Indian police,Mumbai police arrest fifth suspect in gang - rape case,Mumbai police,3.799999952316284
167,Car bombing kills 17 in Pakistan,Car bombing,Suicide bomber kills 10 in Pakistan,Suicide bomber,2.5999999046325684
168,It means its AN option .,its AN option,does nt mean its a BAD option .,its a BAD option,1.600000023841858
169,"Tropical Storm Isaac drenches Haiti , swipes Cuba",Tropical Storm Isaac,Tropical Storm Isaac threatens dam,Tropical Storm Isaac,1.399999976158142
170,A man is riding a horse .,A man,A woman is washing a freezer .,A woman,0.0
171,A man and small child in a living room posing for the camera .,A man and small child,A man and woman are posing for the camera .,A man and woman,2.400000095367432
172,A person breaks an egg into a small bowl .,A person,A man cracks an egg .,A man,2.5999999046325684
173,Four French soldiers killed in Afghan suicide blast,Four French soldiers,Four foreign soldiers killed in Afghan east,Four foreign soldiers,3.400000095367432
174,"The drop in core wholesale prices in April reflected falling prices for cars , trucks , men ' s and boy ' s clothes and cigarettes .",The drop in core wholesale prices in April,"That was the biggest drop since August 1993 and stemmed from falling prices for cars , trucks , men ' s and boys ' clothes and cigarettes .",the biggest drop since August 1993,3.5
175,A man is on a rooftop,A man,A man is holding a microphone in a room .,A man,0.800000011920929
176,Two women are wrestling .,Two women,Two women are wrestling on the floor .,Two women,4.0
177,The jury also found Gonzales guilty of using excessive force by dousing Olvera - Carrera with pepper spray .,The jury,Gonzales was found guilty of using excessive force by spraying Olvera with pepper spray .,excessive force,4.25
178,Captain of sunken South Korean ferry arrested,Captain of sunken South Korean ferry,Captain of capsized S Korean Ferry Arrested,capsized S Korean Ferry,4.0
179,EU Set for New Sanctions on Iran,EU Set,EU plans major new sanctions against Iran,major new sanctions against Iran,4.400000095367432
180,A man is riding a bike .,A man,A woman is dancing in the street .,A woman,0.2000000029802322
181,Two cats are close together inside and black and white furry enclosure .,Two cats,"Two baby kittens are sitting inside a cow - schemed , fur - covered dome .",Two baby kittens,3.5999999046325684
182,Pakistan ' s Musharraf Under Arrest in Bhutto Assassination,Pakistan ' s Musharraf,Pakistan ' s Musharraf arrives at court for first time,Pakistan ' s Musharraf,2.400000095367432
183,"Punjab Mail derails near Rohtak , 19 injured",Punjab Mail,"Punjab Mail derails near Rohtak in Haryana , 19 injured",Punjab Mail,4.199999809265137
184,There are many compact cameras with underwater housings available from Canon and Olympus .,many compact cameras with underwater housings available from Canon and Olympus,"There are waterproof compacts that go to 10 meters , such as some of the Olympus Tough models .","waterproof compacts that go to 10 meters , such as some of the Olympus Tough models",3.200000047683716
185,Death toll rises to 236 after Brazzaville blasts,Death toll,Rep . of Congo : 236 Dead After Arms Depot Blasts,Rep . of Congo,3.5999999046325684
186,Powerful 7 . 6 quake strikes off Solomons,Powerful 7 . 6 quake,Powerful 6 . 9 quake strikes off California coast,California coast,2.200000047683716
187,sharia is islamic law .,islamic law,iran is an islamic republic .,an islamic republic,1.2000000476837158
188,A computer on a desk .,A computer,A computer operating on a desk .,A computer,4.0
189,New video shows US police officers beating mentally - ill man,New video,New York police officer critically wounded in hatchet attack,New York police officer,0.0
190,A blonde woman looks for medical supplies for work in a suitcase .,A blonde woman,The blond woman is searching for medical supplies in a suitcase .,The blond woman,5.0
191,China launches probe and rover to moon,probe and rover to moon,China launches first moon rover mission,first moon rover mission,4.0
192,Two killed in new Israeli strike on Gaza : medics,new Israeli strike on Gaza,"5 die in strikes on Gaza , militants barrage Israel",strikes on Gaza,2.0
193,A man is slicing a potatoe .,A man,A man is peeling a banana .,A man,1.0
194,Many middle eastern people are sitting in the back of a blue truck .,Many middle eastern people,A group of people are riding in the back of a truck .,A group of people,3.400000095367432
