,sentence1,source1_np0,sentence2,source2_np0,label
22,What sport does the most famous Namibian athlete participate in ?,the most famous Namibian athlete,"The most famous athlete from Namibia is Frankie Fredericks , sprinter ( 100 and 200 m ) .",The most famous athlete from Namibia,0
23,"Who was formally deposed by the Yugoslav Constitutent Assembly on November 29 , 1945 ?",the Yugoslav Constitutent Assembly,"On 29 November 1945 , King Peter II was formally deposed by the Yugoslav Constituent Assembly .",King Peter II,0
24,What year did Chopin compose his first work ?,his first work,"By the age of seven Fryderyk had begun giving public concerts , and in 1817 he composed two polonaises , in G minor and B - flat major .",the age of seven,0
25,What is used to close the circuit of a dipole antenna ?,the circuit of a dipole antenna,"In this way , the ground ( or any large conductive surface ) plays the role of the second conductor of a dipole , thereby forming a complete circuit .",the ground ( or any large conductive surface ),0
26,Who did Gegeen appoint as grand chancellor ?,grand chancellor,"They placed Yesün Temür ( or Taidingdi ) on the throne , and , after an unsuccessful attempt to calm the princes , he also succumbed to regicide .",Yesün Temür ( or Taidingdi ) on the throne,1
27,What did Musharraf say his ban wasn ' t influenced by ?,his ban wasn ' t,"It was not taken under any foreign influence "" .",any foreign influence,0
28,In what park is the American Airlines Arena located ?,the American Airlines Arena,"The largest and most popular parks are Bayfront Park and Bicentennial Park ( located in the heart of Downtown and the location of the American Airlines Arena and Bayside Marketplace ) , Tropical Park , Peacock Park , Morningside Park , Virginia Key , and Watson Island .",The largest and most popular parks,0
29,What was tyrothricin used for during the war ?,the war,Research results obtained during that period were not shared between the Axis and the Allied powers during the war .,Research results obtained during that period,1
30,How would you compare the rules of a treaty and a covenant under international law ?,the rules of a treaty and a covenant under international law,"Regardless of terminology , all of these forms of agreements are , under international law , equally considered treaties and the rules are the same .",all of these forms of agreements,0
31,What are these districts known as ?,these districts,"Districts are further divided into fifteen sub - districts known as nafot ( נפות ; singular : nafa ) , which are themselves partitioned into fifty natural regions .","fifteen sub - districts known as nafot ( נפות ; singular : nafa ) , which are themselves partitioned into fifty natural regions",1
32,What was the name of the non - subscription Xbox online gaming service ?,the name of the non - subscription Xbox online gaming service,"A Live Free account does not generally support multiplayer gaming ; however , some games that have rather limited online functions already , ( such as Viva Piñata ) or games that feature their own subscription service ( e . g . EA Sports games ) can be played with a Free account .",A Live Free account,1
33,Who wrote the supplemental material added to the Lectures book in 2005 ?,the supplemental material,"The Feynman Lectures on Physics is perhaps his most accessible work for anyone with an interest in physics , compiled from lectures to Caltech undergraduates in 1961 – 64 .",The Feynman Lectures on Physics,1
34,Who lead the rebellion against the 1211 settlement ?,the rebellion against the 1211 settlement,"John put off dealing with the badly deteriorating situation in North Wales , where Llywelyn the Great was leading a rebellion against the 1211 settlement .","the badly deteriorating situation in North Wales , where Llywelyn the Great was leading a rebellion against the 1211 settlement",0
35,The Melbourne financial crisis was a contributing factor to what banking crisis in 1893 ?,The Melbourne financial crisis,"A brash boosterism that had typified Melbourne during this time ended in the early 1890 s with a severe depression of the city ' s economy , sending the local finance and property industries into a period of chaos during which 16 small "" land banks "" and building societies collapsed , and 133 limited companies went into liquidation .",A brash boosterism that had typified Melbourne during this time,1
36,How is Houston Public Radio funded ?,Houston Public Radio,The Woodlands – Sugar Land metropolitan area is served by one public television station and two public radio stations .,The Woodlands – Sugar Land metropolitan area,1
37,What language is used for formal purposes by business and government institutes of New Delhi ?,formal purposes,English is primarily used as the formal language by business and government institutes .,the formal language,0
38,What is the liquefied mixture called ?,the liquefied mixture,"This mixture is often called "" bitumen feedstock "" , or BFS .",This mixture,0
39,what is the section of oklahoma and texas that Hernando de Soto traveled ?,the section of oklahoma and texas that Hernando de Soto traveled,"In that same time period , Hernando de Soto crossed a west - northwest direction in what is now Oklahoma and Texas .",Hernando de Soto,1
40,How are the terms Hispanic and Latino not specific ?,the terms Hispanic and Latino,"The definitions of both terms are non - race specific , and include people who consider themselves to be of distinct races ( Black , White , Amerindian , Asian , and mixed groups ) .",The definitions of both terms,0
41,What is the most prevalent type of climate nCalifornia ?,the most prevalent type of climate nCalifornia,"The Cascades are one of the snowiest places in the world , with some places averaging over 600 inches ( 1 , 524 cm ) of snow annually , but the lower elevations closer to the coast receive very little snow .",The Cascades,1
42,Although there are challenges a unified European alphabet is feasible even in the absence of which common language rule ?,challenges a unified European alphabet,"As briefly discussed in Unicode Technical Note # 26 , "" In terms of implementation issues , any attempt at a unification of Latin , Greek , and Cyrillic would wreak havoc [ and ] make casing operations an unholy mess , in effect making all casing operations context sensitive [ … ] "" .","any attempt at a unification of Latin , Greek , and Cyrillic",1
43,What is one type of pesticide ?,one type of pesticide,"Pesticides can also be considered as either biodegradable pesticides , which will be broken down by microbes and other living beings into harmless compounds , or persistent pesticides , which may take months or years before they are broken down : it was the persistence of DDT , for example , which led to its accumulation in the food chain and its killing of birds of prey at the top of the food chain .","the persistence of DDT , for example , which led to its accumulation in the food chain and its killing of birds of prey at the top of the food chain",0
44,Houston ranked 3 rd in which category by Forbes magazine in 2006 ?,which category,"Foreign governments have established 92 consular offices in Houston ' s metropolitan area , the third highest in the nation .",Foreign governments,1
45,What can be added to f0 to create a standing wave pattern ?,a standing wave pattern,"The standing wave forms with this desired pattern at the design frequency , f0 , and antennas are normally designed to be this size .",The standing wave,1
46,Why did India and Sweden never determine how much the US would compensate China ?,India and Sweden,The US proposed that a commission of India and Sweden determine what the US should pay in compensation but the Soviets vetoed the US proposal .,The US,0
47,What beach sport was inveted in San Diego ?,San Diego,"The amateur beach sport Over - the - line was invented in San Diego , and the annual world Over - the - line championships are held at Mission Bay every year .",The amateur beach sport Over - the - line,0
48,What do special referees have the ability to do ?,special referees,"They also have the power to eject from ringside any of the heel wrestler ' s entourage / stable , who may otherwise interfere with the match .","the power to eject from ringside any of the heel wrestler ' s entourage / stable , who may otherwise interfere with the match",0
49,"What airlines was award the "" Best regional airline in Europe "" award by Skytrax ?","the "" Best regional airline in Europe "" award","Readers Choice Awards : Top Domestic Airline "" award .",Readers Choice Awards,1
50,What things show Corks diverse culural background ?,Corks diverse culural background,"Cork also features various Christian churches , as well as a mosque .","various Christian churches , as well as a mosque",1
51,During what time did Kadamba rule northern Karnataka ?,northern Karnataka,"Kadamba ( 345 – 525 CE ) was an ancient royal dynasty of Karnataka , India that ruled northern Karnataka and the Konkan from Banavasi in present - day Uttara Kannada district .",Kadamba ( 345 – 525 CE ),0
52,Does a high ranking on the HDI indicate shorter or longer life expectancy ?,a high ranking on the HDI,"The Human Development Index ( HDI ) is a composite statistic of life expectancy , education , and income per capita indicators , which are used to rank countries into four tiers of human development .",The Human Development Index ( HDI ),1
53,How many prisoners did Napoleon ' s army capture in the Italian campaign ?,Napoleon ' s army capture,"In this Italian campaign , Bonaparte ' s army captured 150 , 000 prisoners , 540 cannons , and 170 standards .",Bonaparte ' s army,0
54,which bird migrates by circling the earth ?,the earth,"The Arctic tern holds the long - distance migration record for birds , travelling between Arctic breeding grounds and the Antarctic each year .",The Arctic tern,1
55,When did the Cincinnati Red Stockings come to be ?,the Cincinnati Red Stockings,"The franchise soon relocated to Boston and is now the Atlanta Braves , but its name survives as the origin for both the Cincinnati Reds and Boston Red Sox .",The franchise,1
56,Which street forms the boundary between Harlem and Washington Heights ?,the boundary between Harlem and Washington Heights,It is the northernmost of the 155 crosstown streets mapped out in the Commissioner ' s Plan of 1811 that established the numbered street grid in Manhattan .,the northernmost of the 155 crosstown streets mapped out in the Commissioner ' s Plan of 1811 that established the numbered street grid in Manhattan,1
57,What was the population of Sichuan in 1832 ?,the population of Sichuan,"As of 1832 , Sichuan was the most populous of the 18 provinces in China , with an estimated population at that time of 21 million .",the most populous,0
58,Who issued the first round of official characters ?,the first round of official characters,"Although most of the simplified Chinese characters in use today are the result of the works moderated by the government of the People ' s Republic of China in the 1950 s and 60 s , character simplification predates the republic ' s formation in 1949 .",character simplification,1
59,With what airline does Amtrak codeshare for transit to Newark Airport that originates or terminates at Union Station ?,transit to Newark Airport,"Amtrak also codeshares with United Airlines for travel to any airport serviced by United Airlines , via Newark Airport ( EWR ) originating from or terminating at Union Station ,",United Airlines,0
60,What did Samoa start growing more of to make up for the lost value of rubber ?,more of to make up for the lost value of rubber,"German merchants and settlers were active in introducing large scale plantation operations and developing new industries , notably cocoa bean and rubber , relying on imported labourers from China and Melanesia .",German merchants and settlers,1
61,"Besides Death Wish Coffee , how many other competitors participated in the contest ?",Death Wish Coffee,Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement .,Death Wish Coffee,0
62,Where do unstressed vowels reduce to three ?,unstressed vowels,"There are a few instances of unreduced [ e ] , [ o ] in some words .","a few instances of unreduced [ e ] , [ o ] in some words",1
63,What did the March 2013 agreement decide ?,the March 2013 agreement,"The 2012 – 2013 Cypriot financial crisis led to an agreement with the Eurogroup in March 2013 to split the country ' s second largest bank , the Cyprus Popular Bank ( also known as Laiki Bank ) , into a "" bad "" bank which would be wound down over time and a "" good "" bank which would be absorbed by the Bank of Cyprus .",The 2012 – 2013 Cypriot financial crisis,0
64,What percentage of students were admitted to Notre Dame in fall 2015 ?,What percentage,"Notre Dame is known for its competitive admissions , with the incoming class enrolling in fall 2015 admitting 3 , 577 from a pool of 18 , 156 ( 19 . 7 % ) .",Notre Dame,0
65,The Palacio Taranco was erected to be the residence for whom ?,The Palacio Taranco,The palace is often used as a meeting place by the Uruguayan government .,The palace,1
66,Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college ?,the creation of the College of Engineering similar studies,"The College of Engineering was established in 1920 , however , early courses in civil and mechanical engineering were a part of the College of Science since the 1870 s .",early courses in civil and mechanical engineering,0
67,What was determined to be the smallest effective round in 1935 ?,the smallest effective round,"However , in 1935 their trials showed that the minimum effective round was an impact fused 2 lb HE shell .",their trials,0
68,What year was the Canal de la Bruche added ?,the Canal de la Bruche,"That canal has since closed , but the subsequent Canal du Rhone au Rhine , Canal de la Marne au Rhin and Grand Canal d ' Alsace are still in use , as is the important activity of the Port autonome de Strasbourg .",That canal,1
69,Who was on Cygnet I when it crashed ?,Cygnet I,"The tetrahedral wings were named Cygnet I , II and III , and were flown both unmanned and manned ( Cygnet I crashed during a flight carrying Selfridge ) in the period from 1907 – 1912 .",The tetrahedral wings,0
70,Which type of schooling can be most expensive ?,Which type,"Open education is fast growing to become the dominant form of education , for many reasons such as its efficiency and results compared to traditional methods .",Open education,1
71,Is amnesia only seen in one form ?,one form,"Hyperthymesia , or hyperthymesic syndrome , is a disorder that affects an individual ' s autobiographical memory , essentially meaning that they can not forget small details that otherwise would not be stored .","Hyperthymesia , or hyperthymesic syndrome ,",1
72,What are pesticides most commonly used for ?,pesticides most commonly used for,"The most common use of pesticides is as plant protection products ( also known as crop protection products ) , which in general protect plants from damaging influences such as weeds , fungi , or insects .",The most common use of pesticides,0
73,In what year was Mubariz Khan defeated by Asif Jah I ?,Mubariz Khan,"In 1713 Farrukhsiyar , the Mughal emperor , appointed Asif Jah I to be Viceroy of the Deccan , with the title Nizam - ul - Mulk ( Administrator of the Realm ) .","Farrukhsiyar , the Mughal emperor ,",1
74,Which local author most recently enjoyed success for published works of fiction ?,published works of fiction,"In the 20 th century , numerous books were written and published locally , though few were directed at a wider market than Bermuda .",numerous books,1
75,What would the Chinese use to continue Confucian values ?,the Chinese,Their aim was to adopt western military technology in order to preserve Confucian values .,Their aim,0
76,Who did Victoria blame for the problems between herself and the Duchess ?,the problems between herself and the Duchess,"Through reading her mother ' s papers , Victoria discovered that her mother had loved her deeply ; she was heart - broken , and blamed Conroy and Lehzen for "" wickedly "" estranging her from her mother .",her mother ' s papers,0
77,What is another name for exoteric ?,another name for exoteric,"In the more spiritual or mystical Islamic tradition of Sufism , the position of spiritual teacher and an esoteric ( as opposed to exoteric , or actions - oriented , e . g . the Five Pillars of Islam ) spirituality and spiritual knowledge takes on a more important dimension , with emphasis on learning from living saints - the highest of which is a Qutb - and of traditions passed down from initiate to initiate , and traceable back to the founder of the order .",the position of spiritual teacher,0
78,What did the study aim to isolate ?,the study,"A detailed account of the techniques used to isolate the sounds deleted during MP3 compression , along with the conceptual motivation for the project , was published in the 2014 Proceedings of the International Computer Music Conference .","A detailed account of the techniques used to isolate the sounds deleted during MP3 compression , along with the conceptual motivation for the project ,",1
79,When did the sixth season of Digimon begin airing ?,the sixth season of Digimon,"It began airing in Japan on TV Asahi from July 6 , 2010 onwards .",TV Asahi,0
80,How many players can an NFL team have in the off - season ?,an NFL team,"These exhibition games , most of which are held in the month of August , are played for the purpose of helping coaches narrow down the roster from the offseason limit of 90 players to the regular - season limit of 53 players .","These exhibition games , most of which are held in the month of August ,",0
81,What ' s the name of the local ITV division ?,the name of the local ITV division,"That ' s Solent is an local television channel that began broadcasting in November 2014 , which will be based in and serve Southampton and Portsmouth .",That ' s Solent,1
82,What proves mosaics were used in the early middle ages ?,the early middle ages,"This could also be the case with the early 9 th century mosaic found under the Basilica of Saint - Quentin in Picardy , where antique motifs are copied but using only simple colors .",the case,1
83,What are three types of minerals Portugal is a notable producer of ?,three types,Portugal is a significant European minerals producer and is ranked among Europe ' s leading copper producers .,a significant European minerals producer,1
84,John spent much of 1205 doing what ?,much of 1205,John spent much of 1205 securing England against a potential French invasion .,much of 1205,0
85,During which financial year did the Melbourne rail network record its highest volume of passenger trips ?,which financial year,"In the 2013 – 2014 financial year , the Melbourne rail network recorded 232 . 0 million passenger trips , the highest in its history .",the Melbourne rail network,0
86,What town was Patrick Ollier a mayor of ?,Patrick Ollier,"Though the Metropole has a population of nearly seven million persons and accounts for 25 percent of the GDP of France , it has a very small budget ; just 65 million Euros , compared with eight billion Euros for the City of Paris .",a very small budget,1
87,Who translated the Bible to German ?,the Bible,"Lasting effects on the religions , cultures and languages of their respective countries have been exerted by such Bible translations as Martin Luther ' s into German , Jakub Wujek ' s into Polish , and the King James Bible ' s translators ' into English .","Lasting effects on the religions , cultures and languages of their respective countries",0
88,Classical music is rooted in what kind of tradition ?,Classical music,"The central norms of this tradition became codified between 1550 and 1900 , which is known as the common practice period .",The central norms of this tradition,1
89,What did the Pan American Health organization say these treatments violated ?,the Pan American Health organization,"Additionally , the Pan American Health Organization recommended that such malpractices be denounced and subject to sanctions and penalties under national legislation , as they constitute a violation of the ethical principles of health care and violate human rights that are protected by international and regional agreements .",the Pan American Health Organization,0
90,How does the US Air Force differ from other branches of the military ?,the US Air Force,"Although the paradigm is changing , for most of its history , the Air Force , completely unlike its sister services , has been an organization in which mostly its officers fought , not its enlisted force , the latter being primarily a rear echelon support force .",the Air Force,0
91,During what years did the Serbian Revolution occur ?,the Serbian Revolution,"A rebellion that originated in Moldavia as a diversion was followed by the main revolution in the Peloponnese , which , along with the northern part of the Gulf of Corinth , became the first parts of the Ottoman Empire to achieve independence ( in 1829 ) .",A rebellion that originated in Moldavia as a diversion,1
92,What is one way that the Empire was described as it related to culture ?,one way that the Empire was described as it related to culture,"When compared to the Turkish folk culture , the influence of these new cultures in creating the culture of the Ottoman elite was clear .",the influence of these new cultures in creating the culture of the Ottoman elite,1
93,What is the goal of Smart Bodies ?,the goal of Smart Bodies,It is an interactive educational program designed to help prevent childhood obesity through classroom activities that teach children healthful eating habits and physical exercise .,an interactive educational program designed to help prevent childhood obesity through classroom activities that teach children healthful eating habits and physical exercise,1
94,What are the Bronx ' s four low peninsulas ?,the Bronx ' s four low peninsulas,"Further up the coastline , Rodman ' s Neck lies between Pelham Bay Park in the northeast and City Island .",Rodman ' s Neck,1
95,On which date did Arsenal name a fully foreign 16 - man squad for a match ?,which date,"On 26 December 1999 , Chelsea became the first Premier League side to field an entirely foreign starting line - up , and on 14 February 2005",26 December 1999,0
96,What follows the watershed from the Mediterranean Sea to the Wienerwald ?,the watershed,"Upon reaching the Swiss border , the line of the main chain heads approximately east - northeast , a heading it follows until its end near Vienna .",the line,1
97,In what city did the 1981 FIBA African Championship take place ?,the 1981 FIBA African Championship,"He also won silver medals in this event at the 1987 and 1991 World Championships , as well as the 1985 IAAF World Marathon Cup .",silver medals,1
98,Where in the United States did the Spanish explore ?,the Spanish,The Spanish explorers explored areas of 42 future U . S . states leaving behind a varying range of Hispanic legacy in the North American continent .,The Spanish explorers,0
99,What is the process of adapting to the environment and inheriting changes through use or disuse called ?,the process of adapting to the environment and inheriting changes through use or disuse called,"Both envisaged that spontaneous generation produced simple forms of life that progressively developed greater complexity , adapting to the environment by inheriting changes in adults caused by use or disuse .",spontaneous generation,1
100,What American naval officer led a raid that destroyed a captured American ship ?,American naval officer,"After the U . S . S . Philadelphia was captured in 1803 , Lieutenant Stephen Decatur led a raid which successfully burned the captured ship , preventing Tripoli from using or selling it .",Lieutenant Stephen Decatur,0
101,In 2007 which Japenese Prime Minister said there was no proof of coercion of women to be sexual slaves ?,Japenese Prime Minister,"A widely publicised example of institutionalised sexual slavery are "" comfort women "" , a euphemism for the 200 , 000 women , mostly from Korea and China , who served in the Japanese army ' s camps during World War II .",A widely publicised example of institutionalised sexual slavery,1
102,Which European government contributed the least to the UNFPA in 2008 ?,the least to the UNFPA,"Of the total income of M845 . 3 M , $ 118 was donated by the Netherlands , $ 67 M by Sweden , $ 62 M by Norway , $ 54 M by Denmark , $ 53 M by the UK , $ 52 M by Spain , $ 19 M by Luxembourg .",$ 67 M by Sweden,0
103,In what geographic part of Libya is Bani Walid located ?,Bani Walid,"Only a few towns in western Libya — such as Bani Walid , Sebha and Sirte — remained Gaddafist strongholds .",Only a few towns,0
104,How many MRAP vehicles has the Pentagon bought since 2007 ?,the Pentagon,"The Oshkosh M - ATV will be kept the most at 5 , 681 vehicles , as it is smaller and lighter than other MRAPs for off - road mobility .",The Oshkosh M - ATV,1
105,Why does Stewart Guthrie believe that people project their human features onto non human things ?,Stewart Guthrie,"Pascal Boyer argues that while there is a wide array of supernatural concepts found around the world , in general , supernatural beings tend to behave much like people .",Pascal Boyer,1
106,Who is the interior moulding of the Mace and Chain building rumored to have belonged to ?,the interior moulding of the Mace and Chain building rumored to have belonged to,"Interior moulding is said to have belonged to Benedict Arnold ; Manuscript Society , King Lui - Wu with Dan Kniley responsible for landscaping and Josef Albers for the brickwork intaglio mural .",Interior moulding,0
107,Which former Idol star made an appearance for Cowell ' s tribute ?,an appearance for Cowell ' s tribute,A special tribute to Simon Cowell was presented in the finale for his final season with the show .,A special tribute to Simon Cowell,1
108,What is supposed to be the last resort for police ?,the last resort for police,"A "" shoot - to - kill "" policy was recently introduced in South Africa , which allows police to use deadly force against any person who poses a significant threat to them or civilians .","A "" shoot - to - kill "" policy",1
109,What Charleston Reverend established the Jenkins Orphanage ?,Charleston Reverend,The Jenkins Orphanage was established in 1891 by the Rev . Daniel J . Jenkins in Charleston .,The Jenkins Orphanage,0
110,Who helped Albert Magnus bring Aristotelian curriculum to Dominican classrooms ?,Albert Magnus,"Under the auspices of Humbert of Romans , Albert molded the curriculum of studies for all Dominican students , introduced Aristotle to the classroom and probed the work of Neoplatonists , such as Plotinus .",the auspices of Humbert of Romans,1
111,In what year was India ' s constitution drafted ?,India ' s constitution,"In India , the longest constitutional text in the history of the world has governed that country since 1950 .",the longest constitutional text in the history of the world,0
112,The highest ranking person ' s title in British india is ?,The highest ranking person ' s title in British india,The company was allowed to maintain its virtual monopoly over trade in exchange for the biennial sum and was obligated to export a minimum quantity of goods yearly to Britain .,The company,1
113,What was the policy of dividing land among families of color referred to as ?,the policy,"The decisions came to be known as affirmative action in which mandatory , as well as voluntary programs , affirmed the civil rights of people of color .",The decisions,1
114,When was Madonna ' s daughter born ?,Madonna ' s daughter,"Biographer Mary Cross writes that although Madonna was often ill during the filming and worried that her pregnancy would harm the film , she reached some important personal goals : "" Now 38 years old , Madonna had at last triumphed on screen and achieved her dream of having a child , both in the same year .",Biographer Mary Cross,1
115,Which family member came to Paris in June 1849 ?,Which family member,"In June 1849 his sister Ludwika came to Paris with her husband and daughter , and in September , supported by a loan from Jane Stirling , he took an apartment at Place Vendôme 12 .",his sister Ludwika,0
116,What is the Drosophila gene the cause of ?,the Drosophila gene,Their interactions result in an interlocked feedback loop of gene products resulting in periodic fluctuations that the cells of the body interpret as a specific time of the day . [ citation needed ],Their interactions,1
117,What national part is located in the South West ?,the South West,"In the north , the Manovo - Gounda St Floris National Park is well - populated with wildlife , including leopards , lions , cheetahs and rhinos , and the Bamingui - Bangoran National Park is located in the northeast of CAR .",the Manovo - Gounda St Floris National Park,1
118,How long was Nanjing the capital of the Southern dynasties ?,the capital of the Southern dynasties,"During the period of North – South division , Nanjing remained the capital of the Southern dynasties for more than two and a half centuries .",the period of North – South division,0
119,Southern Alaska has what two Koppen climate classifications ?,Southern Alaska,The climate in Southeast Alaska is a mid - latitude oceanic climate ( Köppen climate classification : Cfb ) in the southern sections and a subarctic oceanic climate ( Köppen Cfc ) in the northern parts .,The climate in Southeast Alaska,0
120,What did the movements in Bengal serve to awaken in Indians ?,the movements in Bengal,It played an important role in reawakening Indian minds and intellect across the sub - continent .,an important role,0
121,How high is Tucson ' s airport ?,Tucson ' s airport,"The highest point in the area is Mount Wrightson , found in the Santa Rita Mountains at 9 , 453 ft ( 2 , 881 m ) above sea level .",The highest point in the area,1
122,What is one agency who is trying to help make the trade of pesticides safer ?,one agency who is trying to help make the trade of pesticides safer,Three other efforts to improve regulation of international pesticide trade are the United Nations London Guidelines for the Exchange of Information on Chemicals in International Trade and the United Nations Codex Alimentarius Commission . [ citation needed ],Three other efforts to improve regulation of international pesticide trade,0
123,Which German politician defended comprehensive schools ?,Which German politician,"As a reaction , Sigrid Beer ( Alliance ' 90 / The Greens ) stated that comprehensives were structurally discriminated against by the government , which favoured the Gymnasiums .",Sigrid Beer ( Alliance ' 90 / The Greens ),0
124,What is Oklahoma ' s largest school district ?,Oklahoma ' s largest school district,"KIPP Reach College Preparatory School in Oklahoma City received the 2012 National Blue Ribbon along with its school leader , Tracy McDaniel Sr . , being awarded the Terrel H . Bell Award for Outstanding Leadership .",KIPP Reach College Preparatory School in Oklahoma City,1
125,What is the average income for a full time male worker ?,the average income for a full time male worker,"Full - time year - round male workers had a median income of $ 52 , 544 versus $ 46 , 540 for full - time year - round female workers .",Full - time year - round male workers,0
126,Who is a projecting Lady Chapel dedicated to ?,a projecting Lady Chapel,"It is often square ended or has a projecting Lady Chapel , dedicated to the Virgin Mary .","a projecting Lady Chapel , dedicated to the Virgin Mary",0
127,Is this licence required on a permanent basis ?,this licence,The UEFA Pro Licence is required by every person who wishes to manage a club in the Premier League on a permanent basis (,The UEFA Pro Licence,0
128,On what day did the 1975 constitutional crisis deadlock end ?,the 1975 constitutional crisis deadlock,"Following the 1974 – 75 Loans Affair , the Malcolm Fraser led Liberal - Country Party Coalition argued that the Whitlam Government was incompetent and delayed passage of the Government ' s money bills in the Senate , until the government would promise a new election .",the Malcolm Fraser,1
129,What type of covers of pop and rock songs were usually played on adult contemporary ?,covers of pop and rock songs,"The custom recordings were usually instrumental versions of current or recent rock and roll or pop hit songs , a move intended to give the stations more mass appeal without selling out .",The custom recordings,0
130,New forms of Buddhism are created because of what reason ?,New forms of Buddhism,"At the present time , the teachings of all three branches of Buddhism have spread throughout the world , and Buddhist texts are increasingly translated into local languages .",the teachings of all three branches of Buddhism,1
131,Goldenson proposed a merger between UPT and what network in October 1954 ?,a merger between UPT and what network in October 1954,"Despite the promise of non - interference between ABC and UPT , Goldenson had to intervene in ABC ' s decisions because of financial problems and the FCC ' s long period of indecision .",the promise of non - interference between ABC and UPT,1
132,What has been found along the current Route des Romains ?,the current Route des Romains,"Many Roman artifacts have also been found along the current Route des Romains , the road that led to Argentoratum , in the suburb of Kœnigshoffen .",Many Roman artifacts,0
