,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
10,Which states had the same stadtholder as Holland ?,Which states had 네덜란드와 같은 stadtholder ?,the same stadtholder as Holland,네덜란드와 같은 stadtholder,"However , in practice the princes of Orange of the House of Orange - Nassau , beginning with William the Silent , were always chosen as stadtholders of most of the provinces .","However , in practice 오렌지 가문의 오렌지 왕자 - 나소, 침묵의 윌리엄으로 시작, were always chosen as stadtholders of most of the provinces .","the princes of Orange of the House of Orange - Nassau , beginning with William the Silent ,","오렌지 가문의 오렌지 왕자 - 나소, 침묵의 윌리엄으로 시작,",1
11,"To what does "" channel "" refer in terms if adolescent communication ?","To what does "" channel "" refer in terms if 청소년 의사소통 ?",adolescent communication,청소년 의사소통,"Channel , in this respect , refers to the form of communication , be it face - to - face , email , text message , phone or other .","Channel , in 이 존경심 , refers to the form of communication , be it face - to - face , email , text message , phone or other .",this respect,이 존경심,0
12,The first transistorised computer was operational in what year ?,최초의 트랜지스터 컴퓨터 was operational in what year ?,The first transistorised computer,최초의 트랜지스터 컴퓨터,"Their first transistorised computer and the first in the world , was operational by 1953 , and a second version was completed there in April 1955 .","최초의 트랜지스터 컴퓨터이자 세계 최초의 컴퓨터, was operational by 1953 , and a second version was completed there in April 1955 .","Their first transistorised computer and the first in the world ,","최초의 트랜지스터 컴퓨터이자 세계 최초의 컴퓨터,",0
13,What year did the Neuropsychopharmacology journal publist a study about the effect on the brain of beers flavor ?,What year did 신경정신약리학 저널 publist a study about the effect on the brain of beers flavor ?,the Neuropsychopharmacology journal,신경정신약리학 저널,"A study published in the Neuropsychopharmacology journal in 2013 revealed the finding that the flavour of beer alone could provoke dopamine activity in the brain of the male participants , who wanted to drink more as a result .","2013년 Neuropsychopharmacology 저널에 발표된 연구 revealed the finding that the flavour of beer alone could provoke dopamine activity in the brain of the male participants , who wanted to drink more as a result .",A study published in the Neuropsychopharmacology journal in 2013,2013년 Neuropsychopharmacology 저널에 발표된 연구,0
14,What did the NAS Bermuda offer once designated Annex ?,What did NAS 버뮤다 제안 once designated Annex ?,the NAS Bermuda offer,NAS 버뮤다 제안,"It provided optional anchorage and / or dockage facilities for transiting US Navy , US Coast Guard and NATO vessels , depending on size .","It provided 선택적 정박지 및/또는 부두 시설 for transiting US Navy , US Coast Guard and NATO vessels , depending on size .",optional anchorage and / or dockage facilities,선택적 정박지 및/또는 부두 시설,0
15,What did Nasser want to use the agreement to do ?,What did Nasser want to use 동의서 to do ?,the agreement,동의서,"Nasser had initially rejected the plan , but conceded under pressure from the Soviet Union , which feared that escalating regional conflict could drag it into a war with the US .","Nasser had initially rejected 계획 , but conceded under pressure from the Soviet Union , which feared that escalating regional conflict could drag it into a war with the US .",the plan,계획,1
16,The early Queen logo resembled the coat of arms of what country ?,초기 퀸 로고 resembled the coat of arms of what country ?,The early Queen logo,초기 퀸 로고,"The whole symbol bears a passing resemblance to the Royal coat of arms of the United Kingdom , particularly with the lion supporters .","전체 기호 bears a passing resemblance to the Royal coat of arms of the United Kingdom , particularly with the lion supporters .",The whole symbol,전체 기호,0
17,Ann Arbor has been linked with which university ?,앤아버 has been linked with which university ?,Ann Arbor,앤아버,"It was not until the early 1880 s that Ann Arbor again saw robust growth , with new immigrants coming from Greece , Italy , Russia , and Poland .","It was not until 1880년대 초 that Ann Arbor again saw robust growth , with new immigrants coming from Greece , Italy , Russia , and Poland .",the early 1880 s,1880년대 초,1
18,Many of John ' s mistresses were what ?,존의 여주인 중 다수 were what ?,Many of John ' s mistresses,존의 여주인 중 다수,"It was common for kings and nobles of the period to keep mistresses , but chroniclers complained that John ' s mistresses were married noblewomen , which was considered unacceptable .","It was common for 그 시대의 왕과 귀족들 to keep mistresses , but chroniclers complained that John ' s mistresses were married noblewomen , which was considered unacceptable .",kings and nobles of the period,그 시대의 왕과 귀족들,0
19,Which of Bell ' s students is the most well known ?,Which of 벨의 학생들 is the most well known ?,Bell ' s students,벨의 학생들,"She was later to say that Bell dedicated his life to the penetration of that "" inhuman silence which separates and estranges . ""","She was later to say that Bell dedicated 그의 삶 to the penetration of that "" inhuman silence which separates and estranges . """,his life,그의 삶,1
20,What Manhattan development is the product of land reclamation ?,What 맨해튼 개발 is the product of land reclamation ?,Manhattan development,맨해튼 개발,"The city ' s land has been altered substantially by human intervention , with considerable land reclamation along the waterfronts since Dutch colonial times ; reclamation is most prominent in Lower Manhattan , with developments such as Battery Park City in the 1970 s and 1980 s .","도시의 땅 has been altered substantially by human intervention , with considerable land reclamation along the waterfronts since Dutch colonial times ; reclamation is most prominent in Lower Manhattan , with developments such as Battery Park City in the 1970 s and 1980 s .",The city ' s land,도시의 땅,0
21,What has increased tourism to Tibet in recent years ?,What has increased tourism to Tibet in 최근 몇 년 ?,recent years,최근 몇 년,"In recent years , due to increased interest in Tibetan Buddhism , tourism has become an increasingly important sector , and is actively promoted by the authorities .","In 최근 몇 년 , due to increased interest in Tibetan Buddhism , tourism has become an increasingly important sector , and is actively promoted by the authorities .",recent years,최근 몇 년,0
22,What sport does the most famous Namibian athlete participate in ?,What sport does 가장 유명한 나미비아 운동선수 participate in ?,the most famous Namibian athlete,가장 유명한 나미비아 운동선수,"The most famous athlete from Namibia is Frankie Fredericks , sprinter ( 100 and 200 m ) .","나미비아의 가장 유명한 운동선수 is Frankie Fredericks , sprinter ( 100 and 200 m ) .",The most famous athlete from Namibia,나미비아의 가장 유명한 운동선수,0
23,"Who was formally deposed by the Yugoslav Constitutent Assembly on November 29 , 1945 ?","Who was formally deposed by 유고슬라비아 제헌의회 on November 29 , 1945 ?",the Yugoslav Constitutent Assembly,유고슬라비아 제헌의회,"On 29 November 1945 , King Peter II was formally deposed by the Yugoslav Constituent Assembly .","On 29 November 1945 , 피터 2세 왕 was formally deposed by the Yugoslav Constituent Assembly .",King Peter II,피터 2세 왕,0
24,What year did Chopin compose his first work ?,What year did Chopin compose 그의 첫 작품 ?,his first work,그의 첫 작품,"By the age of seven Fryderyk had begun giving public concerts , and in 1817 he composed two polonaises , in G minor and B - flat major .","By 일곱 살 Fryderyk had begun giving public concerts , and in 1817 he composed two polonaises , in G minor and B - flat major .",the age of seven,일곱 살,0
25,What is used to close the circuit of a dipole antenna ?,What is used to close 다이폴 안테나의 회로 ?,the circuit of a dipole antenna,다이폴 안테나의 회로,"In this way , the ground ( or any large conductive surface ) plays the role of the second conductor of a dipole , thereby forming a complete circuit .","In this way , 지면(또는 큰 전도성 표면) plays the role of the second conductor of a dipole , thereby forming a complete circuit .",the ground ( or any large conductive surface ),지면(또는 큰 전도성 표면),0
26,Who did Gegeen appoint as grand chancellor ?,Who did Gegeen appoint as 총리 ?,grand chancellor,총리,"They placed Yesün Temür ( or Taidingdi ) on the throne , and , after an unsuccessful attempt to calm the princes , he also succumbed to regicide .","They placed 왕좌에 오른 예순 테무르(또는 타이딩디) , and , after an unsuccessful attempt to calm the princes , he also succumbed to regicide .",Yesün Temür ( or Taidingdi ) on the throne,왕좌에 오른 예순 테무르(또는 타이딩디),1
27,What did Musharraf say his ban wasn ' t influenced by ?,What did Musharraf say 그의 금지령은 't'였어 influenced by ?,his ban wasn ' t,그의 금지령은 't'였어,"It was not taken under any foreign influence "" .","It was not taken under 어떤 외국 영향 "" .",any foreign influence,어떤 외국 영향,0
28,In what park is the American Airlines Arena located ?,In what park is 아메리칸 에어라인 아레나 located ?,the American Airlines Arena,아메리칸 에어라인 아레나,"The largest and most popular parks are Bayfront Park and Bicentennial Park ( located in the heart of Downtown and the location of the American Airlines Arena and Bayside Marketplace ) , Tropical Park , Peacock Park , Morningside Park , Virginia Key , and Watson Island .","가장 크고 가장 인기 있는 공원 are Bayfront Park and Bicentennial Park ( located in the heart of Downtown and the location of the American Airlines Arena and Bayside Marketplace ) , Tropical Park , Peacock Park , Morningside Park , Virginia Key , and Watson Island .",The largest and most popular parks,가장 크고 가장 인기 있는 공원,0
29,What was tyrothricin used for during the war ?,What was tyrothricin used for during 전쟁 ?,the war,전쟁,Research results obtained during that period were not shared between the Axis and the Allied powers during the war .,그 기간 동안 얻은 연구 결과 were not shared between the Axis and the Allied powers during the war .,Research results obtained during that period,그 기간 동안 얻은 연구 결과,1
30,How would you compare the rules of a treaty and a covenant under international law ?,How would you compare 국제법상의 조약 및 규약의 규칙 ?,the rules of a treaty and a covenant under international law,국제법상의 조약 및 규약의 규칙,"Regardless of terminology , all of these forms of agreements are , under international law , equally considered treaties and the rules are the same .","Regardless of terminology , 이 모든 형태의 계약은 are , under international law , equally considered treaties and the rules are the same .",all of these forms of agreements,이 모든 형태의 계약은,0
31,What are these districts known as ?,What are 이들 구역 known as ?,these districts,이들 구역,"Districts are further divided into fifteen sub - districts known as nafot ( נפות ; singular : nafa ) , which are themselves partitioned into fifty natural regions .","Districts are further divided into 나포트(נפות, 단수: nafa)로 알려진 15개의 하위 구역은 50개의 자연 지역으로 나누어져 있습니다 .","fifteen sub - districts known as nafot ( נפות ; singular : nafa ) , which are themselves partitioned into fifty natural regions","나포트(נפות, 단수: nafa)로 알려진 15개의 하위 구역은 50개의 자연 지역으로 나누어져 있습니다",1
32,What was the name of the non - subscription Xbox online gaming service ?,What was 비구독 Xbox 온라인 게임 서비스의 이름 ?,the name of the non - subscription Xbox online gaming service,비구독 Xbox 온라인 게임 서비스의 이름,"A Live Free account does not generally support multiplayer gaming ; however , some games that have rather limited online functions already , ( such as Viva Piñata ) or games that feature their own subscription service ( e . g . EA Sports games ) can be played with a Free account .","라이브 무료 계정 does not generally support multiplayer gaming ; however , some games that have rather limited online functions already , ( such as Viva Piñata ) or games that feature their own subscription service ( e . g . EA Sports games ) can be played with a Free account .",A Live Free account,라이브 무료 계정,1
33,Who wrote the supplemental material added to the Lectures book in 2005 ?,Who wrote 보충 자료 added to the Lectures book in 2005 ?,the supplemental material,보충 자료,"The Feynman Lectures on Physics is perhaps his most accessible work for anyone with an interest in physics , compiled from lectures to Caltech undergraduates in 1961 – 64 .","파인만의 물리학 강의 is perhaps his most accessible work for anyone with an interest in physics , compiled from lectures to Caltech undergraduates in 1961 – 64 .",The Feynman Lectures on Physics,파인만의 물리학 강의,1
34,Who lead the rebellion against the 1211 settlement ?,Who lead 1211 정착촌에 대한 반란 ?,the rebellion against the 1211 settlement,1211 정착촌에 대한 반란,"John put off dealing with the badly deteriorating situation in North Wales , where Llywelyn the Great was leading a rebellion against the 1211 settlement .",John put off dealing with Llywelyn the Great가 1211년 정착지에 반란을 주도하고 있던 North Wales의 상황이 심각하게 악화되었습니다 .,"the badly deteriorating situation in North Wales , where Llywelyn the Great was leading a rebellion against the 1211 settlement",Llywelyn the Great가 1211년 정착지에 반란을 주도하고 있던 North Wales의 상황이 심각하게 악화되었습니다,0
35,The Melbourne financial crisis was a contributing factor to what banking crisis in 1893 ?,멜버른 금융 위기 was a contributing factor to what banking crisis in 1893 ?,The Melbourne financial crisis,멜버른 금융 위기,"A brash boosterism that had typified Melbourne during this time ended in the early 1890 s with a severe depression of the city ' s economy , sending the local finance and property industries into a period of chaos during which 16 small "" land banks "" and building societies collapsed , and 133 limited companies went into liquidation .","이 시기 멜버른을 대표했던 뻔뻔스러운 부스터리즘 ended in the early 1890 s with a severe depression of the city ' s economy , sending the local finance and property industries into a period of chaos during which 16 small "" land banks "" and building societies collapsed , and 133 limited companies went into liquidation .",A brash boosterism that had typified Melbourne during this time,이 시기 멜버른을 대표했던 뻔뻔스러운 부스터리즘,1
36,How is Houston Public Radio funded ?,How is 휴스턴 공영 라디오 funded ?,Houston Public Radio,휴스턴 공영 라디오,The Woodlands – Sugar Land metropolitan area is served by one public television station and two public radio stations .,우드랜드 – 슈거랜드 수도권 is served by one public television station and two public radio stations .,The Woodlands – Sugar Land metropolitan area,우드랜드 – 슈거랜드 수도권,1
37,What language is used for formal purposes by business and government institutes of New Delhi ?,What language is used for 공식적인 목적 by business and government institutes of New Delhi ?,formal purposes,공식적인 목적,English is primarily used as the formal language by business and government institutes .,English is primarily used as 형식적인 언어 by business and government institutes .,the formal language,형식적인 언어,0
38,What is the liquefied mixture called ?,What is 액화된 혼합물 called ?,the liquefied mixture,액화된 혼합물,"This mixture is often called "" bitumen feedstock "" , or BFS .","이 혼합물 is often called "" bitumen feedstock "" , or BFS .",This mixture,이 혼합물,0
39,what is the section of oklahoma and texas that Hernando de Soto traveled ?,what is 에르난도 데 소토가 여행한 오클라호마와 텍사스 지역 ?,the section of oklahoma and texas that Hernando de Soto traveled,에르난도 데 소토가 여행한 오클라호마와 텍사스 지역,"In that same time period , Hernando de Soto crossed a west - northwest direction in what is now Oklahoma and Texas .","In that same time period , 에르난도 데 소토 crossed a west - northwest direction in what is now Oklahoma and Texas .",Hernando de Soto,에르난도 데 소토,1
40,How are the terms Hispanic and Latino not specific ?,How are 히스패닉과 라틴계라는 용어 not specific ?,the terms Hispanic and Latino,히스패닉과 라틴계라는 용어,"The definitions of both terms are non - race specific , and include people who consider themselves to be of distinct races ( Black , White , Amerindian , Asian , and mixed groups ) .","두 용어의 정의 are non - race specific , and include people who consider themselves to be of distinct races ( Black , White , Amerindian , Asian , and mixed groups ) .",The definitions of both terms,두 용어의 정의,0
41,What is the most prevalent type of climate nCalifornia ?,What is 캘리포니아에서 가장 널리 퍼진 기후 유형 ?,the most prevalent type of climate nCalifornia,캘리포니아에서 가장 널리 퍼진 기후 유형,"The Cascades are one of the snowiest places in the world , with some places averaging over 600 inches ( 1 , 524 cm ) of snow annually , but the lower elevations closer to the coast receive very little snow .","캐스케이드 are one of the snowiest places in the world , with some places averaging over 600 inches ( 1 , 524 cm ) of snow annually , but the lower elevations closer to the coast receive very little snow .",The Cascades,캐스케이드,1
42,Although there are challenges a unified European alphabet is feasible even in the absence of which common language rule ?,Although there are 통일된 유럽 알파벳에 도전하다 is feasible even in the absence of which common language rule ?,challenges a unified European alphabet,통일된 유럽 알파벳에 도전하다,"As briefly discussed in Unicode Technical Note # 26 , "" In terms of implementation issues , any attempt at a unification of Latin , Greek , and Cyrillic would wreak havoc [ and ] make casing operations an unholy mess , in effect making all casing operations context sensitive [ … ] "" .","As briefly discussed in Unicode Technical Note # 26 , "" In terms of implementation issues , 라틴어, 그리스어, 키릴 문자를 통합하려는 시도 would wreak havoc [ and ] make casing operations an unholy mess , in effect making all casing operations context sensitive [ … ] "" .","any attempt at a unification of Latin , Greek , and Cyrillic","라틴어, 그리스어, 키릴 문자를 통합하려는 시도",1
43,What is one type of pesticide ?,What is 농약의 한 종류 ?,one type of pesticide,농약의 한 종류,"Pesticides can also be considered as either biodegradable pesticides , which will be broken down by microbes and other living beings into harmless compounds , or persistent pesticides , which may take months or years before they are broken down : it was the persistence of DDT , for example , which led to its accumulation in the food chain and its killing of birds of prey at the top of the food chain .","Pesticides can also be considered as either biodegradable pesticides , which will be broken down by microbes and other living beings into harmless compounds , or persistent pesticides , which may take months or years before they are broken down : it was 예를 들어, DDT의 지속성은 먹이 사슬에 축적되어 먹이 사슬의 최상위에 있는 맹금류를 죽게 만듭니다 .","the persistence of DDT , for example , which led to its accumulation in the food chain and its killing of birds of prey at the top of the food chain","예를 들어, DDT의 지속성은 먹이 사슬에 축적되어 먹이 사슬의 최상위에 있는 맹금류를 죽게 만듭니다",0
44,Houston ranked 3 rd in which category by Forbes magazine in 2006 ?,Houston ranked 3 rd in 어느 카테고리 by Forbes magazine in 2006 ?,which category,어느 카테고리,"Foreign governments have established 92 consular offices in Houston ' s metropolitan area , the third highest in the nation .","외국 정부 have established 92 consular offices in Houston ' s metropolitan area , the third highest in the nation .",Foreign governments,외국 정부,1
45,What can be added to f0 to create a standing wave pattern ?,What can be added to f0 to create 정상파 패턴 ?,a standing wave pattern,정상파 패턴,"The standing wave forms with this desired pattern at the design frequency , f0 , and antennas are normally designed to be this size .","정재파 forms with this desired pattern at the design frequency , f0 , and antennas are normally designed to be this size .",The standing wave,정재파,1
46,Why did India and Sweden never determine how much the US would compensate China ?,Why did 인도와 스웨덴 never determine how much the US would compensate China ?,India and Sweden,인도와 스웨덴,The US proposed that a commission of India and Sweden determine what the US should pay in compensation but the Soviets vetoed the US proposal .,미국 proposed that a commission of India and Sweden determine what the US should pay in compensation but the Soviets vetoed the US proposal .,The US,미국,0
47,What beach sport was inveted in San Diego ?,What beach sport was inveted in 샌디에고 ?,San Diego,샌디에고,"The amateur beach sport Over - the - line was invented in San Diego , and the annual world Over - the - line championships are held at Mission Bay every year .","아마추어 해변 스포츠 오버 더 라인 was invented in San Diego , and the annual world Over - the - line championships are held at Mission Bay every year .",The amateur beach sport Over - the - line,아마추어 해변 스포츠 오버 더 라인,0
48,What do special referees have the ability to do ?,What do 특별심판 have the ability to do ?,special referees,특별심판,"They also have the power to eject from ringside any of the heel wrestler ' s entourage / stable , who may otherwise interfere with the match .",They also have 경기를 방해할 수 있는 힐 레슬링 선수의 측근/마구간을 경기장에서 쫓아낼 수 있는 권한 .,"the power to eject from ringside any of the heel wrestler ' s entourage / stable , who may otherwise interfere with the match",경기를 방해할 수 있는 힐 레슬링 선수의 측근/마구간을 경기장에서 쫓아낼 수 있는 권한,0
49,"What airlines was award the "" Best regional airline in Europe "" award by Skytrax ?","What airlines was award ""유럽 최고의 지역 항공사"" 상 by Skytrax ?","the "" Best regional airline in Europe "" award","""유럽 최고의 지역 항공사"" 상","Readers Choice Awards : Top Domestic Airline "" award .","독자 초이스 어워드 : Top Domestic Airline "" award .",Readers Choice Awards,독자 초이스 어워드,1
50,What things show Corks diverse culural background ?,What things show 코르크의 다양한 문화적 배경 ?,Corks diverse culural background,코르크의 다양한 문화적 배경,"Cork also features various Christian churches , as well as a mosque .",Cork also features 다양한 기독교 교회와 모스크 .,"various Christian churches , as well as a mosque",다양한 기독교 교회와 모스크,1
51,During what time did Kadamba rule northern Karnataka ?,During what time did Kadamba rule 북부 카르나타카 ?,northern Karnataka,북부 카르나타카,"Kadamba ( 345 – 525 CE ) was an ancient royal dynasty of Karnataka , India that ruled northern Karnataka and the Konkan from Banavasi in present - day Uttara Kannada district .","카담바(345 – 525 CE) was an ancient royal dynasty of Karnataka , India that ruled northern Karnataka and the Konkan from Banavasi in present - day Uttara Kannada district .",Kadamba ( 345 – 525 CE ),카담바(345 – 525 CE),0
52,Does a high ranking on the HDI indicate shorter or longer life expectancy ?,Does HDI에서 높은 순위 indicate shorter or longer life expectancy ?,a high ranking on the HDI,HDI에서 높은 순위,"The Human Development Index ( HDI ) is a composite statistic of life expectancy , education , and income per capita indicators , which are used to rank countries into four tiers of human development .","인간개발지수(HDI) is a composite statistic of life expectancy , education , and income per capita indicators , which are used to rank countries into four tiers of human development .",The Human Development Index ( HDI ),인간개발지수(HDI),1
53,How many prisoners did Napoleon ' s army capture in the Italian campaign ?,How many prisoners did 나폴레옹의 군대 포획 in the Italian campaign ?,Napoleon ' s army capture,나폴레옹의 군대 포획,"In this Italian campaign , Bonaparte ' s army captured 150 , 000 prisoners , 540 cannons , and 170 standards .","In this Italian campaign , 보나파르트의 군대 captured 150 , 000 prisoners , 540 cannons , and 170 standards .",Bonaparte ' s army,보나파르트의 군대,0
54,which bird migrates by circling the earth ?,which bird migrates by circling 지구 ?,the earth,지구,"The Arctic tern holds the long - distance migration record for birds , travelling between Arctic breeding grounds and the Antarctic each year .","북극제비갈매기 holds the long - distance migration record for birds , travelling between Arctic breeding grounds and the Antarctic each year .",The Arctic tern,북극제비갈매기,1
55,When did the Cincinnati Red Stockings come to be ?,When did 신시내티 레드 스타킹스 come to be ?,the Cincinnati Red Stockings,신시내티 레드 스타킹스,"The franchise soon relocated to Boston and is now the Atlanta Braves , but its name survives as the origin for both the Cincinnati Reds and Boston Red Sox .","프랜차이즈 soon relocated to Boston and is now the Atlanta Braves , but its name survives as the origin for both the Cincinnati Reds and Boston Red Sox .",The franchise,프랜차이즈,1
56,Which street forms the boundary between Harlem and Washington Heights ?,Which street forms 할렘과 워싱턴 하이츠의 경계 ?,the boundary between Harlem and Washington Heights,할렘과 워싱턴 하이츠의 경계,It is the northernmost of the 155 crosstown streets mapped out in the Commissioner ' s Plan of 1811 that established the numbered street grid in Manhattan .,It is 맨해튼에 번호가 매겨진 거리 격자를 설정한 1811년 국장의 계획에 계획된 155개의 교차로 거리 중 최북단 .,the northernmost of the 155 crosstown streets mapped out in the Commissioner ' s Plan of 1811 that established the numbered street grid in Manhattan,맨해튼에 번호가 매겨진 거리 격자를 설정한 1811년 국장의 계획에 계획된 155개의 교차로 거리 중 최북단,1
57,What was the population of Sichuan in 1832 ?,What was 쓰촨성의 인구 in 1832 ?,the population of Sichuan,쓰촨성의 인구,"As of 1832 , Sichuan was the most populous of the 18 provinces in China , with an estimated population at that time of 21 million .","As of 1832 , Sichuan was 가장 인구가 많은 of the 18 provinces in China , with an estimated population at that time of 21 million .",the most populous,가장 인구가 많은,0
58,Who issued the first round of official characters ?,Who issued 첫 번째 공식 캐릭터 ?,the first round of official characters,첫 번째 공식 캐릭터,"Although most of the simplified Chinese characters in use today are the result of the works moderated by the government of the People ' s Republic of China in the 1950 s and 60 s , character simplification predates the republic ' s formation in 1949 .","Although most of the simplified Chinese characters in use today are the result of the works moderated by the government of the People ' s Republic of China in the 1950 s and 60 s , 문자 단순화 predates the republic ' s formation in 1949 .",character simplification,문자 단순화,1
59,With what airline does Amtrak codeshare for transit to Newark Airport that originates or terminates at Union Station ?,With what airline does Amtrak codeshare for 뉴어크 공항으로 환승 that originates or terminates at Union Station ?,transit to Newark Airport,뉴어크 공항으로 환승,"Amtrak also codeshares with United Airlines for travel to any airport serviced by United Airlines , via Newark Airport ( EWR ) originating from or terminating at Union Station ,","Amtrak also codeshares with 유나이티드 항공사 for travel to any airport serviced by United Airlines , via Newark Airport ( EWR ) originating from or terminating at Union Station ,",United Airlines,유나이티드 항공사,0
60,What did Samoa start growing more of to make up for the lost value of rubber ?,What did Samoa start growing 잃어버린 고무의 가치를 보충하기 위해 ?,more of to make up for the lost value of rubber,잃어버린 고무의 가치를 보충하기 위해,"German merchants and settlers were active in introducing large scale plantation operations and developing new industries , notably cocoa bean and rubber , relying on imported labourers from China and Melanesia .","독일 상인과 정착민 were active in introducing large scale plantation operations and developing new industries , notably cocoa bean and rubber , relying on imported labourers from China and Melanesia .",German merchants and settlers,독일 상인과 정착민,1
61,"Besides Death Wish Coffee , how many other competitors participated in the contest ?","Besides 죽음의 소원 커피 , how many other competitors participated in the contest ?",Death Wish Coffee,죽음의 소원 커피,Death Wish Coffee beat out nine other contenders from across the United States for the free advertisement .,죽음의 소원 커피 beat out nine other contenders from across the United States for the free advertisement .,Death Wish Coffee,죽음의 소원 커피,0
62,Where do unstressed vowels reduce to three ?,Where do 강세가 없는 모음 reduce to three ?,unstressed vowels,강세가 없는 모음,"There are a few instances of unreduced [ e ] , [ o ] in some words .","There are 어떤 단어에서는 환원되지 않은 [ e ] , [ o ] 의 몇 가지 사례 .","a few instances of unreduced [ e ] , [ o ] in some words","어떤 단어에서는 환원되지 않은 [ e ] , [ o ] 의 몇 가지 사례",1
63,What did the March 2013 agreement decide ?,What did 2013년 3월 합의 decide ?,the March 2013 agreement,2013년 3월 합의,"The 2012 – 2013 Cypriot financial crisis led to an agreement with the Eurogroup in March 2013 to split the country ' s second largest bank , the Cyprus Popular Bank ( also known as Laiki Bank ) , into a "" bad "" bank which would be wound down over time and a "" good "" bank which would be absorbed by the Bank of Cyprus .","2012~2013년 키프로스 금융 위기 led to an agreement with the Eurogroup in March 2013 to split the country ' s second largest bank , the Cyprus Popular Bank ( also known as Laiki Bank ) , into a "" bad "" bank which would be wound down over time and a "" good "" bank which would be absorbed by the Bank of Cyprus .",The 2012 – 2013 Cypriot financial crisis,2012~2013년 키프로스 금융 위기,0
64,What percentage of students were admitted to Notre Dame in fall 2015 ?,몇 퍼센트인가 of students were admitted to Notre Dame in fall 2015 ?,What percentage,몇 퍼센트인가,"Notre Dame is known for its competitive admissions , with the incoming class enrolling in fall 2015 admitting 3 , 577 from a pool of 18 , 156 ( 19 . 7 % ) .","우리의 여성 is known for its competitive admissions , with the incoming class enrolling in fall 2015 admitting 3 , 577 from a pool of 18 , 156 ( 19 . 7 % ) .",Notre Dame,우리의 여성,0
