,sentence1,source1_np0,sentence2,source2_np0,label
18,The U . S . Centers for Disease Control and Prevention has been gathering information on suspect cases .,The U . S . Centers for Disease Control and Prevention,"Nationally , the federal Centers for Disease Control and Prevention recorded 4 , 156 cases of West Nile , including 284 deaths .",the federal Centers for Disease Control and Prevention,0
19,Telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U . S . bribery laws in its operations in Saudi Arabia .,Telecommunications gear maker Lucent Technologies,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U . S . bribery laws in its operations in Saudi Arabia .,Two federal agencies,1
20,French retirees will increase from one fifth to a third of the population by 2040 .,French retirees,"By 2040 , retirees will account for a third of the population , up from a fifth today .","a third of the population , up from a fifth today",1
21,"He could get six to seven years in prison , plus fines .",six to seven years in prison,The charges carry up to 25 years in prison and $ 1 . 25 million in fines .,The charges,1
22,Food and Drug Administration ( news - web sites ) Commissioner Mark McClellan said Kraft ' s initiative could start an important trend .,Food and Drug Administration ( news - web sites ) Commissioner Mark McClellan,U . S . Food and Drug Administration Commissioner Mark McClellan said Kraft ' s could start an important trend .,U . S . Food and Drug Administration Commissioner Mark McClellan,1
23,Arts helped coach the youth on an eighth - grade football team at Lombardi Middle School in Green Bay .,the youth,The boy was a student at Lombardi Middle School in Green Bay .,The boy,0
24,"The plan , which Pataki has said is unconstitutional as written , would cost the state $ 5 . 1 billion over the next 30 years .","The plan , which Pataki has said is unconstitutional as written ,",The plan would cost the state $ 170 million per year over the next 30 years .,The plan,0
25,"That compares with a profit of $ 1 million , or breakeven , on $ 1 . 39 billion in revenue during the same period last year .","a profit of $ 1 million , or breakeven , on $ 1 . 39 billion in revenue during the same period last year","Total revenue for the second quarter was $ 1 . 48 billion , up 7 % from $ 1 . 39 billion in the same period last year .",Total revenue for the second quarter,0
26,Tehran has said it will only sign the protocol if a ban on imports of peaceful Western nuclear technology is lifted .,the protocol,Tehran has made clear it will only sign the Additional Protocol introducing such inspections if a ban on the import of civilian Western nuclear technology is lifted .,the Additional Protocol,1
27,""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attacks , "" said Barbara Comstock , Ashcroft ' s press secretary .","Barbara Comstock , Ashcroft ' s press secretary",""" We make no apologies for finding every legal way possible to protect the American public from further terrorist attack , "" said Barbara Comstock , Justice Department spokeswoman .","Barbara Comstock , Justice Department spokeswoman",1
28,""" Saddam is gone , but we want the ( U . S . ) occupation to end , "" said Hit resident Abu Qasim .",Hit resident Abu Qasim,""" Saddam is gone , but we want the ( U . S . ) occupation to end . """,the ( U . S . ) occupation,1
29,"Sirius carries National Public Radio , although it doesn ' t include popular shows such as "" All Things Considered "" and "" Morning Edition . """,National Public Radio,"Sirius recently began carrying National Public Radio , a deal pooh - poohed by XM because it doesn ' t include popular shows like All Things Considered and Morning Edition .","National Public Radio , a deal pooh - poohed by XM because it doesn ' t include popular shows like All Things Considered and Morning Edition",0
30,"In a conference call with reporters , RNC Chairman Ed Gillespie said he sent the request to CBS Television President Leslie Moonves .",RNC Chairman Ed Gillespie,Republican National Committee Chairman Ed Gillespie issued a letter Friday to CBS Television President Leslie Moonves .,Republican National Committee Chairman Ed Gillespie,1
31,"When asked where the weapons were , Rice said : ' ' This is a program that was built for concealment .",a program that was built for concealment,""" The fact is , this was a program that was built for concealment .",The fact,0
32,Chief Executive Rod Eddington is to meet the three unions separately on Monday afternoon .,Chief Executive Rod Eddington,Eddington is to meet the other two unions separately later on Monday .,the other two unions,1
33,"Matthew Lovett , 18 , who just graduated from Collingswood High School , was among those arrested .","Matthew Lovett , 18 , who just graduated from Collingswood High School ,","Matthew Lovett , 18 , of Oaklyn , N . J . , was among those arrested .","Matthew Lovett , 18 , of Oaklyn , N . J . ,",1
34,The officials did not say whether U . S . forces crossed into Syrian territory and were vague about how the Syrian border guards became involved .,The officials,"U . S . officials did not say whether American forces , who were acting on intelligence , crossed into Syrian territory and were vague about how the Syrian guards were involved .",U . S . officials,1
35,Dealers said the single currency ' s downward momentum against the dollar could pick up speed if it broke below $ 1 . 15 .,the single currency ' s downward momentum against the dollar,Dealers said the euro ' s downward momentum may pick up speed should it break below $ 1 . 15 .,the euro ' s downward momentum,1
36,Agriculture ministers from more than one hundred nations are expected to attend the three - day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U . S . Department of Agriculture .,Agriculture ministers from more than one hundred nations,U . S . Agriculture Secretary Ann Veneman kicks off the three - day Ministerial Conference and Expo on Agricultural Science and Technology on Monday .,Agriculture Secretary Ann Veneman,0
37,""" This is not unanticipated , "" Chief Deputy District Attorney John Goold said Monday .",Chief Deputy District Attorney John Goold,"They often complain about misconduct , "" John Goold , chief deputy district attorney for Stanislaus County said .","John Goold , chief deputy district attorney for Stanislaus County",0
38,"In the clash with police , Lt . Mothana Ali said about 1 , 000 demonstrators had gone to the station demanding jobs .",Lt . Mothana Ali,"In Baghdad , police Lieut . Mothana Ali said about 1 , 000 demonstrators arrived at the station demanding jobs .",police Lieut . Mothana Ali,1
39,"Police Chief Superintendent Jesus Verzosa , who heads the national police intelligence group that had custody of Ghozi , has offered to resign , according to Ebdane .","Police Chief Superintendent Jesus Verzosa , who heads the national police intelligence group that had custody of Ghozi ,","Police chief Superintendent Jesus Verzosa , who heads the national police intelligence group , which had custody of Al - Ghozi , offered his resignation , and Ebdane accepted it .","Police chief Superintendent Jesus Verzosa , who heads the national police intelligence group , which had custody of Al - Ghozi ,",1
40,""" She was very affectionate with them , "" said Blossom Medley , who also looked after the children .","Blossom Medley , who also looked after the children",""" She loved them so much , "" added Blossom Medley , who also looked after Johnson ' s foster kids .","Blossom Medley , who also looked after Johnson ' s foster kids",1
41,"After more than two years ' detention under the State Security Bureau , the four were found guilty of subversion in Beijing ' s No . 1 Intermediate Court last Wednesday .",the four,"After more than two years in detention by the State Security Bureau , the four were found guilty last Wednesday of subversion .",the four,1
42,"Watertown , Saugus and Framingham also are going smoke - free Monday , joining a growing number of cities around the country .","Watertown , Saugus and Framingham","Along with Boston , Watertown , Saugus and Framingham also are going smoke - free Monday .","Boston , Watertown , Saugus and Framingham",0
43,The weapon turned out to be a Halloween toy .,The weapon,"It turned out that the "" weapon "" was part of a Halloween costume .","the "" weapon """,1
44,Wall Street analysts expect 2004 revenue of $ 28 . 15 billion .,Wall Street analysts,Analysts ' average forecast was $ 4 . 02 per share on revenue of $ 25 . 56 billion .,Analysts ' average forecast,0
45,EnCana also reaffirmed its forecast of 10 per cent internal sales growth in 2003 and 2004 .,its forecast of 10 per cent internal sales growth in 2003 and 2004,Looking ahead the company confirmed its forecast of 10 per cent internal sales growth in 2003 and 2004 .,the company,1
46,"In 2001 , 8 . 4 per cent of six - year - olds and 15 per cent of 15 - year - olds were obese .",8 . 4 per cent of six - year - olds,One in seven 15 - year - olds and nearly one in 10 six - year - olds are obese .,One in seven 15 - year - olds and nearly one in 10 six - year - olds,0
47,"In 2002 , the West Nile virus infected 4 , 000 people and took 284 lives in the United States .",the West Nile virus,"In contrast , he said , West Nile virus made 4 , 156 people ill and killed 284 in the United States and Canada last year .",West Nile virus,0
48,"On Oct . 10 , an 18 - year - old freshman member of the men ' s swim team jumped from the same 10 th - floor ledge .",an 18 - year - old freshman member of the men ' s swim team,"On Oct . 10 , an 18 - year - old freshman from Dayton , Ohio , climbed over the same 10 th - floor ledge and plunged to his death .",Oct . 10,1
49,"Selenski ' s partner in the jailbreak , Scott Bolton , injured his ankle , pelvis and ribs during the escape attempt , Warden Gene Fischi said .",Warden Gene Fischi,"Selenski ' s partner in the Friday jailbreak , Scott Bolton , was injured in the escape and hospitalized .","Selenski ' s partner in the Friday jailbreak , Scott Bolton ,",1
50,Stanford ( 46 - 15 ) takes on South Carolina today at 11 a . m . in the first game of the College World Series .,Stanford ( 46 - 15 ),Stanford ( 46 - 15 ) plays South Carolina ( 44 - 20 ) on Friday in the opening game of the double - elimination tournament .,Stanford ( 46 - 15 ),1
51,"I was going to the court believing I could do this , only if I played my best tennis .",the court,""" I was believing that I was confident I could do this , but only in the case I would play my best tennis .",the case I would play my best tennis,1
52,"The interview , which also focuses on Schwarzenegger ' s training routines and prowess as a bodybuilder , was reprinted this week on the website http : / / www . smokinggun . com .","The interview , which also focuses on Schwarzenegger ' s training routines and prowess as a bodybuilder ,","The interview , which also focuses on Schwarzenegger ' s training routines and prowess as a bodybuilder , was re - printed this week on the Web Site www . thesmokinggun . com .","The interview , which also focuses on Schwarzenegger ' s training routines and prowess as a bodybuilder ,",1
53,But she didn ' t say whether she ' ll certify the two - year $ 117 . 4 billion budget for 2004 - 05 .,the two - year $ 117 . 4 billion budget for 2004 - 05,She said she didn ' t know yet whether she would certify the budget .,the budget,1
54,""" Some of us find the collateral damage greater than it needs to be in the conduct of this war , "" said Rep . Howard Berman , D - Calif .","Rep . Howard Berman , D - Calif","Added Rep . Howard Berman , D - Calif . : "" Some of us find that the collateral damage is greater than it needs to be in the conduct of this war . """,Rep . Howard Berman,1
55,Mr . Turner transferred about 10 million shares to a charitable trust before they were sold .,Mr . Turner,The sales leave Mr . Turner with about 45 million shares in AOL .,The sales,0
56,"Is it in the food supply ? "" says David Ropeik , director of risk communication at the Harvard Center for Risk Analysis .","David Ropeik , director of risk communication at the Harvard Center for Risk Analysis",""" It ' s not zero , "" said David Ropeik , director of risk communication at the Harvard Center for Risk Analysis .","David Ropeik , director of risk communication at the Harvard Center for Risk Analysis",0
57,"But for a meaningful dialogue to begin , cross - border terrorism should end and terror infrastructure must be dismantled .",a meaningful dialogue to begin,""" But for a meaningful dialogue to begin , cross - border terrorism should end and its infrastructure should be dismantled . """,a meaningful dialogue,1
58,""" For us , that doesn ' t make a difference - the sexual orientation , "" Archbishop Tutu said in the black urban centre of Soweto .",Archbishop Tutu,""" For us that doesn ' t make a difference , the sexual orientation , "" Tutu told Reuters Television in South Africa ' s sprawling Soweto township .",Reuters Television,1
59,Young has 28 days to file a response and ask the NASD for a hearing .,28 days to file a response and ask the NASD for a hearing,"Under NASD regulations , Mr . Young can file a response and request a hearing before an NASD panel .",Mr . Young,0
60,The Senate Banking Committee is scheduled to hold a hearing on Tuesday where Donaldson is scheduled to testify on hedge and mutual funds .,The Senate Banking Committee,"The Senate Banking Committee is scheduled to hold a hearing on Tuesday , when Donaldson will be questioned about hedge and mutual funds .",The Senate Banking Committee,1
61,"MediaQ ' s customers include major handheld makers Mitsubishi , Siemens , Palm , Sharp , Philips , Dell and Sony .",MediaQ ' s customers,"Nvidia will take advantage of MediaQ customers , which include such players as Siemens AG , Sharp , Philips , Dell , Mitsubishi and Sony Corp .","MediaQ customers , which include such players as Siemens AG , Sharp , Philips , Dell , Mitsubishi and Sony Corp",0
62,Idaho Gem also is the first sterile animal to be cloned .,Idaho Gem,""" He is the first and only cloned sterile hybrid . """,the first and only cloned sterile hybrid,1
63,"Her lawyer Donald Levine told The Telegraph she had been offered $ US250 , 000 to tell her story exclusively to Australian TV .",Her lawyer Donald Levine,"Mr Levine said she had been offered $ 400 , 000 to tell her story to an Australian TV network .",Mr Levine,1
64,"The subjects were next given a squirt up the nose of a rhinovirus , the nasty little germ that causes colds .",The subjects,"Following their assessment , each volunteer received a squirt in the nose of rhinovirus the germ that causes colds .",each volunteer,1
65,"The UMass president has acknowledged talking to him once since he went on the lam in 1995 , just before federal indictments were handed down .",The UMass president,"The UMass president , who testified before a congressional committee last week , has acknowledged talking to him once since he went on the lam in 1995 .","The UMass president , who testified before a congressional committee last week ,",1
66,Robbins said he wants to take any network like ESPN that charges more than $ 1 per Cox customer and make those optional choices for consumers to buy .,any network,Robbins said he wants to take networks such as ESPN that charge more than $ 1 per Cox customer and make them optional choices .,networks such as ESPN,1
67,Cohen recessed the hearing until this afternoon and said he expected to issue his findings next week .,the hearing,"After a day of testimony , Cohen recessed the hearing until this afternoon .",a day of testimony,0
68,"Three such vigilante - style attacks forced the hacker organizer , who identified himself only as "" Eleonora67 , "" to extend the contest until 6 p . m . EDT Sunday .",Three such vigilante - style attacks,"Three such vigilante - style attacks forced the hacker organizer , who identified himself only as "" Eleonora [ 67 ] , "" to extend the contest until 3 p . m . Arizona time Sunday .",Three such vigilante - style attacks,1
69,But planning for an expansion of Wagerup has been caught up in a heated debate about the existing project ' s effect on local residents .,an expansion of Wagerup,But plans to expand Wagerup had been caught up in a heated debate about the existing pro - ject ' s impact on the amenity of local residents .,plans to expand Wagerup,1
70,""" We had nothing to do with @ Stake ' s internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",Microsoft spokesman Sean Sundwell,""" Microsoft had absolutely nothing to do with AtStake ' s internal personnel decision , "" Sundwall said .",absolutely nothing to do with AtStake ' s internal personnel decision,1
71,SARS has killed about 800 people and affected more than 8400 since being detected in China in November .,about 800 people,"SARS has killed about 800 people and sickened more than 8 , 400 worldwide , mostly in Asia .",about 800 people,0
72,"The answer is clearly yes , "" said Dr . Larry Norton , deputy physician - in - chief for breast cancer programs at Memorial Sloan - Kettering Cancer Center .","Dr . Larry Norton , deputy physician - in - chief for breast cancer programs at Memorial Sloan - Kettering Cancer Center","The answer is clearly yes , "" said Dr . Larry Norton , deputy physician - in - chief for breast - cancer programs at Memorial Sloan - Kettering Cancer Center in New York City .","Dr . Larry Norton , deputy physician - in - chief for breast - cancer programs at Memorial Sloan - Kettering Cancer Center in New York City",1
73,"Dotson told FBI agents that he shot Dennehy after the player tried to shoot him , according to the arrest warrant affidavit .",FBI agents,"Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him , according to the arrest warrant affidavit .",FBI agents,0
74,Clayton ' s shares were also suspended from trading on the New York Stock Exchange .,Clayton ' s shares,Clayton Homes ' stock ceased trading on the New York Stock Exchange after Wednesday ' s close .,Clayton Homes ' stock,1
75,""" They ' ve been in the stores for over six weeks , "" says Carney .",the stores,"The quarterlies usually stay in stores for between six to eight weeks , "" Carney added .",The quarterlies,1
76,"Patients ' rights advocates crashed it by squeezing into camera range , protesting the FMA ' s acceptance of major financial support from First Professionals Insurance .",Patients ' rights advocates,"It was crashed by patients ' rights advocates who squeezed into camera range , protesting the FMA ' s acceptance of major financial support from First Professionals Insurance .","patients ' rights advocates who squeezed into camera range , protesting the FMA ' s acceptance of major financial support from First Professionals Insurance",1
77,"Dunlap won both the swimsuit competition and the talent portion of the competition , singing "" If I Could . """,both the swimsuit competition and the talent portion of the competition,"She won the talent portion singing "" If I Could "" and also won in evening wear .",the talent portion,0
78,Mr . Kozlowski contends that the event included business and that some of those attending were Tyco employees .,Mr . Kozlowski,Mr . Kozlowski contends that the event was in large part a business function .,Mr . Kozlowski,1
79,"The main psychologist , Dwight Close , referred questions to an agency spokeswoman , who said she wouldn ' t comment on personnel issues .","The main psychologist , Dwight Close ,","The main psychologist in the Rodriguez case , Dwight Close , referred questions to an agency spokeswoman , who didn ' t immediately return a call .","The main psychologist in the Rodriguez case , Dwight Close ,",1
80,"He has been at UCSD since 1991 and was appointed chancellor in 1996 , after spending 22 years with AT & T Bell Labs , where he worked on superconductors and other materials .","AT & T Bell Labs , where he worked on superconductors and other materials","Dynes has been at UC San Diego since 1991 after spending 22 years with AT & T Bell Labs , where he worked on superconductors and other materials .",UC San Diego,1
81,"Some Wall Street experts believe stocks have rallied too far , too quickly , given the muddled economic reports of recent weeks .",Some Wall Street experts,"Some Wall Street analysts believe stocks have rallied too far , too fast , given the muddled picture of the economy provided by recent data .",Some Wall Street analysts,1
82,"The technology - laced Nasdaq Composite Index rose 4 . 64 points , or 0 . 27 percent , to 1 , 735 . 34 , according to the latest available data .",The technology - laced Nasdaq Composite Index,"The broader Standard & Poor ' s 500 Index . SPX climbed 17 . 08 points , or 1 . 74 percent , to 998 . 68 .",The broader Standard & Poor ' s 500 Index . SPX,0
83,"In morning trading , the Dow Jones industrial average was up 40 . 12 , or 0 . 5 percent , at 8 , 571 . 69 , having fallen 51 points Monday .",the Dow Jones industrial average,"In New York , the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3 . 29 points or 0 . 04 per cent to 8 , 585 . 97 .",the Dow Jones industrial average a gauge of 30 blue chip stocks,0
84,"Strong spokeswoman Stephanie Truog said , "" We are in the process of a thorough internal review with the assistance of outside professionals .",Strong spokeswoman Stephanie Truog,"Strong Financial released a statement Wednesday night : "" We are in the process of a thorough internal review .",Strong Financial,0
85,The high profile two - week campaign – which started on September 28 – was designed to show a strong police presence around London .,The high profile two - week campaign – which started on September 28 –,"The high profile , two - week campaign was designed to show a strong police presence around London and resulted in 42 arrests , which a spokesman said was "" pretty impressive "" .","The high profile , two - week campaign",0
86,"Mall operators and retailers reported fewer people camping out for early - bird specials on Saturday morning , although many parking lots were crowded by early afternoon .",Mall operators and retailers,"Mall operators and retailers reported fewer shoppers camping out for early - bird specials on Saturday morning , although parking lots were beginning to fill at some East Coast shopping centers .",Mall operators and retailers,1
87,"Attorney John Barnett , who represents Morse , showed photos of a scratch on Morse ' s neck and the officer ' s bloody ear .","Attorney John Barnett , who represents Morse ,","After Jackson testified he never touched the officers during the struggle on the ground , Barnett showed photos of a scratch on Morse ' s neck and the officer ' s bloody ear .",photos of a scratch on Morse ' s neck and the officer ' s bloody ear,0
88,Both sets of findings were presented Dec . 1 at the annual meeting of the Radiological Society of North America in Chicago .,Both sets of findings,The study was presented yesterday in Chicago at the annual meeting of the Radiological Society of North America .,The study,1
89,"Starting on Saturday , every computer infected with MSBlast is expected to start flooding Microsoft ' s Windows Update service with legitimate - looking connection requests .",every computer infected with MSBlast,"Starting on Aug . 16 , every computer infected with MBlast will start flooding Microsoft ' s Windows Update service with legitimate - looking connection requests .",every computer infected with MBlast,1
90,"The company will launch 800 hot spots , or "" Wi - Fi Zones , "" later this summer , and plans to have more than 2 , 100 by the end of the year .",The company,"The service will launch later this summer with 800 locations , and Sprint plans 2 , 100 locations by the end of the year .",The service,1
91,Advancing issues outnumbered decliners about 8 to 5 on the New York Stock Exchange .,Advancing issues,Declining issues outnumbered advancers slightly more than 3 to 1 on the New York Stock Exchange .,Declining issues,0
92,"Frank Partnoy , a securities law professor at the University of San Diego , said the case suggested that Merrill ' s oversight and control of its executives were inadequate .","Frank Partnoy , a securities law professor at the University of San Diego ,","Frank Partnoy , a securities - law professor at the University of San Diego School of Law , said the case suggests Merrill Lynch ' s oversight and control of its executives was inadequate .","Frank Partnoy , a securities - law professor at the University of San Diego School of Law ,",1
93,She says the King County medical examiner ' s office has confirmed the remains are human .,the King County medical examiner ' s office,"At 2 : 25 p . m . , the King County medical examiner confirmed the remains were human , Larson said .",the King County medical examiner,1
94,Meat giant Smithfield Foods Inc . has won a bidding war to buy a bankrupt Midwestern pork producer .,Meat giant Smithfield Foods Inc .,Pork processing giant Smithfield Foods Inc . said Monday that it won the bidding in an auction for bankrupt Farmland Industries Inc . ' s pork business .,Pork processing giant Smithfield Foods Inc .,1
95,"He says that "" this is a time when we priests need to be renewing our pledge to celibacy , not questioning it .","a time when we priests need to be renewing our pledge to celibacy , not questioning it",""" This is the time we priests need to be renewing our pledge to celibacy , not questioning it , "" he wrote .","the time we priests need to be renewing our pledge to celibacy , not questioning it",1
96,"AMC has since asked the experienced Fluor company of the US to produce a detailed costing of the project , but the report is still two weeks away .",the report,AustMag has since asked the experienced US company Fluor to produce a detailed costing of the project but the report is still two weeks away .,the report,1
97,"As of Tuesday , almost 250 health - care workers were in quarantine .",almost 250 health - care workers,"In addition , 6 , 800 people were in quarantine and thousands of health - care workers in working quarantine .",thousands of health - care workers in working quarantine,0
98,"But he confessed : "" There ' s total fear to start with because you are completely at the mercy of the winds . """,s total fear,"But he said there was a "" total fear to start with because you are completely at the mercy of the winds "" .","a "" total fear to start with",1
99,State health officials said today a young northeast Kansas woman likely has the state ' s first case of monkeypox among humans or animals .,State health officials,Health officials confirmed today that a northeast Kansas woman has the state ' s first case of monkeypox and the first case west of the Mississippi River .,Health officials,0
100,"Another soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad , a military statement said Tuesday .",a military statement,"Also Monday , one soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad .",one soldier,1
101,Ms . Strayhorn said she has hired a constitutional scholar to assist her staff .,Ms . Strayhorn,Strayhorn has brought in a constitutional scholar to advise her on the reallocation .,a constitutional scholar to advise her on the reallocation,1
102,"That truck was spotted in the Campbells Creek area , fitting that description , Morris said .",That truck,"A black pickup truck was also seen in the Campbells Creek area , Morris said .",A black pickup truck,1
103,"The results appear in the January issue of Cancer , the American Cancer Society journal , being published online today .",The results,"The results appear in the January issue of Cancer , an American Cancer Society ( news - web sites ) journal , being published online Monday .",The results,1
104,""" Ex - I m board members displayed courage and environmental leadership in the face of considerable pressure , "" Jon Sohn of Friends of the Earth said after the panel ' s vote .",Jon Sohn of Friends of the Earth,""" Two Ex - I m board members displayed courage and environmental leadership in the face of considerable pressure , "" said Jon Sohn , international campaigner for Friends of the Earth .","Jon Sohn , international campaigner for Friends of the Earth",1
105,"U . S . troops encountered no resistance during the five - hour sweep near Tikrit , Saddam Hussein ' s hometown and the center of a region of Baath Party supporters .",U . S . troops,Tikrit is Saddam Hussein ' s hometown and the region around it is known as a hotbed of Baath Party supporters and former high - ranking Iraqi military officials .,the region around it,0
106,"Authorities in Ohio , Indiana and Michigan have searched for the bodies .","Authorities in Ohio , Indiana and Michigan","So far , authorities also have searched areas in Pennsylvania , Ohio , Indiana , and Michigan .","areas in Pennsylvania , Ohio , Indiana , and Michigan",0
107,"Powell fired back : "" He ' s accusing the president of a ludicrous act , "" he said .",the president,"If so , Powell said , he ' s calling the president ludicrous , too .",the president,1
108,The girls and three of the cadets were cited for underage drinking .,The girls and three of the cadets,"The girls , ages 16 and 18 , were ticketed for underage drinking along with three of the cadets .","The girls , ages 16 and 18 ,",1
109,"The Nasdaq composite index increased 10 . 73 , or 0 . 7 percent , to 1 , 514 . 77 .",The Nasdaq composite index,"The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .","The Nasdaq Composite index , full of technology stocks ,",0
110,"This change in attitude gave upscale purveyors including Neiman Marcus , the parent of Bergdorf Goodman ; and Nordstrom strong sales gains in May .",This change in attitude,"This change in attitude gave upscale purveyors including Neiman Marcus Group Inc . and Nordstrom Inc . , along with some boutique retailers , strong sales gains in May .",This change in attitude,1
111,"MEN who drink tea , particularly green tea , can greatly reduce their risk of prostate cancer , a landmark WA study has found .",a landmark WA study,"DRINKING green tea can dramatically reduce the risk of men contracting prostate cancer , a study by Australian researchers has discovered .",a study by Australian researchers,1
112,"He adds : "" She started beating me with her hands about the head until I ran into the other room . """,her hands,""" She started beating me with her hands about the head until I ran into the other room , "" Mr Gest says of one incident .",Mr Gest,1
113,"The American Anglican Council , which represents Episcopalian conservatives , said it will seek authorization to create a separate province in North America because of last week ' s actions .","The American Anglican Council , which represents Episcopalian conservatives ,","The American Anglican Council , which represents Episcopalian conservatives , said it will seek authorization to create a separate group in North America .","The American Anglican Council , which represents Episcopalian conservatives ,",0
114,Bush said the United States was reviewing documents and interviewing Iraqis in an intensive effort to support the still unproven claim that Saddam had forbidden weapons .,the United States,Bush said the United States was reviewing documents and interviewing Iraqis in an effort to support the administration ' s still unproven claim that Saddam Hussein had weapons of mass destruction .,the United States,1
115,A weak cold front could bring thunderstorms into South Texas on Sunday at the same time a tropical wave moves in from the Yucatan .,A weak cold front,"As of today , forecasts show a weak cold front bringing thunderstorms into South Texas on Sunday at the same time a tropical wave moves in from the Yucatan .",a weak cold front,1
