,sentence,cross,source_np0,target_np0,label
14,the light comedic work of zhao benshan and the delicate ways of dong jie,zhao benshan의 가벼운 코미디 작품 and the delicate ways of dong jie,the light comedic work of zhao benshan,zhao benshan의 가벼운 코미디 작품,1
15,cremaster 3 is at once a tough pill to swallow and a minor miracle of self - expression .,cremaster 3 is at once 삼키기 힘든 알약과 자기표현의 작은 기적 .,a tough pill to swallow and a minor miracle of self - expression,삼키기 힘든 알약과 자기표현의 작은 기적,1
16,i suspect that you ' ll be as bored watching morvern callar as the characters are in it .,i suspect that you ' ll be as bored watching 모번 닥쳐 as the characters are in it .,morvern callar,모번 닥쳐,0
17,"the characters are based on stock clichés ,","캐릭터 are based on stock clichés ,",the characters,캐릭터,0
18,"arrives at its heart , as simple self - reflection meditation .","arrives at 심장 , as simple self - reflection meditation .",its heart,심장,1
19,told well by a master storyteller,told well by 이야기꾼,a master storyteller,이야기꾼,1
20,how so many talented people were convinced to waste their time,how 너무 많은 재능있는 사람들 were convinced to waste their time,so many talented people,너무 많은 재능있는 사람들,0
21,"( the kid ' s ) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow","( 아이들 ) just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow",the kid ' s,아이들,0
22,almost guaranteed that even the stuffiest cinema goers will laugh their * * * off for an hour - and - a - half,almost guaranteed that 가장 답답한 영화 관람객도 will laugh their * * * off for an hour - and - a - half,even the stuffiest cinema goers,가장 답답한 영화 관람객도,1
23,more sophisticated and literate than such pictures usually are,more sophisticated and literate than 그런 사진들 usually are,such pictures,그런 사진들,1
24,is a nonstop hoot,is 논스톱 야유,a nonstop hoot,논스톱 야유,1
25,"have the necessary self - control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy",have 비일관성과 중복성의 함정을 통해 느슨하고 구조가 빈약한 필름을 안내하는 데 필요한 자제력,"the necessary self - control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy",비일관성과 중복성의 함정을 통해 느슨하고 구조가 빈약한 필름을 안내하는 데 필요한 자제력,0
26,is little else to recommend ` ` never again,is 조금 다른 to recommend ` ` never again,little else,조금 다른,0
27,a résumé loaded with credits like ` ` girl in bar # 3,a résumé loaded with `` girl in bar # 3과 같은 크레딧,credits like ` ` girl in bar # 3,`` girl in bar # 3과 같은 크레딧,0
28,for putting together any movies of particular value or merit,for putting together 특정한 가치나 장점을 지닌 영화,any movies of particular value or merit,특정한 가치나 장점을 지닌 영화,1
29,seems suited neither to kids or adults .,seems suited neither to 어린이 또는 성인 .,kids or adults,어린이 또는 성인,0
30,"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story","영화 제작자 know how to please the eye , but it is not always the prettiest pictures that tell the best story",the filmmakers,영화 제작자,1
31,"though writer / director bart freundlich ' s film ultimately becomes a simplistic story about a dysfunctional parent - child relationship , it has some special qualities and the soulful gravity of crudup ' s anchoring performance .","though 각본/감독 Bart Freundlich의 영화 ultimately becomes a simplistic story about a dysfunctional parent - child relationship , it has some special qualities and the soulful gravity of crudup ' s anchoring performance .",writer / director bart freundlich ' s film,각본/감독 Bart Freundlich의 영화,1
32,with a teeth - clenching gusto,with 이빨을 꽉 쥐는 기품,a teeth - clenching gusto,이빨을 꽉 쥐는 기품,1
33,conrad l . hall ' s cinematography will likely be nominated for an oscar next year - -,콘래드 엘 홀의 촬영기법 will likely be nominated for an oscar next year - -,conrad l . hall ' s cinematography,콘래드 엘 홀의 촬영기법,1
34,"assume he had a bad run in the market or a costly divorce , because there is no earthly reason other than money why this distinguished actor would stoop so low","assume he had 시장의 나쁜 실행 또는 비용이 많이 드는 이혼 , because there is no earthly reason other than money why this distinguished actor would stoop so low",a bad run in the market or a costly divorce,시장의 나쁜 실행 또는 비용이 많이 드는 이혼,0
35,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities .","even in the summertime , 가장 불안한 젊은 청중 deserves the dignity of an action hero motivated by something more than franchise possibilities .",the most restless young audience,가장 불안한 젊은 청중,0
36,"exploring the idea of why human beings long for what they do n ' t have , and how this gets us in trouble","exploring 인간이 왜 가지고 있지 않은 것을 갈망하는지에 대한 생각 , and how this gets us in trouble",the idea of why human beings long for what they do n ' t have,인간이 왜 가지고 있지 않은 것을 갈망하는지에 대한 생각,1
37,i know better than to rush to the theater for this one,i know better than to rush to 극장 for this one,the theater,극장,0
38,"such a lousy way , complete with some of the year ' s ( unintentionally ) funniest moments , that it ' s impossible to care","그런 형편없는 방법 , complete with some of the year ' s ( unintentionally ) funniest moments , that it ' s impossible to care",such a lousy way,그런 형편없는 방법,0
39,no cliche escapes the perfervid treatment of gang warfare,클리셰 없음 escapes the perfervid treatment of gang warfare,no cliche,클리셰 없음,0
40,be said that he is an imaginative filmmaker who can see the forest for the trees,be said that he is 나무보다 숲을 보는 상상력이 풍부한 영화 제작자,an imaginative filmmaker who can see the forest for the trees,나무보다 숲을 보는 상상력이 풍부한 영화 제작자,1
41,to escape from director mark romanek ' s self - conscious scrutiny,to escape from director mark romanek ' s self - 의식적인 조사,conscious scrutiny,의식적인 조사,0
42,world cinema ' s most wondrously gifted artists,월드 시네마의 most wondrously gifted artists,world cinema ' s,월드 시네마의,1
43,is one of the rare directors who feels acting is the heart and soul of cinema .,is 연기가 영화의 심장이자 영혼이라고 느끼는 드문 감독 중 한 명 .,one of the rare directors who feels acting is the heart and soul of cinema,연기가 영화의 심장이자 영혼이라고 느끼는 드문 감독 중 한 명,1
44,is a fun and funky look into an artificial creation in a world that thrives on artificiality .,is 인공으로 번창하는 세상에서 인공 창조물에 대한 재미있고 펑키한 시선 .,a fun and funky look into an artificial creation in a world that thrives on artificiality,인공으로 번창하는 세상에서 인공 창조물에 대한 재미있고 펑키한 시선,1
45,is talented enough and charismatic enough to make us care about zelda ' s ultimate fate .,is talented enough and charismatic enough to make us care about 젤다의 궁극의 운명 .,zelda ' s ultimate fate,젤다의 궁극의 운명,1
46,the lousy john q all but spits out denzel washington ' s fine performance in the title role .,형편없는 존 q all but spits out denzel washington ' s fine performance in the title role .,the lousy john,형편없는 존,0
47,drown a viewer in boredom than to send any shivers down his spine,drown a viewer in boredom than to send 어떤 떨림 down his spine,any shivers,어떤 떨림,0
48,the scruffy sands of its titular community,지저분한 모래 of its titular community,the scruffy sands,지저분한 모래,0
49,"hugely entertaining from start to finish , featuring a fall from grace that still leaves shockwaves , it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels .","hugely entertaining from start to finish , featuring 여전히 충격파를 남기는 은총의 추락 , it will gratify anyone who has ever suspected hollywood of being overrun by corrupt and hedonistic weasels .",a fall from grace that still leaves shockwaves,여전히 충격파를 남기는 은총의 추락,1
50,an elegant film with often surprising twists and an intermingling of naiveté and sophistication,우아한 영화 with often surprising twists and an intermingling of naiveté and sophistication,an elegant film,우아한 영화,1
51,is clearly a good thing,is clearly 좋은것,a good thing,좋은것,1
52,"though few will argue that it ranks with the best of herzog ' s works , invincible shows he ' s back in form , with an astoundingly rich film .","though few will argue that it ranks with the best of herzog ' s works , invincible shows he ' s back in form , with 놀랍도록 풍부한 영화 .",an astoundingly rich film,놀랍도록 풍부한 영화,1
53,"makes a great impression as the writer - director of this little $ 1 . 8 million charmer , which may not be cutting - edge indie filmmaking but has a huge heart .",makes 이 작은 $ 1의 작가 - 감독으로서 큰 인상 최첨단 독립영화는 아니지만 큰 마음을 가진 800만 매력녀 .,"a great impression as the writer - director of this little $ 1 . 8 million charmer , which may not be cutting - edge indie filmmaking but has a huge heart",이 작은 $ 1의 작가 - 감독으로서 큰 인상 최첨단 독립영화는 아니지만 큰 마음을 가진 800만 매력녀,1
54,make a pretty good team,make 꽤 좋은 팀,a pretty good team,꽤 좋은 팀,1
55,"the proficient , dull sorvino has no light touch , and","능숙하고 둔한 sorvino has no light touch , and","the proficient , dull sorvino",능숙하고 둔한 sorvino,0
56,astonishing . . . ( frames ) profound ethical and philosophical questions in the form of dazzling pop entertainment .,astonishing . . . ( frames ) 심오한 윤리적 철학적 질문 in the form of dazzling pop entertainment .,profound ethical and philosophical questions,심오한 윤리적 철학적 질문,1
57,the most important and exhilarating forms of animated filmmaking since old walt,애니메이션 영화 제작의 가장 중요하고 짜릿한 형태 since old walt,the most important and exhilarating forms of animated filmmaking,애니메이션 영화 제작의 가장 중요하고 짜릿한 형태,1
58,"terrific performances , great to look at , and funny","멋진 공연 , great to look at , and funny",terrific performances,멋진 공연,1
59,davis . . . is so enamored of her own creation that she ca n ' t see how insufferable the character is .,데이비스   is so enamored of her own creation that she ca n ' t see how insufferable the character is .,davis . . .,데이비스  ,0
60,that ' s so mechanical you can smell the grease on the plot,that ' s so mechanical you can smell 줄거리에 그리스,the grease on the plot,줄거리에 그리스,0
61,been deemed important enough to make a film in which someone has to be hired to portray richard dawson,been deemed important enough to make 리차드 도슨을 연기하기 위해 누군가를 고용해야 하는 영화,a film in which someone has to be hired to portray richard dawson,리차드 도슨을 연기하기 위해 누군가를 고용해야 하는 영화,1
62,a tiny sense of hope,작은 감각 of hope,a tiny sense,작은 감각,1
63,you wo n ' t feel like it ' s wasted yours,you wo n ' t feel like 그것은 wasted yours,it ' s,그것은,1
64,"an astonishing voice cast ( excepting love hewitt ) ,","놀라운 보이스 캐스트 ( excepting love hewitt ) ,",an astonishing voice cast,놀라운 보이스 캐스트,1
65,ca n ' t even do that much,ca n ' t even do 그만큼,that much,그만큼,0
66,' s something impressive and yet lacking about everything .,' 뭔가 impressive and yet lacking about everything .,s something,뭔가,0
67,"that should shame americans , regardless of whether or not ultimate blame","that should shame americans , regardless of whether or not 궁극의 비난",ultimate blame,궁극의 비난,0
68,directed the film from the back of a taxicab,directed 영화 from the back of a taxicab,the film,영화,0
69,returns to narrative filmmaking with a visually masterful work of quiet power .,returns to 내러티브 영화 제작 with a visually masterful work of quiet power .,narrative filmmaking,내러티브 영화 제작,1
70,of intellectual lector in contemplation of the auteur ' s professional injuries,of 지적 강사 in contemplation of the auteur ' s professional injuries,intellectual lector,지적 강사,1
71,to occasionally break up the live - action scenes with animated sequences,to occasionally break up 애니메이션 시퀀스가 있는 라이브 액션 장면,the live - action scenes with animated sequences,애니메이션 시퀀스가 있는 라이브 액션 장면,1
72,as well as it does because of the performances,as well as it does because of 공연,the performances,공연,1
73,banal bore the preachy circuit turns out to be,진부한 구멍 the preachy circuit turns out to be,banal bore,진부한 구멍,0
74,the concept behind kung pow : enter the fist is hilarious,kung pow의 개념 : enter the fist is hilarious,the concept behind kung pow,kung pow의 개념,1
75,would make an excellent companion piece to the similarly themed ` the french lieutenant ' s woman .,would make 비슷한 주제의 프랑스 중위의 여인에 대한 훌륭한 동반 작품 .,an excellent companion piece to the similarly themed ` the french lieutenant ' s woman,비슷한 주제의 프랑스 중위의 여인에 대한 훌륭한 동반 작품,1
76,mean it ' s good enough for our girls,mean it ' s good enough for 우리 소녀들,our girls,우리 소녀들,1
77,animated drivel meant to enhance the self - image of drooling idiots .,살아 움직이는듯한 소리 meant to enhance the self - image of drooling idiots .,animated drivel,살아 움직이는듯한 소리,0
78,"makes sure the salton sea works the way a good noir should ,","makes sure 살톤 바다 works the way a good noir should ,",the salton sea,살톤 바다,1
79,keeps you guessing at almost every turn,keeps you guessing at 거의 모든 턴,almost every turn,거의 모든 턴,1
80,"of a callow rich boy who is forced to choose between his beautiful , self - satisfied 22 - year - old girlfriend and an equally beautiful , self - satisfied 18 - year - old mistress",of 아름답고 자기만족적인 22세 여자친구와 똑같이 아름답고 자기만족적인 18세 애인 사이에서 선택을 강요당하는 냉혈한 부자 소년,"a callow rich boy who is forced to choose between his beautiful , self - satisfied 22 - year - old girlfriend and an equally beautiful , self - satisfied 18 - year - old mistress",아름답고 자기만족적인 22세 여자친구와 똑같이 아름답고 자기만족적인 18세 애인 사이에서 선택을 강요당하는 냉혈한 부자 소년,1
81,performances of exceptional honesty,performances of 탁월한 정직성,exceptional honesty,탁월한 정직성,1
82,` easily my choice for one of the year ' s best films . ',` 쉽게 내 선택 for one of the year ' s best films . ',easily my choice,쉽게 내 선택,1
83,the fans are often funny fanatics,팬들 are often funny fanatics,the fans,팬들,1
84,be found a tough beauty,be found 터프한 아름다움,a tough beauty,터프한 아름다움,1
85,"the humor is n ' t as sharp , the effects not as innovative , nor the story as imaginative as in the original .","유머 is n ' t as sharp , the effects not as innovative , nor the story as imaginative as in the original .",the humor,유머,0
86,is a successful one .,is 성공적인 .,a successful one,성공적인,1
87,lead a group of talented friends,lead 재능있는 친구들의 그룹,a group of talented friends,재능있는 친구들의 그룹,1
88,the best sports movie i ' ve ever seen .,최고의 스포츠 영화 i ' ve ever seen .,the best sports movie,최고의 스포츠 영화,1
89,truly deserving of its oscar nomination,truly deserving of 오스카 후보,its oscar nomination,오스카 후보,1
90,silly - - and gross - - but it ' s rarely as moronic as some campus gross - out films .,silly - - and gross - - but it ' s rarely as moronic as 일부 캠퍼스 총체적 영화 .,some campus gross - out films,일부 캠퍼스 총체적 영화,0
91,the film is an earnest try at beachcombing verismo,영화 is an earnest try at beachcombing verismo,the film,영화,1
92,forgive its mean - spirited second half,forgive 그것의 의미 - 씩씩한 후반,its mean - spirited second half,그것의 의미 - 씩씩한 후반,0
93,a group of extremely talented musicians,a group of 매우 재능있는 음악가,extremely talented musicians,매우 재능있는 음악가,1
94,try to surprise us with plot twists,try to surprise us with 플롯 트위스트,plot twists,플롯 트위스트,1
95,the rollerball sequences feel sanitised and stagey .,롤러볼 시퀀스 feel sanitised and stagey .,the rollerball sequences,롤러볼 시퀀스,0
96,concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt .,concentrates far too much on chan과 hewitt 사이의 어색한 상호 작용과 완전한 케미스트리 부족 .,the awkward interplay and utter lack of chemistry between chan and hewitt,chan과 hewitt 사이의 어색한 상호 작용과 완전한 케미스트리 부족,0
97,two guys yelling in your face for two hours,두 남자 yelling in your face for two hours,two guys,두 남자,0
98,suspenseful enough for older kids but,suspenseful enough for 나이 많은 아이들 but,older kids,나이 많은 아이들,1
99,"empty , fetishistic violence in which murder is casual and fun",공허하고 물신적인 폭력 in which murder is casual and fun,"empty , fetishistic violence",공허하고 물신적인 폭력,0
100,for serious film buffs,for 진지한 영화광,serious film buffs,진지한 영화광,1
101,"is we never really see her esther blossom as an actress , even though her talent is supposed to be growing","is we never really see her esther blossom as 여배우 , even though her talent is supposed to be growing",an actress,여배우,0
102,the sheer ugliness of everything else,순수한 추함 of everything else,the sheer ugliness,순수한 추함,0
103,"do n ' t feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold .","do n ' t feel 최소한의 비트 ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold .",the least bit,최소한의 비트,1
104,shock - you - into - laughter intensity,shock - you - into - 웃음 강도,laughter intensity,웃음 강도,1
105,we do n ' t avert our eyes for a moment .,we do n ' t avert 우리의 눈 for a moment .,our eyes,우리의 눈,1
106,its emotional power and moments of revelation,그것의 정서적 힘 and moments of revelation,its emotional power,그것의 정서적 힘,1
107,"sand ' s masculine persona , with its love of life and beauty ,","샌드의 남성적 페르소나 , with its love of life and beauty ,",sand ' s masculine persona,샌드의 남성적 페르소나,1
108,' ll be treated to an impressive and highly entertaining celebration of its sounds .,' ll be treated to 그 소리의 인상적이고 매우 재미있는 축제 .,an impressive and highly entertaining celebration of its sounds,그 소리의 인상적이고 매우 재미있는 축제,1
109,go from stark desert to gorgeous beaches,go from 황량한 사막 to gorgeous beaches,stark desert,황량한 사막,1
110,full of stunning images and effects,full of 놀라운 이미지와 효과,stunning images and effects,놀라운 이미지와 효과,1
111,"triple x is a double agent , and he ' s one bad dude","트리플 엑스 is a double agent , and he ' s one bad dude",triple x,트리플 엑스,1
112,"( davis ) wants to cause his audience an epiphany , yet he refuses to give us real situations and characters","( davis ) wants to cause 그의 청중 an epiphany , yet he refuses to give us real situations and characters",his audience,그의 청중,0
113,"ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold","ashamed in admitting that 나의 즐거움 came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold",my enjoyment,나의 즐거움,1
114,"in manhattan , jennifer lopez ' s most aggressive and most sincere attempt","in manhattan , 제니퍼 로페즈의 가장 공격적이고 성실한 시도",jennifer lopez ' s most aggressive and most sincere attempt,제니퍼 로페즈의 가장 공격적이고 성실한 시도,1
115,"a film about the irksome , tiresome nature of complacency",a film about 짜증나고 지루한 안일함의 본질,"the irksome , tiresome nature of complacency",짜증나고 지루한 안일함의 본질,0
116,gets the feeling that the typical hollywood disregard for historical truth and realism is at work here,gets 역사적 진실과 사실주의를 무시하는 전형적인 헐리우드의 느낌이 여기에 작용하고 있습니다,the feeling that the typical hollywood disregard for historical truth and realism is at work here,역사적 진실과 사실주의를 무시하는 전형적인 헐리우드의 느낌이 여기에 작용하고 있습니다,0
117,"it looks closely , insightfully at fragile , complex relationships .","it looks closely , insightfully at 연약하고 복잡한 관계 .","fragile , complex relationships",연약하고 복잡한 관계,1
118,with the precision of the insurance actuary,with 보험 계리사의 정확성,the precision of the insurance actuary,보험 계리사의 정확성,1
119,"all plays out . . . like a high - end john hughes comedy , a kind of elder bueller ' s time out .","all plays out . . . like 하이엔드 존 휴즈 코미디, 부엘러 장로의 타임아웃 같은 것 .","a high - end john hughes comedy , a kind of elder bueller ' s time out","하이엔드 존 휴즈 코미디, 부엘러 장로의 타임아웃 같은 것",1
120,a lazy exercise in bad filmmaking,게으른 운동 in bad filmmaking,a lazy exercise,게으른 운동,0
121,an equally miserable film the following year,똑같이 비참한 영화 the following year,an equally miserable film,똑같이 비참한 영화,0
122,listless sci - fi,무기력한 공상 과학 - fi,listless sci,무기력한 공상 과학,0
123,for one splendidly cast pair,for 하나의 화려한 캐스트 쌍,one splendidly cast pair,하나의 화려한 캐스트 쌍,1
124,that it churns up not one but two flagrantly fake thunderstorms to underscore the action,that it churns up 하나가 아니라 두 개의 노골적인 가짜 뇌우 to underscore the action,not one but two flagrantly fake thunderstorms,하나가 아니라 두 개의 노골적인 가짜 뇌우,0
125,part of the film ' s cheeky charm comes from its vintage schmaltz .,영화의 발랄한 매력의 일부 comes from its vintage schmaltz .,part of the film ' s cheeky charm,영화의 발랄한 매력의 일부,1
126,everything else about the film tanks .,다른 모든 것 about the film tanks .,everything else,다른 모든 것,0
127,an acting bond that makes the banger sisters a fascinating character study with laughs to spare,행동하는 채권 that makes the banger sisters a fascinating character study with laughs to spare,an acting bond,행동하는 채권,1
128,"not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but","모두는 아니다 will welcome or accept the trials of henry kissinger as faithful portraiture , but",not everyone,모두는 아니다,0
129,the supernatural trappings only obscure the message,초자연적인 함정 only obscure the message,the supernatural trappings,초자연적인 함정,0
130,makes up for in heart what it lacks in outright newness .,makes up for in heart what it lacks in 완전한 새로움 .,outright newness,완전한 새로움,1
131,"both an admirable reconstruction of terrible events , and a fitting memorial to the dead of that day , and of the thousands thereafter .","both 끔찍한 사건의 훌륭한 재구성 , and a fitting memorial to the dead of that day , and of the thousands thereafter .",an admirable reconstruction of terrible events,끔찍한 사건의 훌륭한 재구성,1
132,( fincher ' s ) camera sense and assured pacing make it an above - average thriller .,(fincher's) 카메라 감각과 확실한 페이싱 make it an above - average thriller .,( fincher ' s ) camera sense and assured pacing,(fincher's) 카메라 감각과 확실한 페이싱,1
133,like a tired tyco ad,like 피곤한 타이코 광고,a tired tyco ad,피곤한 타이코 광고,0
134,you ' ve endured a long workout without your pulse ever racing,you ' ve endured 긴 운동 without your pulse ever racing,a long workout,긴 운동,1
135,painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people,painting 사람들의 삶에서 직접 노래가 나오는 국가의 부끄럽지 않게 낭만적인 그림,an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people,사람들의 삶에서 직접 노래가 나오는 국가의 부끄럽지 않게 낭만적인 그림,1
136,schrader relies on subtle ironies and visual devices to convey point of view .,schrader relies on 미묘한 아이러니와 시각적 장치 to convey point of view .,subtle ironies and visual devices,미묘한 아이러니와 시각적 장치,1
137,of the unsalvageability,of 구제불능,the unsalvageability,구제불능,0
138,numbing experience to watch,마비 경험 to watch,numbing experience,마비 경험,0
139,"like the rugrats movies , the wild thornberrys movie does n ' t offer much more than the series ,","like the rugrats movies , 야생 thornberrys 영화 does n ' t offer much more than the series ,",the wild thornberrys movie,야생 thornberrys 영화,0
140,- kids - cute sentimentality by a warmth that is n ' t faked and,- kids - 귀여운 감성 by a warmth that is n ' t faked and,cute sentimentality,귀여운 감성,1
141,likely to leave a lasting impression,likely to leave 지속적인 인상,a lasting impression,지속적인 인상,1
142,"the star who helped give a spark to ` ` chasing amy ' ' and ` ` changing lanes ' ' falls flat as thinking man cia agent jack ryan in this summer ' s new action film , ` ` the sum of all fears . ' '","''체이싱 에이미'', '차선 바꾸기'에 불을 지른 스타 falls flat as thinking man cia agent jack ryan in this summer ' s new action film , ` ` the sum of all fears . ' '",the star who helped give a spark to ` ` chasing amy ' ' and ` ` changing lanes ' ',"''체이싱 에이미'', '차선 바꾸기'에 불을 지른 스타",0
143,"throws quirky characters , odd situations , and off - kilter dialogue at us","throws 기발한 캐릭터 , odd situations , and off - kilter dialogue at us",quirky characters,기발한 캐릭터,0
144,"fare , with enough creative energy and wit to entertain all ages","fare , with 모든 연령대를 즐겁게 해줄 충분한 창의적 에너지와 재치",enough creative energy and wit to entertain all ages,모든 연령대를 즐겁게 해줄 충분한 창의적 에너지와 재치,1
145,a lot of the credit for the film ' s winning tone,a lot of 신용 for the film ' s winning tone,the credit,신용,1
146,the rest of the cast was outshined by ll cool j .,나머지 출연진 was outshined by ll cool j .,the rest of the cast,나머지 출연진,1
147,", eight legged freaks is prime escapist fare .",", 여덟 다리 괴물 is prime escapist fare .",eight legged freaks,여덟 다리 괴물,1
148,a conventional thriller evolves into a gorgeously atmospheric meditation on life - changing chance encounters,전통적인 스릴러 evolves into a gorgeously atmospheric meditation on life - changing chance encounters,a conventional thriller,전통적인 스릴러,1
149,' s hard to believe that something so short could be so flabby .,' s hard to believe that 너무 짧은 것 could be so flabby .,something so short,너무 짧은 것,0
150,a small independent film suffering from a severe case of hollywood - itis .,작은 독립영화 suffering from a severe case of hollywood - itis .,a small independent film,작은 독립영화,0
151,lives up to the stories and faces and music of the men who are its subject .,lives up to 주제인 남자들의 이야기와 얼굴과 음악 .,the stories and faces and music of the men who are its subject,주제인 남자들의 이야기와 얼굴과 음악,1
152,is just such an achievement,is 그냥 그런 성과,just such an achievement,그냥 그런 성과,1
153,fear and frustration are provoked to intolerable levels,두려움과 좌절 are provoked to intolerable levels,fear and frustration,두려움과 좌절,0
154,would benigni ' s italian pinocchio have been any easier to sit through than this hastily dubbed disaster,would 베니니의 이탈리안 피노키오 have been any easier to sit through than this hastily dubbed disaster,benigni ' s italian pinocchio,베니니의 이탈리안 피노키오,0
155,it can do even more damage,it can do 더 많은 피해,even more damage,더 많은 피해,0
156,"creates a drama with such a well - defined sense of place and age - - as in , 15 years old - - that the torments and angst become almost as operatic to us as they are to her characters .",creates 15세에서와 같이 잘 정의된 장소와 연령감이 있는 드라마로 고통과 불안이 그녀의 캐릭터와 마찬가지로 우리에게도 거의 오페라처럼 됩니다 .,"a drama with such a well - defined sense of place and age - - as in , 15 years old - - that the torments and angst become almost as operatic to us as they are to her characters",15세에서와 같이 잘 정의된 장소와 연령감이 있는 드라마로 고통과 불안이 그녀의 캐릭터와 마찬가지로 우리에게도 거의 오페라처럼 됩니다,1
157,support the premise other than fling gags at it,support 전제 other than fling gags at it,the premise,전제,1
158,"susceptible to blue hilarity ,","susceptible to 푸른 환희 ,",blue hilarity,푸른 환희,1
159,"choppy , surface - effect feeling","choppy , surface - 효과 느낌",effect feeling,효과 느낌,0
160,consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire .,consider 영화 a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire .,the film,영화,0
161,on their parents ' anguish,on 부모의 고뇌,their parents ' anguish,부모의 고뇌,0
162,the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death - defying efforts,어윈스의 장면들 are fascinating ; the movie as a whole is cheap junk and an insult to their death - defying efforts,the irwins ' scenes,어윈스의 장면들,0
163,for ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,for 운동의 개념이 경기장의 계단을 오르는 평범한 시끄러운 사람들 - 좌석 메가플렉스,ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,운동의 개념이 경기장의 계단을 오르는 평범한 시끄러운 사람들 - 좌석 메가플렉스,0
164,quickly becomes a tiresome cliché,quickly becomes 지루한 진부한 표현,a tiresome cliché,지루한 진부한 표현,0
165,"is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .","is carried less by 와우 요인 than by its funny , moving yarn that holds up well after two decades .",wow factors,와우 요인,1
166,weighs down the tale with bogus profundities,weighs down 이야기 with bogus profundities,the tale,이야기,0
167,", it tells a story whose restatement is validated by the changing composition of the nation .",", it tells 변화하는 국가 구성에 의해 재진술이 확인되는 이야기 .",a story whose restatement is validated by the changing composition of the nation,변화하는 국가 구성에 의해 재진술이 확인되는 이야기,1
168,are great rewards here .,are 큰 보상 here .,great rewards,큰 보상,1
169,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .","bleakly funny , 그 캐릭터 all the more touching for refusing to pity or memorialize themselves .",its characters,그 캐릭터,1
