,sentence,source_np0,label
64,"an astonishing voice cast ( excepting love hewitt ) ,",an astonishing voice cast,1
65,ca n ' t even do that much,that much,0
66,' s something impressive and yet lacking about everything .,s something,0
67,"that should shame americans , regardless of whether or not ultimate blame",ultimate blame,0
68,directed the film from the back of a taxicab,the film,0
69,returns to narrative filmmaking with a visually masterful work of quiet power .,narrative filmmaking,1
70,of intellectual lector in contemplation of the auteur ' s professional injuries,intellectual lector,1
71,to occasionally break up the live - action scenes with animated sequences,the live - action scenes with animated sequences,1
72,as well as it does because of the performances,the performances,1
73,banal bore the preachy circuit turns out to be,banal bore,0
74,the concept behind kung pow : enter the fist is hilarious,the concept behind kung pow,1
75,would make an excellent companion piece to the similarly themed ` the french lieutenant ' s woman .,an excellent companion piece to the similarly themed ` the french lieutenant ' s woman,1
76,mean it ' s good enough for our girls,our girls,1
77,animated drivel meant to enhance the self - image of drooling idiots .,animated drivel,0
78,"makes sure the salton sea works the way a good noir should ,",the salton sea,1
79,keeps you guessing at almost every turn,almost every turn,1
80,"of a callow rich boy who is forced to choose between his beautiful , self - satisfied 22 - year - old girlfriend and an equally beautiful , self - satisfied 18 - year - old mistress","a callow rich boy who is forced to choose between his beautiful , self - satisfied 22 - year - old girlfriend and an equally beautiful , self - satisfied 18 - year - old mistress",1
81,performances of exceptional honesty,exceptional honesty,1
82,` easily my choice for one of the year ' s best films . ',easily my choice,1
83,the fans are often funny fanatics,the fans,1
84,be found a tough beauty,a tough beauty,1
85,"the humor is n ' t as sharp , the effects not as innovative , nor the story as imaginative as in the original .",the humor,0
86,is a successful one .,a successful one,1
87,lead a group of talented friends,a group of talented friends,1
88,the best sports movie i ' ve ever seen .,the best sports movie,1
89,truly deserving of its oscar nomination,its oscar nomination,1
90,silly - - and gross - - but it ' s rarely as moronic as some campus gross - out films .,some campus gross - out films,0
91,the film is an earnest try at beachcombing verismo,the film,1
92,forgive its mean - spirited second half,its mean - spirited second half,0
93,a group of extremely talented musicians,extremely talented musicians,1
94,try to surprise us with plot twists,plot twists,1
95,the rollerball sequences feel sanitised and stagey .,the rollerball sequences,0
96,concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt .,the awkward interplay and utter lack of chemistry between chan and hewitt,0
97,two guys yelling in your face for two hours,two guys,0
98,suspenseful enough for older kids but,older kids,1
99,"empty , fetishistic violence in which murder is casual and fun","empty , fetishistic violence",0
100,for serious film buffs,serious film buffs,1
101,"is we never really see her esther blossom as an actress , even though her talent is supposed to be growing",an actress,0
102,the sheer ugliness of everything else,the sheer ugliness,0
103,"do n ' t feel the least bit ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold .",the least bit,1
104,shock - you - into - laughter intensity,laughter intensity,1
105,we do n ' t avert our eyes for a moment .,our eyes,1
106,its emotional power and moments of revelation,its emotional power,1
107,"sand ' s masculine persona , with its love of life and beauty ,",sand ' s masculine persona,1
108,' ll be treated to an impressive and highly entertaining celebration of its sounds .,an impressive and highly entertaining celebration of its sounds,1
109,go from stark desert to gorgeous beaches,stark desert,1
110,full of stunning images and effects,stunning images and effects,1
111,"triple x is a double agent , and he ' s one bad dude",triple x,1
112,"( davis ) wants to cause his audience an epiphany , yet he refuses to give us real situations and characters",his audience,0
113,"ashamed in admitting that my enjoyment came at the expense of seeing justice served , even if it ' s a dish that ' s best served cold",my enjoyment,1
114,"in manhattan , jennifer lopez ' s most aggressive and most sincere attempt",jennifer lopez ' s most aggressive and most sincere attempt,1
115,"a film about the irksome , tiresome nature of complacency","the irksome , tiresome nature of complacency",0
116,gets the feeling that the typical hollywood disregard for historical truth and realism is at work here,the feeling that the typical hollywood disregard for historical truth and realism is at work here,0
117,"it looks closely , insightfully at fragile , complex relationships .","fragile , complex relationships",1
118,with the precision of the insurance actuary,the precision of the insurance actuary,1
119,"all plays out . . . like a high - end john hughes comedy , a kind of elder bueller ' s time out .","a high - end john hughes comedy , a kind of elder bueller ' s time out",1
120,a lazy exercise in bad filmmaking,a lazy exercise,0
121,an equally miserable film the following year,an equally miserable film,0
122,listless sci - fi,listless sci,0
123,for one splendidly cast pair,one splendidly cast pair,1
124,that it churns up not one but two flagrantly fake thunderstorms to underscore the action,not one but two flagrantly fake thunderstorms,0
125,part of the film ' s cheeky charm comes from its vintage schmaltz .,part of the film ' s cheeky charm,1
126,everything else about the film tanks .,everything else,0
127,an acting bond that makes the banger sisters a fascinating character study with laughs to spare,an acting bond,1
128,"not everyone will welcome or accept the trials of henry kissinger as faithful portraiture , but",not everyone,0
129,the supernatural trappings only obscure the message,the supernatural trappings,0
130,makes up for in heart what it lacks in outright newness .,outright newness,1
131,"both an admirable reconstruction of terrible events , and a fitting memorial to the dead of that day , and of the thousands thereafter .",an admirable reconstruction of terrible events,1
132,( fincher ' s ) camera sense and assured pacing make it an above - average thriller .,( fincher ' s ) camera sense and assured pacing,1
133,like a tired tyco ad,a tired tyco ad,0
134,you ' ve endured a long workout without your pulse ever racing,a long workout,1
135,painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people,an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people,1
136,schrader relies on subtle ironies and visual devices to convey point of view .,subtle ironies and visual devices,1
137,of the unsalvageability,the unsalvageability,0
138,numbing experience to watch,numbing experience,0
139,"like the rugrats movies , the wild thornberrys movie does n ' t offer much more than the series ,",the wild thornberrys movie,0
140,- kids - cute sentimentality by a warmth that is n ' t faked and,cute sentimentality,1
141,likely to leave a lasting impression,a lasting impression,1
142,"the star who helped give a spark to ` ` chasing amy ' ' and ` ` changing lanes ' ' falls flat as thinking man cia agent jack ryan in this summer ' s new action film , ` ` the sum of all fears . ' '",the star who helped give a spark to ` ` chasing amy ' ' and ` ` changing lanes ' ',0
143,"throws quirky characters , odd situations , and off - kilter dialogue at us",quirky characters,0
144,"fare , with enough creative energy and wit to entertain all ages",enough creative energy and wit to entertain all ages,1
145,a lot of the credit for the film ' s winning tone,the credit,1
146,the rest of the cast was outshined by ll cool j .,the rest of the cast,1
147,", eight legged freaks is prime escapist fare .",eight legged freaks,1
148,a conventional thriller evolves into a gorgeously atmospheric meditation on life - changing chance encounters,a conventional thriller,1
149,' s hard to believe that something so short could be so flabby .,something so short,0
150,a small independent film suffering from a severe case of hollywood - itis .,a small independent film,0
151,lives up to the stories and faces and music of the men who are its subject .,the stories and faces and music of the men who are its subject,1
152,is just such an achievement,just such an achievement,1
153,fear and frustration are provoked to intolerable levels,fear and frustration,0
154,would benigni ' s italian pinocchio have been any easier to sit through than this hastily dubbed disaster,benigni ' s italian pinocchio,0
155,it can do even more damage,even more damage,0
156,"creates a drama with such a well - defined sense of place and age - - as in , 15 years old - - that the torments and angst become almost as operatic to us as they are to her characters .","a drama with such a well - defined sense of place and age - - as in , 15 years old - - that the torments and angst become almost as operatic to us as they are to her characters",1
157,support the premise other than fling gags at it,the premise,1
158,"susceptible to blue hilarity ,",blue hilarity,1
159,"choppy , surface - effect feeling",effect feeling,0
160,consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director i admire .,the film,0
161,on their parents ' anguish,their parents ' anguish,0
162,the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death - defying efforts,the irwins ' scenes,0
163,for ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,0
164,quickly becomes a tiresome cliché,a tiresome cliché,0
165,"is carried less by wow factors than by its funny , moving yarn that holds up well after two decades .",wow factors,1
166,weighs down the tale with bogus profundities,the tale,0
167,", it tells a story whose restatement is validated by the changing composition of the nation .",a story whose restatement is validated by the changing composition of the nation,1
168,are great rewards here .,great rewards,1
169,"bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",its characters,1
170,"her pure fantasy character , melanie carmichael , with a massive infusion of old - fashioned hollywood magic","her pure fantasy character , melanie carmichael ,",1
171,the teen - exploitation playbook,the teen,0
172,"' d probably turn it off , convinced that you had already seen that movie",that movie,0
173,just seem like a bad idea from frame one,a bad idea from frame one,0
174,in clichés and mawkish dialogue,clichés and mawkish dialogue,0
175,a journey that is as difficult for the audience to take as it is for the protagonist - - yet it ' s potentially just as rewarding,the audience,1
176,as a reverie about memory and regret,a reverie about memory and regret,1
177,a striking new significance for anyone,a striking new significance,1
178,a real audience - pleaser,a real audience,1
179,the movie ' s major and most devastating flaw,the movie ' s,0
180,"full of detail about the man and his country , and is well worth seeing .",the man and his country,1
181,"the three leads produce adequate performances ,",the three leads,1
182,it may be because teens are looking for something to make them laugh .,something to make them laugh,1
183,certainly does the trick of making us care about its protagonist and celebrate his victories,the trick,1
184,honestly address the flaws inherent in how medical aid is made available to american workers,the flaws inherent in how medical aid is made available to american workers,1
185,"i just saw this movie . . . well , it ' s probably not accurate to call it a movie",this movie,0
186,"that it can only encourage us to see samira makhmalbaf as a very distinctive sensibility , working to develop her own film language with conspicuous success",samira makhmalbaf,1
187,bad animation and,bad animation,0
188,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here,the feeling that the typical hollywood disregard for historical truth and realism is at work here,0
189,"it ' s the type of film about growing up that we do n ' t see often enough these days : realistic , urgent","the type of film about growing up that we do n ' t see often enough these days : realistic , urgent",1
190,"formulaic , its plot and pacing typical hollywood war - movie stuff",its plot,0
191,the lady and the duke surprisingly manages never to grow boring . . . which proves that rohmer still has a sense of his audience .,the lady and the duke,1
192,like a human volcano or an overflowing septic tank,a human volcano or an overflowing septic tank,0
193,"lack contrast , are murky",lack contrast,0
194,"are all in the performances , from foreman ' s barking - mad taylor to thewlis ' s smoothly sinister freddie and bettany / mcdowell ' s hard - eyed gangster",foreman ' s,1
195,transforms one of ( shakespeare ' s ) deepest tragedies into a smart new comedy,one of ( shakespeare ' s ) deepest tragedies,1
196,"no charm , no laughs",no charm,0
197,though the story . . . is hackneyed,the story,0
198,you ' ve missed the first half - dozen episodes and probably,the first half - dozen episodes,0
199,"he does n ' t unveil it until the end , after endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car",endless scenes of him wheedling reluctant witnesses and pointing his camera through the smeared windshield of his rental car,1
200,otto - sallies has a real filmmaker ' s eye .,otto - sallies,1
201,", crush goes to absurd lengths to duck the very issues it raises .",absurd lengths,0
202,"loved the people onscreen , even though i could not stand them .",the people,1
203,makes the journey feel like a party,the journey,1
204,make you feel guilty about ignoring what the filmmakers clearly believe,the filmmakers,0
205,needs more filmmakers with passionate enthusiasms like martin scorsese,more filmmakers,1
206,there is no substitute for on - screen chemistry,no substitute,1
207,"director paul cox ' s unorthodox , abstract approach",director paul cox ' s,1
208,"this charming , thought - provoking new york fest of life and love","this charming , thought",1
209,a polished and vastly entertaining caper film that puts the sting back into the con,a polished and vastly entertaining caper film,1
210,the one - liners are snappy,the one - liners,1
211,been this disappointed by a movie in a long time,a long time,0
212,"you ' ll be wistful for the testosterone - charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal - mart budget .",the testosterone,0
213,steven soderbergh ' s space opera emerges as a numbingly dull experience .,steven soderbergh ' s space opera,0
214,abandon their scripts and go where the moment takes them,their scripts,0
215,ozpetek avoids most of the pitfalls you ' d expect in such a potentially sudsy set - up,most of the pitfalls you ' d expect in such a potentially sudsy set - up,1
216,pulling the plug on the conspirators and averting an american - russian armageddon,the plug,1
217,hole - ridden plotting,ridden plotting,0
218,"bill plympton , the animation master",bill plympton,1
219,"there ' s not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff",enough substance,0
220,get a sense of good intentions derailed by a failure to seek and strike just the right tone .,a sense of good intentions derailed by a failure to seek and strike just the right tone,0
221,the sweetest thing is expressly for idiots who do n ' t care what kind of sewage they shovel into their mental gullets to simulate sustenance .,the sweetest thing,0
222,eerily convincing as this bland blank of a man with unimaginable demons,this bland blank of a man with unimaginable demons,0
223,"stoner midnight flick , sci - fi deconstruction",stoner midnight flick,0
224,puts enough salt into the wounds of the tortured and self - conscious material to make it sting,enough salt,0
225,"by pretentious , untalented artistes who enjoy moaning about their cruel fate","pretentious , untalented artistes",0
226,an impressive roster of stars and direction from kathryn bigelow,an impressive roster,1
227,"it ' s shot on digital video , whose tiny camera enables shafer to navigate spaces both large . . . and small . . . with considerable aplomb",digital video,1
228,is entertainment opportunism at its most glaring .,entertainment opportunism at its most glaring,0
229,"as looking , sounding and simply feeling like no other film in recent history",no other film in recent history,1
230,sweet - and - sour insider movie that film buffs will eat up like so much gelati,sour insider movie,1
231,the best script that besson has written in years .,the best script,1
232,becomes a bit of a mishmash,a bit of a mishmash,0
233,is about as deep as that sentiment,that sentiment,0
234,is one of the rarest kinds of films : a family - oriented non - disney film that is actually funny without hitting below the belt,one of the rarest kinds of films : a family - oriented non - disney film that is actually funny without hitting below the belt,1
235,an artsploitation movie with too much exploitation and too little art .,an artsploitation movie,0
236,an erotic thriller that,an erotic thriller,1
237,"miyazaki ' s nonstop images are so stunning ,",miyazaki ' s nonstop images,1
238,keep from laughing at the ridiculous dialog or the oh - so convenient plot twists,the ridiculous dialog,0
239,` just letting the mountain tell you what to do,the mountain,1
240,becomes more and more frustrating as the film goes on,the film,0
241,' m not sure which will take longer to heal : the welt on johnny knoxville ' s stomach from a riot - control projectile or my own tortured psyche .,the welt on johnny knoxville ' s stomach from a riot - control projectile or my own tortured psyche,0
242,a matter of plumbing arrangements and mind games,plumbing arrangements and mind games,0
243,a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare ' s plays .,a fascinating literary mystery story,1
244,", repetitively stretched out to feature length , awash in self - consciously flashy camera effects , droning house music and flat , flat dialogue .","consciously flashy camera effects , droning house music and flat , flat dialogue",0
245,with so many distracting special effects and visual party tricks,so many distracting special effects and visual party tricks,0
246,sugary sentiment and withholds delivery,sugary sentiment,0
247,", guts and crazy beasts stalking men with guns though . . . you will likely enjoy this monster .",crazy beasts,1
248,holds the screen like a true star .,the screen,1
249,it squanders chan ' s uniqueness ; it could even be said to squander jennifer love hewitt !,chan ' s uniqueness,0
250,"a gratingly unfunny groaner littered with zero - dimensional , unlikable characters and hackneyed , threadbare comic setups .",a gratingly unfunny groaner,0
251,ends up as tedious as the chatter of parrots raised on oprah,the chatter of parrots raised on oprah,0
252,"a sweet , tender sermon about a 12 - year - old welsh boy more curious about god","a sweet , tender sermon",1
253,"elegant , witty and beneath a prim exterior",a prim exterior,1
254,bug - eye theater and dead - eye,eye theater and dead,0
255,off the path of good sense,the path of good sense,0
256,to scoring high for originality of plot,originality of plot,1
257,about the only thing to give the movie points for is bravado - - to take an entirely stale concept and push it through the audience ' s meat grinder one more time .,about the only thing to give the movie points for,0
258,plays like a student film by two guys who desperately want to be quentin tarantino when they grow up .,a student film by two guys who desperately want to be quentin tarantino when they grow up,0
259,' ll still have a good time . ' ',a good time,1
260,a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .,a rare and lightly entertaining look,1
261,a huge disappointment coming,a huge disappointment,0
262,offers a desperately ingratiating performance .,a desperately ingratiating performance,1
263,is a pretty decent little documentary,a pretty decent little documentary,1
264,soulless techno - tripe,soulless techno,0
265,the cultural moat surrounding its ludicrous and contrived plot,the cultural moat,0
266,after the clever credits roll,the clever credits roll,1
267,sound like it was co - written by mattel executives and lobbyists for the tinsel industry,mattel executives and lobbyists for the tinsel industry,0
268,the drama discloses almost nothing .,the drama,0
269,you - are - there immediacy,there immediacy,1
270,in a fresh way,a fresh way,1
271,is high on squaddie banter,squaddie banter,0
272,but they fascinate in their recklessness .,their recklessness,1
273,exposes the limitations of his skill and the basic flaws in his vision,the limitations of his skill and the basic flaws in his vision,0
274,apart by forming a chain of relationships that come full circle to end on a positive ( if tragic ) note,a chain of relationships that come full circle to end on a positive ( if tragic ) note,1
275,robinson ' s web of suspense,robinson ' s web,1
276,be a breakthrough in filmmaking,a breakthrough in filmmaking,1
277,", his little changes ring hollow",his little changes,0
278,a one - of - a - kind tour de force,kind tour de force,1
279,"it ' s not nearly as fresh or enjoyable as its predecessor , but",its predecessor,0
280,neatly and effectively captures the debilitating grief,the debilitating grief,1
281,' s fun for kids of any age,s fun,1
282,"nicolas cage is n ' t the first actor to lead a group of talented friends astray , and",nicolas cage,0
283,is that there ' s a casual intelligence that permeates the script,a casual intelligence that permeates the script,1
284,uses the huge - screen format to make an old - fashioned nature film that educates viewers with words and pictures while entertaining them .,the huge - screen format to make an old - fashioned nature film that educates viewers with words and pictures while entertaining them,1
285,bringing you right inside the massive waves that lifts blue crush into one of the summer ' s most pleasurable movies,the massive waves that lifts blue crush into one of the summer ' s most pleasurable movies,1
286,"winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high - concept films candy - coat with pat storylines , precious circumstances and beautiful stars","some honest insight into relationships that most high - concept films candy - coat with pat storylines , precious circumstances and beautiful stars",1
287,"sneaks up on the viewer , providing an experience that is richer than anticipated",the viewer,1
288,"is a goofball movie , in the way that malkovich was",a goofball movie,1
289,the film is doing something of a public service - - shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .,the film,1
290,a group of more self - absorbed women than the mother and daughters featured in this film,more self - absorbed women,0
291,is by far the worst movie of the year,the worst movie of the year,0
292,"even as it pays earnest homage to turntablists and beat jugglers , old schoolers and current innovators",old schoolers,1
293,you ' re likely to see all year .,all year,1
294,a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing,the filling missing,0
295,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness .",the trouble with making this queen a thoroughly modern maiden,0
296,"feels contrived , as if the filmmakers were worried the story would n ' t work without all those gimmicks",the filmmakers,0
297,"into a poem of art , music and metaphor","a poem of art , music and metaphor",1
298,the proud warrior that still lingers in the souls of these characters,the proud warrior,1
299,"it ' s a treat - - a delightful , witty , improbable romantic comedy with a zippy jazzy score . . . grant and bullock make it look as though they are having so much fun .","a treat - - a delightful , witty , improbable romantic comedy with a zippy jazzy score . . . grant and bullock make it look as though they are having so much fun",1
300,the film ' s needlessly opaque intro,the film ' s,0
301,"i can imagine this movie as a b & w british comedy , circa 1960 , with peter sellers , kenneth williams , et al . , but at this time , with this cast , this movie is hopeless",this movie,0
302,"is a lumbering , wheezy drag","a lumbering , wheezy drag",0
303,with adventure and a worthwhile environmental message,adventure and a worthwhile environmental message,1
304,be relegated to a dark video store corner,a dark video store corner,0
305,"its and pieces of the hot chick are so hilarious , and schneider ' s performance is so fine",its and pieces of the hot chick,1
306,but film buffs should get to know,film buffs,1
307,who deserve more from a vampire pic than a few shrieky special effects,a few shrieky special effects,0
308,it is an unstinting look at a collaboration between damaged people that may or may not qual,an unstinting look at a collaboration between damaged people that may or may not qual,1
309,' ll feel as the credits roll,the credits,1
310,sit and stare and turn away from one another instead of talking and,one another,0
311,"benevolent deception , which , while it may not rival the filmmaker ' s period pieces , is still very much worth seeing",benevolent deception,1
312,"what a dumb , fun , curiously adolescent movie this","a dumb , fun , curiously adolescent movie this",1
313,"viewers do n ' t have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern - day comedies","farts , urine , feces , semen , or any of the other foul substances that have overrun modern - day comedies",1
314,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad .",the fun of the movie,1
315,emphasizes every line and sag,every line and sag,0
316,bring you into the characters,the characters,1
317,"sexual jealousy , resentment and the fine",sexual jealousy,1
318,"something , one that attempts and often achieves a level of connection and concern",one that attempts and often achieves a level of connection and concern,1
319,", the worst of tragedies can be fertile sources of humor",the worst of tragedies,1
320,weaving themes among three strands which allow us to view events as if through a prism,three strands which allow us to view events as if through a prism,1
321,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip - non - synching , but otherwise the production is suitably elegant .",the production,1
322,"if festival in cannes nails hard - boiled hollywood argot with a bracingly nasty accuracy , much about the film , including some of its casting , is frustratingly unconvincing .",festival in cannes,0
323,"by no means a great movie , but it is a refreshingly forthright one .",no means a great movie,1
324,"bartleby is a fine , understated piece of filmmaking .","a fine , understated piece of filmmaking",1
325,in mr . spielberg ' s 1993 classic,mr . spielberg ' s,1
326,all the scenic appeal of a cesspool,all the scenic appeal,0
327,of his spiritual survival,his spiritual survival,1
328,has a customarily jovial air but a deficit of flim - flam inventiveness .,a customarily jovial air but a deficit of flim - flam inventiveness,0
329,succeeds as a powerful look at a failure of our justice system .,a powerful look at a failure of our justice system,1
330,"seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device",his own invention,0
331,' s an adventure story and history lesson all in one .,an adventure story,1
332,i have always appreciated a smartly written motion picture,a smartly written motion picture,1
333,the extent to which it succeeds is impressive .,the extent to which it succeeds,1
334,the worst elements of all of them,the worst elements,0
335,will not go down in the annals of cinema as one of the great submarine stories,the annals of cinema,0
336,is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears,an imaginative teacher of emotional intelligence,1
337,something of bubba ho - tep ' s clearly evident quality,something of bubba ho,1
338,a beautiful paean to a time long past,a beautiful paean,1
339,predictable plotting and tiresome histrionics,predictable plotting,0
340,this mess of a movie,this mess,0
341,"' s a rollicking adventure for you and all your mateys , regardless of their ages .",a rollicking adventure,1
342,"directed , highly professional film that ' s old - fashioned in all the best possible ways",highly professional film,1
343,"' s a sweet , laugh - a - minute crowd pleaser that lifts your spirits as well as the corners of your mouth","a sweet , laugh - a - minute crowd pleaser that lifts your spirits as well as the corners of your mouth",1
344,be wholesome and subversive at the same time,the same time,1
345,has a whip - smart sense of narrative bluffs,a whip - smart sense of narrative bluffs,1
346,"more mature than fatal attraction , more complete than indecent proposal and",fatal attraction,1
347,"recommended viewing for its courage , ideas , technical proficiency and great acting .","its courage , ideas , technical proficiency and great acting",1
348,the man who bilked unsuspecting moviegoers,the man,0
349,offers much to absorb and even more to think about after the final frame,much to absorb,1
350,"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .",o fantasma,1
351,showtime the most savory and hilarious guilty pleasure of many a recent movie season,the most savory and hilarious guilty pleasure of many a recent movie season,1
352,not only learning but inventing a remarkable new trick .,a remarkable new trick,1
353,"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .",the con and the players,0
354,this world more complex,this world,1
355,inherent in how medical aid is made available to american workers,medical aid,1
356,the film would be a total washout .,the film,0
