,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
12,"PST Chittagong , Bangladesh - - Muhammad Yunus , Bangladesh ' s "" Banker to the Poor "" who provides loans to help millions of people fight poverty by starting businesses , has won the Nobel Peace Prize .","PST Chittagong , Bangladesh - - 무하마드 유누스 , Bangladesh ' s "" Banker to the Poor "" who provides loans to help millions of people fight poverty by starting businesses , has won the Nobel Peace Prize .",Muhammad Yunus,무하마드 유누스,Muhammad Yunus won the Nobel Prize for Peace .,무하마드 유누스 won the Nobel Prize for Peace .,Muhammad Yunus,무하마드 유누스,0
13,"Since the island also lacks wells , water has to be obtained from rain carefully collected in concrete cisterns .","Since 섬 also lacks wells , water has to be obtained from rain carefully collected in concrete cisterns .",the island,섬,The island gets water from collected rain .,섬 gets water from collected rain .,The island,섬,0
14,""" We ' ve never had a core ( business ) thing , "" founder Richard Branson told Reuters at the launch this month of Virgin Vodka , which , with Virgin cola and Virgin computers , are his latest bright ideas .",""" We ' ve never had a core ( business ) thing , "" 설립자 리차드 브랜슨 told Reuters at the launch this month of Virgin Vodka , which , with Virgin cola and Virgin computers , are his latest bright ideas .",founder Richard Branson,설립자 리차드 브랜슨,Richard Branson ' s cola is called Virgin Cola .,리처드 브랜슨의 콜라 is called Virgin Cola .,Richard Branson ' s cola,리처드 브랜슨의 콜라,0
15,"A Miami International Airport concourse was evacuated for three hours Wednesday , after a pepper spray can discharged , causing 43 people to suffer respiratory distress .","마이애미 국제공항 중앙 홀 was evacuated for three hours Wednesday , after a pepper spray can discharged , causing 43 people to suffer respiratory distress .",A Miami International Airport concourse,마이애미 국제공항 중앙 홀,"An Airport concourse was evacuated Wednesday , after people began having trouble breathing .","공항 중앙 홀 was evacuated Wednesday , after people began having trouble breathing .",An Airport concourse,공항 중앙 홀,0
16,"In other words , with its 2 million inhabitants , Slovenia has only 5 . 5 thousand professional soldiers .","In 다른 말로 , with its 2 million inhabitants , Slovenia has only 5 . 5 thousand professional soldiers .",other words,다른 말로,Slovenia has 5 . 5 million inhabitants .,Slovenia has 5  500만 주민 .,5 . 5 million inhabitants,5  500만 주민,1
17,"South Korean President Roh Moo - hyun Thursday asked the Board of Audit and Inspection ( BAI ) to investigate questions arising about the Foreign Ministry ' s response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants , according to Yonhap .","노무현 대통령 - hyun Thursday asked the Board of Audit and Inspection ( BAI ) to investigate questions arising about the Foreign Ministry ' s response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants , according to Yonhap .",South Korean President Roh Moo,노무현 대통령,A South Korean in Iraq was killed by Muslim militants .,이라크에 있는 한국인 was killed by Muslim militants .,A South Korean in Iraq,이라크에 있는 한국인,0
18,"An explosion , followed by a raging fire , demolished a plastics factory , killing at least three people and injuring at least 37 .","폭발에 이은 맹렬한 불길, demolished a plastics factory , killing at least three people and injuring at least 37 .","An explosion , followed by a raging fire ,","폭발에 이은 맹렬한 불길,",A massive blast at a plastics factory killed at least two people .,플라스틱 공장에서 대규모 폭발 killed at least two people .,A massive blast at a plastics factory,플라스틱 공장에서 대규모 폭발,0
19,"Earlier this year reporter Judith Miller was jailed for refusing to name the US - government source who identified a member of the US Central Intelligence Agency ( CIA ) , Valerie Plame .","올해 초 reporter Judith Miller was jailed for refusing to name the US - government source who identified a member of the US Central Intelligence Agency ( CIA ) , Valerie Plame .",Earlier this year,올해 초,Judith Miller works for the US Government .,주디스 밀러 works for the US Government .,Judith Miller,주디스 밀러,1
20,Article 19 said a correspondent for the independent newspaper Narodnaya Volya who attempted to determine how many people involved in emergency work in the contaminated zone around the Chernobyl nuclear reactor after the 1986 catastrophe were still alive was told by the Ministry of Emergencies that non - state newspapers could be refused access to any information .,Article 19 said 1986년 대재앙 이후 체르노빌 원자로 주변의 오염 구역에서 얼마나 많은 사람들이 아직 살아 있는지 확인하려고 시도한 독립 신문 Narodnaya Volya의 특파원 was told by the Ministry of Emergencies that non - state newspapers could be refused access to any information .,a correspondent for the independent newspaper Narodnaya Volya who attempted to determine how many people involved in emergency work in the contaminated zone around the Chernobyl nuclear reactor after the 1986 catastrophe were still alive,1986년 대재앙 이후 체르노빌 원자로 주변의 오염 구역에서 얼마나 많은 사람들이 아직 살아 있는지 확인하려고 시도한 독립 신문 Narodnaya Volya의 특파원,The catastrophe at Chernobyl happened in 1986 .,체르노빌의 재앙 happened in 1986 .,The catastrophe at Chernobyl,체르노빌의 재앙,0
21,"Around 50 million years ago , in contrast , oxygen levels in the atmosphere measured 23 percent - - 2 percent higher than today .","Around 50 million years ago , in contrast , 대기의 산소 수준 measured 23 percent - - 2 percent higher than today .",oxygen levels in the atmosphere,대기의 산소 수준,23 % of the atmosphere is made up by oxygen .,대기의 23% is made up by oxygen .,23 % of the atmosphere,대기의 23%,1
22,"Muslims make up some 3 . 2 million of Germany ' s 82 million people , and Turks represent two thirds of the minority .","Muslims make up 일부 3  독일 8200만명 중 200만명 , and Turks represent two thirds of the minority .",some 3 . 2 million of Germany ' s 82 million people,일부 3  독일 8200만명 중 200만명,82 million people live in Germany .,"8,200만 명 live in Germany .",82 million people,"8,200만 명",0
23,"Hugh Jackman has done it all - almost . He ' s hosted the Oscars , danced on Broadway , flashed his winning grin and flexed his acting muscles , but Friday is the first time the Australian actor will claw his way into movie theaters as the main attraction . In "" X - Men Origins : Wolverine , "" there ' s no Halle Berry or Nicole Kidman by his side to buoy the box office . This time it ' s just Jackman , his claws and a heap of Hollywood expectations to the tune of $ 150 million .","휴 잭맨 has done it all - almost . He ' s hosted the Oscars , danced on Broadway , flashed his winning grin and flexed his acting muscles , but Friday is the first time the Australian actor will claw his way into movie theaters as the main attraction . In "" X - Men Origins : Wolverine , "" there ' s no Halle Berry or Nicole Kidman by his side to buoy the box office . This time it ' s just Jackman , his claws and a heap of Hollywood expectations to the tune of $ 150 million .",Hugh Jackman,휴 잭맨,Hugh Jackman will play the magician Harry Houdini .,휴 잭맨 will play the magician Harry Houdini .,Hugh Jackman,휴 잭맨,1
24,"Whilst the Government has an absolute majority in the Australian Senate , it is not guaranteed that the necessary legislation will pass this house . Garnering the support of key Senator Joyce is critical to ensure that the bills will pass ( as he will have the deciding vote ) and he has already stated that , due to a damning report released earlier in the House of Representatives showing that fourteen percent of lines were faulty amongst other criticsm , that it has turned the "" green [ light ] to amber "" [ 1 ] .","Whilst 정부 has an absolute majority in the Australian Senate , it is not guaranteed that the necessary legislation will pass this house . Garnering the support of key Senator Joyce is critical to ensure that the bills will pass ( as he will have the deciding vote ) and he has already stated that , due to a damning report released earlier in the House of Representatives showing that fourteen percent of lines were faulty amongst other criticsm , that it has turned the "" green [ light ] to amber "" [ 1 ] .",the Government,정부,Mr Joyce is an Australian Senator .,미스터 조이스 is an Australian Senator .,Mr Joyce,미스터 조이스,0
25,"Zakaria Maamar , associate professor at the College of Information Technology at Zayed University , UAE , told Science and Development Network ( SciDev . Net ) that , "" This initiative is another boost to the research and development activities that are carried out in the UAE . It will definitely provide researchers with the appropriate funds to sustain such activities and promote best practices in the community . "" Said Elnaffar , assistant professor at the college of information technology at the United Arab Emirates University , told SciDev . Net that , with this initiative , the UAE is taking the lead and setting a good example by building a strong development infrastructure founded on knowledge discovery and research .","Zakaria Maamar, UAE Zayed University 정보 기술 대학 부교수, told Science and Development Network ( SciDev . Net ) that , "" This initiative is another boost to the research and development activities that are carried out in the UAE . It will definitely provide researchers with the appropriate funds to sustain such activities and promote best practices in the community . "" Said Elnaffar , assistant professor at the college of information technology at the United Arab Emirates University , told SciDev . Net that , with this initiative , the UAE is taking the lead and setting a good example by building a strong development infrastructure founded on knowledge discovery and research .","Zakaria Maamar , associate professor at the College of Information Technology at Zayed University , UAE ,","Zakaria Maamar, UAE Zayed University 정보 기술 대학 부교수,",Said Elnaffar is an employee of the United Arab Emirates University .,Said Elnaffar is 아랍에미리트 대학교 직원 .,an employee of the United Arab Emirates University,아랍에미리트 대학교 직원,0
26,Six hostages in Iraq were freed .,이라크 인질 6명 were freed .,Six hostages in Iraq,이라크 인질 6명,"The four Jordanian hostages , kidnapped about a week ago , were freed .",약 일주일 전에 납치된 네 명의 요르단 인질은 were freed .,"The four Jordanian hostages , kidnapped about a week ago ,",약 일주일 전에 납치된 네 명의 요르단 인질은,1
27,"Two Indian diplomats met the Indian prisoner facing death in Pakistan , Sarabjit Singh , on Tuesday at Kot Lakhpat jail in the eastern Pakistani city of Lahore .","인도 외교관 2명 met the Indian prisoner facing death in Pakistan , Sarabjit Singh , on Tuesday at Kot Lakhpat jail in the eastern Pakistani city of Lahore .",Two Indian diplomats,인도 외교관 2명,"Indian diplomats met an Indian prisoner , on death row , on Tuesday .","인도 외교관 met an Indian prisoner , on death row , on Tuesday .",Indian diplomats,인도 외교관,0
28,"The 500 , 000 eligible , Muslim voters are likely to reward Chancellor Gerhard Schroeder ' s Social Democrats ( SPD ) in the September 18 parliamentary election , for its anti - Iraq war position and pro - Muslim policies .","500,000명의 자격이 있는 무슬림 유권자 are likely to reward Chancellor Gerhard Schroeder ' s Social Democrats ( SPD ) in the September 18 parliamentary election , for its anti - Iraq war position and pro - Muslim policies .","The 500 , 000 eligible , Muslim voters","500,000명의 자격이 있는 무슬림 유권자",Gerhard Schroeder belongs to the Social Democrats .,게르하르트 슈뢰더 belongs to the Social Democrats .,Gerhard Schroeder,게르하르트 슈뢰더,0
29,"In clashes between Israeli forces and gunmen , one Palestinian was killed and 10 wounded , hospital officials said .","In clashes between Israeli forces and gunmen , one Palestinian was killed and 10 wounded , 병원 관계자 said .",hospital officials,병원 관계자,A Palestinian was killed and other people were wounded .,팔레스타인 사람 was killed and other people were wounded .,A Palestinian,팔레스타인 사람,0
30,"Harrington , of Fitchburg , Massachusetts , was taken to an area hospital and is listed in critical condition . No other vehicles were struck during the crash . Authorities said others at the scene also assisted , including a turnpike employee and two motorists who carried Harrington out of the truck as police arrived . Fitzgerald said he had never used the defibrillator before Tuesday . "" As a trooper , you see more negative than positive out there , "" Fitzgerald said . "" It feels good when you can help someone and it feels good knowing that all those people had stopped to help before I got there . ""","Fitchburg, Massachusetts의 Harrington, was taken to an area hospital and is listed in critical condition . No other vehicles were struck during the crash . Authorities said others at the scene also assisted , including a turnpike employee and two motorists who carried Harrington out of the truck as police arrived . Fitzgerald said he had never used the defibrillator before Tuesday . "" As a trooper , you see more negative than positive out there , "" Fitzgerald said . "" It feels good when you can help someone and it feels good knowing that all those people had stopped to help before I got there . ""","Harrington , of Fitchburg , Massachusetts ,","Fitchburg, Massachusetts의 Harrington,",Harrington is a resident of Massachusetts .,Harrington is 매사추세츠 거주자 .,a resident of Massachusetts,매사추세츠 거주자,0
31,""" There were 20 survivors , the majority of them are in critical condition "" said Cyprian Gatete , Rwanda ' s assistant commissioner of police , during a telephone conversation with Reuters .",""" There were 20 survivors , 그들 중 대다수 are in critical condition "" said Cyprian Gatete , Rwanda ' s assistant commissioner of police , during a telephone conversation with Reuters .",the majority of them,그들 중 대다수,Cyprian Gatete is an employee of Reuters .,키프리안 가테 is an employee of Reuters .,Cyprian Gatete,키프리안 가테,1
32,"The government of South Ossetia has announced that it will evacuate children in danger zones to Russia . This came after a speech made by Eduard Kokoity , President of South Ossetia , which accused the Georgian government of "" attempting to spark a full - scale war . "" Kokoity said that the conflict ' s victim count has reached 1400 . As of 10 : 51 pm August 8 th , 12 Russian peacemakers are reported dead and 150 wounded . A video tape showing Georgian Su - 25 aircraft being downed was aired on Vesti Russian TV channel late night of August 8 th . The pilot of the jet reportedly ejected , but was captured and killed on the ground by Ossetian military .","남오세티야 정부 has announced that it will evacuate children in danger zones to Russia . This came after a speech made by Eduard Kokoity , President of South Ossetia , which accused the Georgian government of "" attempting to spark a full - scale war . "" Kokoity said that the conflict ' s victim count has reached 1400 . As of 10 : 51 pm August 8 th , 12 Russian peacemakers are reported dead and 150 wounded . A video tape showing Georgian Su - 25 aircraft being downed was aired on Vesti Russian TV channel late night of August 8 th . The pilot of the jet reportedly ejected , but was captured and killed on the ground by Ossetian military .",The government of South Ossetia,남오세티야 정부,South Ossetia chose Eduard Kokoity as President .,남오세티야 chose Eduard Kokoity as President .,South Ossetia,남오세티야,0
33,"Last Saturday I was thrilled to read about a school in Co Antrim which has introduced the study of philosophy for students of four years of age and upwards . According to both teachers and parents , the benefits are felt far beyond the classroom , "" not just in terms of increased confidence , motivation and ability , but in a heightened respect for the differing views of others "" . In 1999 , I walked through the gates of Trinity College to enrol as an undergraduate in the philosophy department . I had just returned home from years living in another city ; I was recently married , unemployed and had been diagnosed with a mental illness I didn ' t quite believe I had . I wasn ' t sure if I could cope .","지난 토요일 I was thrilled to read about a school in Co Antrim which has introduced the study of philosophy for students of four years of age and upwards . According to both teachers and parents , the benefits are felt far beyond the classroom , "" not just in terms of increased confidence , motivation and ability , but in a heightened respect for the differing views of others "" . In 1999 , I walked through the gates of Trinity College to enrol as an undergraduate in the philosophy department . I had just returned home from years living in another city ; I was recently married , unemployed and had been diagnosed with a mental illness I didn ' t quite believe I had . I wasn ' t sure if I could cope .",Last Saturday,지난 토요일,Trinity College was founded in 1999 .,트리니티 칼리지 was founded in 1999 .,Trinity College,트리니티 칼리지,1
34,"Rose made his first start since joining the Knicks 10 games ago , replacing Thomas , who has an infected elbow .","Rose made 그의 첫 시작 since joining the Knicks 10 games ago , replacing Thomas , who has an infected elbow .",his first start,그의 첫 시작,Rose joined the Knicks 10 games ago .,Rose joined 닉스 10 games ago .,the Knicks,닉스,0
35,"Prolonged exposure to UV - B light can cause sunburn , and there are worries that damage to the ozone layer may lead to an increase in the incidence of skin cancer .","장기간 노출 to UV - B light can cause sunburn , and there are worries that damage to the ozone layer may lead to an increase in the incidence of skin cancer .",Prolonged exposure,장기간 노출,UV - B light is damaging the ozone layer .,UV-B 라이트 is damaging the ozone layer .,UV - B light,UV-B 라이트,1
36,"Mr Piech dismissed suggestions that VWs actions in hiring away Mr Lopez and his seven colleagues from GM had caused widespread dismay in German industry , and was at odds with the style of German business .","미스터 피에히 dismissed suggestions that VWs actions in hiring away Mr Lopez and his seven colleagues from GM had caused widespread dismay in German industry , and was at odds with the style of German business .",Mr Piech,미스터 피에히,Piech got nationalistic in his accusations .,Piech got nationalistic in 그의 비난 .,his accusations,그의 비난,1
37,"As with the Babylonian New Year , the Chinese New Year , which occurred on the 1 st of February in 2003 , the day before Groundhog Day , is correlated to the beginning of spring .","As with the Babylonian New Year , 성촉절 전날인 2003년 2월 1일에 발생한 중국 설날, is correlated to the beginning of spring .","the Chinese New Year , which occurred on the 1 st of February in 2003 , the day before Groundhog Day ,","성촉절 전날인 2003년 2월 1일에 발생한 중국 설날,",The Chinese New Year ' s Day falls on the 1 st of February in 2003 .,중국 설날 falls on the 1 st of February in 2003 .,The Chinese New Year ' s Day,중국 설날,0
38,"A . S . Roma suffered their second home defeat of the campaign , with a 3 - 2 loss to 10 - man Siena .","ㅏ  에스 로마 suffered their second home defeat of the campaign , with a 3 - 2 loss to 10 - man Siena .",A . S . Roma,ㅏ  에스 로마,Siena was beaten by A . S . Roma .,Siena was beaten by A . 에스 로마 .,S . Roma,에스 로마,1
39,"The lawsuit did not initially mention the site ' s operator , Edward Webber ; instead , the suit was filed against a set of people named "" John Doe "" to be identified at a later point . Loki Torrent ' s popularity had increased dramatically in recent days after the prominent BitTorrent site SuprNova . org shut down in a preemptive move to avoid a lawsuit .","소송 did not initially mention the site ' s operator , Edward Webber ; instead , the suit was filed against a set of people named "" John Doe "" to be identified at a later point . Loki Torrent ' s popularity had increased dramatically in recent days after the prominent BitTorrent site SuprNova . org shut down in a preemptive move to avoid a lawsuit .",The lawsuit,소송,Loki Torrent was sued for manslaughter .,로키 토렌트 was sued for manslaughter .,Loki Torrent,로키 토렌트,1
40,"The renewed attention to the war came as peace activists , camping near the president ' s ranch , awaited a performance Sunday evening by peace movement icon Joan Baez .","전쟁에 대한 새로운 관심 came as peace activists , camping near the president ' s ranch , awaited a performance Sunday evening by peace movement icon Joan Baez .",The renewed attention to the war,전쟁에 대한 새로운 관심,"Folk singer Joan Baez brought her latest anti - war message Sunday to President Bush ' s adopted hometown , supporting Iraq war protesters camping out near his ranch .","포크 가수 조안 바에즈 brought her latest anti - war message Sunday to President Bush ' s adopted hometown , supporting Iraq war protesters camping out near his ranch .",Folk singer Joan Baez,포크 가수 조안 바에즈,1
41,Vodafone ' s share of net new subscribers in Japan has dwindled in recent months .,Vodafone의 일본 순 신규 가입자 점유율 has dwindled in recent months .,Vodafone ' s share of net new subscribers in Japan,Vodafone의 일본 순 신규 가입자 점유율,There have been many new subscribers to Vodafone in Japan in the past few months .,There have been 일본 Vodafone 신규 가입자 다수 in the past few months .,many new subscribers to Vodafone in Japan,일본 Vodafone 신규 가입자 다수,1
42,"A 55 - year - old orangutan named Nonja , who was believed to be the oldest living orangutan in the world both in captivity and the wild , has died at the Miami MetroZoo in Miami , Florida . "" Everybody ' s very sad , especially with an animal like an orangutan . You see a lot of yourself in these animals . The great apes are our closest relatives . She was really a grand old dame , "" said zoo spokesman Ron Magill .","A 55 - year - old orangutan named Nonja , who was believed to be the oldest living orangutan in the world both in captivity and the wild , has died at the Miami MetroZoo in Miami , Florida . "" Everybody ' s very sad , especially with an animal like an orangutan . You see a lot of yourself in these animals . The great apes are our closest relatives . She was really a grand old dame , "" said 동물원 대변인 Ron Magill .",zoo spokesman Ron Magill,동물원 대변인 Ron Magill,A 45 - year - old orangutan died in Florida .,45세 오랑우탄 died in Florida .,A 45 - year - old orangutan,45세 오랑우탄,1
43,Trade between China and India is expected to touch $ 20 bn this year and Chinese investors are now rushing into India - lured by the country ' s growing wealth .,중국과 인도 간의 무역 is expected to touch $ 20 bn this year and Chinese investors are now rushing into India - lured by the country ' s growing wealth .,Trade between China and India,중국과 인도 간의 무역,There is a profitable trade between China and India .,There is 중국과 인도 간의 수익성 있는 무역 .,a profitable trade between China and India,중국과 인도 간의 수익성 있는 무역,0
44,"The average cabby works nine and a half hours a day . A cab ' s busiest hours are 6 to 8 p . m . And even as the economy has fallen deeper into recession , the number of cab rides each day in New York has remained relatively steady . Those are among the most vivid bits of information about the yellow cab industry to emerge from a trove of new data collected by the Taxi and Limousine Commission from cabs equipped with new computerized systems that record each trip and fare .","평균 택시 works nine and a half hours a day . A cab ' s busiest hours are 6 to 8 p . m . And even as the economy has fallen deeper into recession , the number of cab rides each day in New York has remained relatively steady . Those are among the most vivid bits of information about the yellow cab industry to emerge from a trove of new data collected by the Taxi and Limousine Commission from cabs equipped with new computerized systems that record each trip and fare .",The average cabby,평균 택시,The busiest hour for a cab is 9 p . m .,택시가 가장 바쁜 시간 is 9 p . m .,The busiest hour for a cab,택시가 가장 바쁜 시간,1
45,There has been a lot of concern over the rise of drug - resistant bacteria .,There has been 약제내성세균의 증가에 대한 많은 우려 .,a lot of concern over the rise of drug - resistant bacteria,약제내성세균의 증가에 대한 많은 우려,Bacteria is winning the war against antibiotics .,Bacteria is winning 항생제와의 전쟁 .,the war against antibiotics,항생제와의 전쟁,1
46,"Miller died Thursday night , of congestive heart failure , at his home in Roxbury , Conn . , surrounded by his family , his assistant , Julia Bolus , said Friday .","Miller died Thursday night , of congestive heart failure , at his home in Roxbury , Conn . , surrounded by his family , 그의 조수 Julia Bolus , said Friday .","his assistant , Julia Bolus ,","그의 조수 Julia Bolus ,","Miller died Thursday night , of heart failure , surrounded by family members .","Miller died 목요일 밤 , of heart failure , surrounded by family members .",Thursday night,목요일 밤,0
47,"In India , carpets are made mostly in Uttar Pradesh , which adopted a "" Child Labour Abolition and Regulation Act "" in 1986 .","In India , carpets are made mostly in 1986년 ""아동 노동 폐지 및 규제법""을 채택한 우타르 프라데시 .","Uttar Pradesh , which adopted a "" Child Labour Abolition and Regulation Act "" in 1986","1986년 ""아동 노동 폐지 및 규제법""을 채택한 우타르 프라데시",The Child Labour Abolition and Regulation Act was adopted in 1986 .,아동노동금지법 was adopted in 1986 .,The Child Labour Abolition and Regulation Act,아동노동금지법,0
48,"The terror attacks , it was clear , had blasted a hole in the dam holding back Mumbai ' s reservoir of woes . While the protesters seemed to be reacting to a tragedy that had left at least 164 people dead and 308 injured , they were really venting the frustrations of having to cope with life in a city with an infrastructure so stretched that simply getting to work and back is an ordeal . At peak hour , the commuter trains - which carry six million people each day - are packed with up to 5 , 000 commuters , even though they ' re built for 1 , 800 . Every day , an average of 11 people die on the railway system , either because they fall off the trains or because they ' re hit by passing locomotives as they cross the tracks .","테러 공격 , it was clear , had blasted a hole in the dam holding back Mumbai ' s reservoir of woes . While the protesters seemed to be reacting to a tragedy that had left at least 164 people dead and 308 injured , they were really venting the frustrations of having to cope with life in a city with an infrastructure so stretched that simply getting to work and back is an ordeal . At peak hour , the commuter trains - which carry six million people each day - are packed with up to 5 , 000 commuters , even though they ' re built for 1 , 800 . Every day , an average of 11 people die on the railway system , either because they fall off the trains or because they ' re hit by passing locomotives as they cross the tracks .",The terror attacks,테러 공격,11 people died in the terror attacks in Mumbai .,11 people died in 뭄바이 테러 .,the terror attacks in Mumbai,뭄바이 테러,1
49,"The Altenburg is located in the Jenaer street which lies just outside of Weimar ' s city centre beyond the Ilm park . It was built in 1810 - 1811 and during the years following 1848 , Princess Carolyne of Sayn Wittgenstein and her husband , Franz Liszt , lived there .","더 알텐부르크 is located in the Jenaer street which lies just outside of Weimar ' s city centre beyond the Ilm park . It was built in 1810 - 1811 and during the years following 1848 , Princess Carolyne of Sayn Wittgenstein and her husband , Franz Liszt , lived there .",The Altenburg,더 알텐부르크,Franz Liszt lived from 1811 to 1886 .,프란츠 리스트 lived from 1811 to 1886 .,Franz Liszt,프란츠 리스트,1
50,"Theravada Buddhism is the official religion of Thailand and is the religion of about 95 % of its people . The government permits religious diversity , and other major religions are represented . Spirit worship and animism are widely practiced .","소승불교 is the official religion of Thailand and is the religion of about 95 % of its people . The government permits religious diversity , and other major religions are represented . Spirit worship and animism are widely practiced .",Theravada Buddhism,소승불교,The official religion of Thailand is Theravada Buddhism .,태국의 공식 종교 is Theravada Buddhism .,The official religion of Thailand,태국의 공식 종교,0
