,sentence1,source1_np0,sentence2,source2_np0,label
15,"A Miami International Airport concourse was evacuated for three hours Wednesday , after a pepper spray can discharged , causing 43 people to suffer respiratory distress .",A Miami International Airport concourse,"An Airport concourse was evacuated Wednesday , after people began having trouble breathing .",An Airport concourse,0
16,"In other words , with its 2 million inhabitants , Slovenia has only 5 . 5 thousand professional soldiers .",other words,Slovenia has 5 . 5 million inhabitants .,5 . 5 million inhabitants,1
17,"South Korean President Roh Moo - hyun Thursday asked the Board of Audit and Inspection ( BAI ) to investigate questions arising about the Foreign Ministry ' s response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants , according to Yonhap .",South Korean President Roh Moo,A South Korean in Iraq was killed by Muslim militants .,A South Korean in Iraq,0
18,"An explosion , followed by a raging fire , demolished a plastics factory , killing at least three people and injuring at least 37 .","An explosion , followed by a raging fire ,",A massive blast at a plastics factory killed at least two people .,A massive blast at a plastics factory,0
19,"Earlier this year reporter Judith Miller was jailed for refusing to name the US - government source who identified a member of the US Central Intelligence Agency ( CIA ) , Valerie Plame .",Earlier this year,Judith Miller works for the US Government .,Judith Miller,1
20,Article 19 said a correspondent for the independent newspaper Narodnaya Volya who attempted to determine how many people involved in emergency work in the contaminated zone around the Chernobyl nuclear reactor after the 1986 catastrophe were still alive was told by the Ministry of Emergencies that non - state newspapers could be refused access to any information .,a correspondent for the independent newspaper Narodnaya Volya who attempted to determine how many people involved in emergency work in the contaminated zone around the Chernobyl nuclear reactor after the 1986 catastrophe were still alive,The catastrophe at Chernobyl happened in 1986 .,The catastrophe at Chernobyl,0
21,"Around 50 million years ago , in contrast , oxygen levels in the atmosphere measured 23 percent - - 2 percent higher than today .",oxygen levels in the atmosphere,23 % of the atmosphere is made up by oxygen .,23 % of the atmosphere,1
22,"Muslims make up some 3 . 2 million of Germany ' s 82 million people , and Turks represent two thirds of the minority .",some 3 . 2 million of Germany ' s 82 million people,82 million people live in Germany .,82 million people,0
23,"Hugh Jackman has done it all - almost . He ' s hosted the Oscars , danced on Broadway , flashed his winning grin and flexed his acting muscles , but Friday is the first time the Australian actor will claw his way into movie theaters as the main attraction . In "" X - Men Origins : Wolverine , "" there ' s no Halle Berry or Nicole Kidman by his side to buoy the box office . This time it ' s just Jackman , his claws and a heap of Hollywood expectations to the tune of $ 150 million .",Hugh Jackman,Hugh Jackman will play the magician Harry Houdini .,Hugh Jackman,1
24,"Whilst the Government has an absolute majority in the Australian Senate , it is not guaranteed that the necessary legislation will pass this house . Garnering the support of key Senator Joyce is critical to ensure that the bills will pass ( as he will have the deciding vote ) and he has already stated that , due to a damning report released earlier in the House of Representatives showing that fourteen percent of lines were faulty amongst other criticsm , that it has turned the "" green [ light ] to amber "" [ 1 ] .",the Government,Mr Joyce is an Australian Senator .,Mr Joyce,0
25,"Zakaria Maamar , associate professor at the College of Information Technology at Zayed University , UAE , told Science and Development Network ( SciDev . Net ) that , "" This initiative is another boost to the research and development activities that are carried out in the UAE . It will definitely provide researchers with the appropriate funds to sustain such activities and promote best practices in the community . "" Said Elnaffar , assistant professor at the college of information technology at the United Arab Emirates University , told SciDev . Net that , with this initiative , the UAE is taking the lead and setting a good example by building a strong development infrastructure founded on knowledge discovery and research .","Zakaria Maamar , associate professor at the College of Information Technology at Zayed University , UAE ,",Said Elnaffar is an employee of the United Arab Emirates University .,an employee of the United Arab Emirates University,0
26,Six hostages in Iraq were freed .,Six hostages in Iraq,"The four Jordanian hostages , kidnapped about a week ago , were freed .","The four Jordanian hostages , kidnapped about a week ago ,",1
27,"Two Indian diplomats met the Indian prisoner facing death in Pakistan , Sarabjit Singh , on Tuesday at Kot Lakhpat jail in the eastern Pakistani city of Lahore .",Two Indian diplomats,"Indian diplomats met an Indian prisoner , on death row , on Tuesday .",Indian diplomats,0
28,"The 500 , 000 eligible , Muslim voters are likely to reward Chancellor Gerhard Schroeder ' s Social Democrats ( SPD ) in the September 18 parliamentary election , for its anti - Iraq war position and pro - Muslim policies .","The 500 , 000 eligible , Muslim voters",Gerhard Schroeder belongs to the Social Democrats .,Gerhard Schroeder,0
29,"In clashes between Israeli forces and gunmen , one Palestinian was killed and 10 wounded , hospital officials said .",hospital officials,A Palestinian was killed and other people were wounded .,A Palestinian,0
30,"Harrington , of Fitchburg , Massachusetts , was taken to an area hospital and is listed in critical condition . No other vehicles were struck during the crash . Authorities said others at the scene also assisted , including a turnpike employee and two motorists who carried Harrington out of the truck as police arrived . Fitzgerald said he had never used the defibrillator before Tuesday . "" As a trooper , you see more negative than positive out there , "" Fitzgerald said . "" It feels good when you can help someone and it feels good knowing that all those people had stopped to help before I got there . ""","Harrington , of Fitchburg , Massachusetts ,",Harrington is a resident of Massachusetts .,a resident of Massachusetts,0
31,""" There were 20 survivors , the majority of them are in critical condition "" said Cyprian Gatete , Rwanda ' s assistant commissioner of police , during a telephone conversation with Reuters .",the majority of them,Cyprian Gatete is an employee of Reuters .,Cyprian Gatete,1
32,"The government of South Ossetia has announced that it will evacuate children in danger zones to Russia . This came after a speech made by Eduard Kokoity , President of South Ossetia , which accused the Georgian government of "" attempting to spark a full - scale war . "" Kokoity said that the conflict ' s victim count has reached 1400 . As of 10 : 51 pm August 8 th , 12 Russian peacemakers are reported dead and 150 wounded . A video tape showing Georgian Su - 25 aircraft being downed was aired on Vesti Russian TV channel late night of August 8 th . The pilot of the jet reportedly ejected , but was captured and killed on the ground by Ossetian military .",The government of South Ossetia,South Ossetia chose Eduard Kokoity as President .,South Ossetia,0
33,"Last Saturday I was thrilled to read about a school in Co Antrim which has introduced the study of philosophy for students of four years of age and upwards . According to both teachers and parents , the benefits are felt far beyond the classroom , "" not just in terms of increased confidence , motivation and ability , but in a heightened respect for the differing views of others "" . In 1999 , I walked through the gates of Trinity College to enrol as an undergraduate in the philosophy department . I had just returned home from years living in another city ; I was recently married , unemployed and had been diagnosed with a mental illness I didn ' t quite believe I had . I wasn ' t sure if I could cope .",Last Saturday,Trinity College was founded in 1999 .,Trinity College,1
34,"Rose made his first start since joining the Knicks 10 games ago , replacing Thomas , who has an infected elbow .",his first start,Rose joined the Knicks 10 games ago .,the Knicks,0
35,"Prolonged exposure to UV - B light can cause sunburn , and there are worries that damage to the ozone layer may lead to an increase in the incidence of skin cancer .",Prolonged exposure,UV - B light is damaging the ozone layer .,UV - B light,1
36,"Mr Piech dismissed suggestions that VWs actions in hiring away Mr Lopez and his seven colleagues from GM had caused widespread dismay in German industry , and was at odds with the style of German business .",Mr Piech,Piech got nationalistic in his accusations .,his accusations,1
37,"As with the Babylonian New Year , the Chinese New Year , which occurred on the 1 st of February in 2003 , the day before Groundhog Day , is correlated to the beginning of spring .","the Chinese New Year , which occurred on the 1 st of February in 2003 , the day before Groundhog Day ,",The Chinese New Year ' s Day falls on the 1 st of February in 2003 .,The Chinese New Year ' s Day,0
38,"A . S . Roma suffered their second home defeat of the campaign , with a 3 - 2 loss to 10 - man Siena .",A . S . Roma,Siena was beaten by A . S . Roma .,S . Roma,1
39,"The lawsuit did not initially mention the site ' s operator , Edward Webber ; instead , the suit was filed against a set of people named "" John Doe "" to be identified at a later point . Loki Torrent ' s popularity had increased dramatically in recent days after the prominent BitTorrent site SuprNova . org shut down in a preemptive move to avoid a lawsuit .",The lawsuit,Loki Torrent was sued for manslaughter .,Loki Torrent,1
40,"The renewed attention to the war came as peace activists , camping near the president ' s ranch , awaited a performance Sunday evening by peace movement icon Joan Baez .",The renewed attention to the war,"Folk singer Joan Baez brought her latest anti - war message Sunday to President Bush ' s adopted hometown , supporting Iraq war protesters camping out near his ranch .",Folk singer Joan Baez,1
41,Vodafone ' s share of net new subscribers in Japan has dwindled in recent months .,Vodafone ' s share of net new subscribers in Japan,There have been many new subscribers to Vodafone in Japan in the past few months .,many new subscribers to Vodafone in Japan,1
42,"A 55 - year - old orangutan named Nonja , who was believed to be the oldest living orangutan in the world both in captivity and the wild , has died at the Miami MetroZoo in Miami , Florida . "" Everybody ' s very sad , especially with an animal like an orangutan . You see a lot of yourself in these animals . The great apes are our closest relatives . She was really a grand old dame , "" said zoo spokesman Ron Magill .",zoo spokesman Ron Magill,A 45 - year - old orangutan died in Florida .,A 45 - year - old orangutan,1
43,Trade between China and India is expected to touch $ 20 bn this year and Chinese investors are now rushing into India - lured by the country ' s growing wealth .,Trade between China and India,There is a profitable trade between China and India .,a profitable trade between China and India,0
44,"The average cabby works nine and a half hours a day . A cab ' s busiest hours are 6 to 8 p . m . And even as the economy has fallen deeper into recession , the number of cab rides each day in New York has remained relatively steady . Those are among the most vivid bits of information about the yellow cab industry to emerge from a trove of new data collected by the Taxi and Limousine Commission from cabs equipped with new computerized systems that record each trip and fare .",The average cabby,The busiest hour for a cab is 9 p . m .,The busiest hour for a cab,1
45,There has been a lot of concern over the rise of drug - resistant bacteria .,a lot of concern over the rise of drug - resistant bacteria,Bacteria is winning the war against antibiotics .,the war against antibiotics,1
46,"Miller died Thursday night , of congestive heart failure , at his home in Roxbury , Conn . , surrounded by his family , his assistant , Julia Bolus , said Friday .","his assistant , Julia Bolus ,","Miller died Thursday night , of heart failure , surrounded by family members .",Thursday night,0
47,"In India , carpets are made mostly in Uttar Pradesh , which adopted a "" Child Labour Abolition and Regulation Act "" in 1986 .","Uttar Pradesh , which adopted a "" Child Labour Abolition and Regulation Act "" in 1986",The Child Labour Abolition and Regulation Act was adopted in 1986 .,The Child Labour Abolition and Regulation Act,0
48,"The terror attacks , it was clear , had blasted a hole in the dam holding back Mumbai ' s reservoir of woes . While the protesters seemed to be reacting to a tragedy that had left at least 164 people dead and 308 injured , they were really venting the frustrations of having to cope with life in a city with an infrastructure so stretched that simply getting to work and back is an ordeal . At peak hour , the commuter trains - which carry six million people each day - are packed with up to 5 , 000 commuters , even though they ' re built for 1 , 800 . Every day , an average of 11 people die on the railway system , either because they fall off the trains or because they ' re hit by passing locomotives as they cross the tracks .",The terror attacks,11 people died in the terror attacks in Mumbai .,the terror attacks in Mumbai,1
49,"The Altenburg is located in the Jenaer street which lies just outside of Weimar ' s city centre beyond the Ilm park . It was built in 1810 - 1811 and during the years following 1848 , Princess Carolyne of Sayn Wittgenstein and her husband , Franz Liszt , lived there .",The Altenburg,Franz Liszt lived from 1811 to 1886 .,Franz Liszt,1
50,"Theravada Buddhism is the official religion of Thailand and is the religion of about 95 % of its people . The government permits religious diversity , and other major religions are represented . Spirit worship and animism are widely practiced .",Theravada Buddhism,The official religion of Thailand is Theravada Buddhism .,The official religion of Thailand,0
51,"More than 150 dolphins , marine turtles and beaked whales have been washed up dead on beaches in Africa .","More than 150 dolphins , marine turtles and beaked whales","Dead dolphins , turtles and whales have been found on African beaches .","Dead dolphins , turtles and whales",0
52,"Police were called to the Highgrove House , the home belonging to Prince Charles and his wife Camilla on Tuesday night after police received a call that there was an intruder on the property . "" He was detained within the grounds and did not gain access to any buildings , "" said a spokesperson for the police , Tony Rymer . A spokesperson for the estate refused to comment to the media calling it "" a matter for the police "" and that any comments on the intrusion should be given through them . According to a Gloucester Police spokeswoman , a man from Bristol , England was arrested after wielding a pitchfork around the property . The name of the 55 - year - old has not been released , but police charged him with trespassing . He was later released after posting bail . Camilla and Charles , who were both present and sleeping on the estate at the time , were not injured .","access to any buildings , "" said a spokesperson for the police , Tony Rymer . A spokesperson for the estate refused to comment to the media calling it",Prince Charles owns an estate in Bristol .,Prince Charles,1
53,"On June 29 , 1995 , the Space Shuttle Atlantis made history when it docked with the Russian Mir space station , as shown in this photograph .",the Space Shuttle Atlantis,US shuttle Atlantis docks with the Mir space station .,US shuttle Atlantis,0
54,The airline now flew under the name Sabena - Belgian World Airlines .,The airline,Sabena is an airline .,an airline,0
55,"As the terms denoting this allowance vary , it may sometimes remain unclear whether fathers have any entitlements at all , and if so , to what exactly they are entitled .",the terms denoting this allowance,Maternity leave varies in Europe .,Maternity leave,1
56,The Cosmic Microwave Background ( CMB ) is a uniform fabric of radiation that covers the entire universe at a constant temperature of 2 . 7 kelvins .,The Cosmic Microwave Background ( CMB ),The temperature of the Cosmic Microwave Background is 2 . 7 kelvins .,The temperature of the Cosmic Microwave Background,0
57,"Neverland Valley Ranch , owned by Michael Jackson , is to be sold at auction on March 19 , 2008 , unless Jackson pays over US $ 24 million . Financial Title Company , the trustee of his Santa Barbara County , California , home and amusement park , has foreclosed on the property . They notified Jackson of the foreclosure and sale on Monday . Jackson had only just recently paid an overdue property tax bill of $ 600 , 000 .","Neverland Valley Ranch , owned by Michael Jackson ,",Michael Jackson is the owner of Neverland .,Michael Jackson,0
58,"Nike Inc . said , Monday , that its first - quarter profit grew 32 percent , as the world ' s largest sneaker and athletic apparel company posted broad gains in sales and orders .",Nike Inc .,"Nike said orders for footwear and apparel for delivery totaled $ 4 . 9 billion , including a 12 percent increase in U . S . orders .",orders for footwear and apparel for delivery,1
59,"In fact , Woolsey had had no first - hand experience with the world of spies until President Bill Clinton appointed him Director of Central Intelligence .",no first - hand experience with the world of spies,James Woolsey is the director of the CIA .,James Woolsey,0
60,"SHIMOGA : The health condition of Shivu , the oldest elephant at the Sakrebylu Elephant Camp , about 15 km from here , has become a matter of concern to its maintenance staff . The elephant , which is said to be suffering from acute pain in the stomach , is refusing to take any hard food since the last one week . It has been kept on supportive medicinal system . According to sources in the wildlife section of the Department of Forests , the 85 - year - old elephant is suffering from age - related weakness . Its health condition has made officials of the department and mahouts anxious .","The health condition of Shivu , the oldest elephant at the Sakrebylu Elephant Camp , about 15 km from here ,",An elephant can reach the age of 85 .,An elephant,0
61,"Guanshengyuan , a Chinese company that makes children ' s candy , has stopped selling its popular brand White Rabbit , which is sold nationally in China , after tests confirmed the presence of melamine . Bright foods owns the candy company . Earlier their powdered milk was found to contain melamine which sickened over 53 , 000 people and was responsible for the deaths of at least four infant children . Guanshengyuan has stopped exporting their goods to the nearly 50 companies overseas that buy them . Melamine has also been found in Hong Kong in baby cereal and vegetable formula made by Heinz . It has also been found in wasabi crackers which are manufactured by the Chinese company , Silang House . Another Chinese food company called Marudai Food Co . has also halted the sales of several items such as meat buns , cream buns and corn crepes made with cream over fears that melamine laced powered milk has contaminated their products . So far there have been no reports of any illnesses associated with Marudai Foods .","Guanshengyuan , a Chinese company that makes children ' s candy ,",4 children died in Hong Kong because of melamine contained in milk .,Hong Kong,1
62,"ISLAMABAD , Pakistan ( CNN ) - - Taliban militants made their deepest incursion into Pakistan this week , seizing control of areas that are a short drive from the capital city . A Pakistani government official said the militants fully withdrew from the Buner district on Friday , although other officials cast doubt on the extent of the pullout and how long it would last . Buner is only 60 miles outside Islamabad . The situation is particularly concerning because Pakistan is a nuclear - armed state . The Islamic republic is believed to have between 30 and 40 nuclear warheads , according to the U . N . nuclear watchdog , the International Atomic Energy Agency ( IAEA ) .",Pakistan ( CNN ),Pakistan ' s nuclear arsenal creates concerns .,Pakistan ' s nuclear arsenal,0
63,"A teenager slashed a woman to death as he attempted to steal $ 6 off her - to buy beer . The 16 - year - old boy , Alan Tanguay , now faces a first degree murder charge over the death of 58 - year - old Patricia Kaliszeski from Palm Bay , Florida . Tanguay told investigators he was approached by Kaliszeski with a knife as he was burgling the house . He took it from her and used it to attack her , before hitting her over the head with a lamp .",A teenager,Alan Tanguay killed a woman to steal $ 6 .,Alan Tanguay,0
64,"It also raised questions about the quality of financial regulation in Singapore , where derivatives losses run up by former trader Nick Leeson led to the 1995 collapse of Barings Plc .","questions about the quality of financial regulation in Singapore , where derivatives losses run up by former trader Nick Leeson led to the 1995 collapse of Barings Plc",Nick Leeson was arrested for collapse of Barings Bank PLC .,Nick Leeson,1
65,The south Indian flute had only seven finger holes till the 1970 s when the legendary T . R . Mahalingam introduced the eight holed variety .,The south Indian flute,T . R . Mahalingham made the first seven holed flute .,T . R . Mahalingham,1
66,"PORT - AU - PRINCE , Haiti — Paul Collier , a leading poverty guru , spent a recent morning here waxing positive about how the world ' s economic freefall might prove the perfect moment for Haiti to sell more exports like T - shirts and mangoes to Americans . His improbable enthusiasm coincided with appearances by a bevy of luminaries descending on Haiti this month , including Ban Ki - moon , the United Nations secretary general , and the entire Security Council . All of them came to stress that this destitute nation stands at a crossroads between salvation and "" the darkness , "" as Mr . Ban put it .","PRINCE , Haiti",The United Nations Secretary General Ban Ki - moon comes from Haiti .,The United Nations Secretary General Ban Ki - moon,1
67,"Easter is over but that doesn ' t mean you can ' t enjoy "" Ben - Hur , "" the granddaddy of biblical epics and winner of a record 11 Oscars , including best picture and best actor ( Charlton Heston in the title role ) .",""" Ben - Hur , "" the granddaddy of biblical epics and winner of a record 11 Oscars , including best picture and best actor ( Charlton Heston in the title role )","Charlton Heston played the title role in the movie "" Ben - Hur "" .",Charlton Heston,0
68,"Actor Christopher Reeve , best known for his role as Superman , is paralyzed and can not breathe without the help of a respirator after breaking his neck in a riding accident in Culpeper , Va . , on Saturday .","Actor Christopher Reeve , best known for his role as Superman ,",Christopher Reeve had an accident .,Christopher Reeve,0
69,"A zoo spokesman said the endangered lizards , believed to number less than 4 , 000 in the wild , all hatched in the last two weeks and 14 eggs are still under observation . He calls it the Komodo ' s most successful breeding year ever at the zoo . The giant reptiles first arrived in the early 1980 s , but the new births brought their total from 34 to 66 . The Komodo dragon can grow up to 10 feet long and weigh as much as 150 pounds . They have a bite that can be deadly and can only be found in the wild on the eastern Indonesian islands of Komodo , Padar and Rinca .",A zoo spokesman,A Komodo dragon can be 10 feet long .,A Komodo dragon,0
70,The trip was about doing what he hasn ' t done for what many troops feel has been too long - visiting the thousands of servicemen and women fighting a war in southern Afghanistan .,The trip,Servicemen and women are fighting a war in southern Afghanistan .,Servicemen and women,0
71,Elizabeth Dowdeswell is the Under Secretary General at the United Nations Offices at Nairobi and Executive Director of the United Nations Environment Programme .,Elizabeth Dowdeswell,Elizabeth Dowdeswell is Executive Director of the United Nations Environment Programme .,Elizabeth Dowdeswell,0
72,"The measures currently in force include a travel ban on senior government figures , but France has invited Mr . Mugabe to a Franco - African summit in Paris next month , angering several countries .",The measures currently in force,"France angered a number of countries , by inviting Mr . Mugabe to attend a Franco - African summit in Paris .",a number of countries,0
73,The extension of the effective period of marketing exclusivity for drugs is designed to give pharmaceutical companies a fair return .,The extension of the effective period of marketing exclusivity for drugs,Prospective drugs must have long market life after regulatory approval in order to be developed .,Prospective drugs,1
74,The stupendous power of the Tevatron made possible the 1995 discovery of the top quark - the last of six flavors of quarks predicted by the standard model theory of particle physics .,The stupendous power of the Tevatron,The top quark is the last of six flavors of quarks predicted by the standard model theory of particle physics .,The top quark,0
75,"Iran will hold the first runoff presidential election in its history , between President Akbar Hashemi Rafsanjani and Tehran ' s hard - line mayor , election officials said Saturday .",election officials,Tehran ' s hard - line mayor will face Rafsanjani in a runoff election .,Tehran ' s hard - line mayor,0
76,"Injections of human stem cells seem to directly repair some of the damage caused by spinal cord injury , according to research that helped partially paralyzed mice walk again .",Injections of human stem cells,"Anderson and colleagues used fetal neural stem cells , a type that are slightly more developed than embryonic stem cells because they ' re destined to make cells for the central nervous system .",Anderson and colleagues,1
77,The Croatian intent is even more problematic because the border between Slovenian and Croatian territorial waters has not yet been established . The dispute about this border began in 1991 when both countries became independent .,The Croatian intent,There is a territorial waters dispute .,a territorial waters dispute,0
78,"Hoping to loosen Microsoft ' s ironclad grip on the personal computer desktop , a tiny Seattle company will unveil an onscreen menu bar Monday that bypasses Windows with direct links to programs and the Internet .",a tiny Seattle company,Microsoft Windows is an operating system .,Microsoft Windows,1
79,"Eric Harris and Dylan Klebold , seniors at the suburban Denver school , detonated homemade bombs and opened fire with shotguns , a rifle and a semiautomatic handgun on April 20 , 1999 . They killed a teacher and 12 students and wounded 23 others before committing suicide . The massacre shocked the country like no other . It was the worst school assault in American history at that time , and it came in the wake of a half - dozen others . It played out on live television , watched by millions . And it represented the violent destruction of a cherished American idea : that schools in the suburbs and the countryside were havens of peace and safety .","Eric Harris and Dylan Klebold , seniors at the suburban Denver school ,",13 persons were killed by two students in 1999 .,two students,0
80,A senior al - Qaeda operative who was said to be planning an attack on Heathrow Airport has been arrested .,A senior al - Qaeda operative who was said to be planning an attack on Heathrow Airport,"Despite rumors , the British Home Office denied any specific threat had been made to target Heathrow airport .",the British Home Office,1
81,"Although Philip Morris was selling its cigarettes at lower prices in the US , the increased volumes helped lift operating income in the domestic tobacco division by 25 . 1 per cent to Dollars 858 m .",the increased volumes,PM cut US prices to restore Marlboro ' s US standing .,US prices,1
82,"Sara Jane Moore , 77 , who tried to assassinate Former United States President Gerald Ford in 1975 was paroled from prison in California this afternoon . Moore tried to assassinate Ford outside of the St . Francis Hotel in downtown San Francisco on January 15 , by firing one shot , which missed because a bystander grabbed Moore ' s arms just seconds before she fired the gun . The bullet missed hitting Ford in the head by inches .","Sara Jane Moore , 77 , who tried to assassinate Former United States President Gerald Ford in 1975",Sara Jane Moore is no longer in prison .,Sara Jane Moore,0
83,"White supported Gough Whitlam ' s Labor government of 1972 to 1975 , and after Whitlam was ousted in the 1975 constitutional crisis , became particularly anti - royalist .",Gough Whitlam ' s Labor government of 1972,White assisted the Labor government from 1972 to 1975 .,the Labor government,0
84,"Bosnia ' s leading Muslim daily Dnevni Avaz writes excitedly about "" a sensational discovery "" of "" the first European pyramid "" in the central town of Visoko , just north of Sarajevo .",Bosnia ' s leading Muslim daily Dnevni Avaz,Europe ' s first pyramid has been discovered near Sarajevo .,Europe ' s first pyramid,0
85,"Microsoft Corp . is establishing , in Shanghai , China , a center for research and development . The center will work on the company ' s MSN service . It will be Microsoft ' s first research and development center of this kind outside the U . S . Microsoft decided to take this step because of several setbacks that occurred in its online services working in China . One of the company ' s setbacks concerns the resignation of Luo Chuan , who was Microsoft ' s top executive responsible for the Chinese Windows Live unit . The company ' s new research and development center is to be established in Shanghai ' s Zizhu Science Park . At this location , where another giant , Intel Corp , already has its research office , Microsoft plans to develop Internet software .",Microsoft Corp .,Microsoft opens a research center in China .,a research center,0
86,Reagan was seriously wounded by a bullet fired by John Hinckley Jr .,a bullet fired by John Hinckley Jr,John W . Hinckley Jr . shot Reagan in the chest .,John W . Hinckley Jr .,1
87,"Among the 21 candidates left over after the previous election round ended on January 1 , 2006 , the Acropolis and the Maya archeological site of Chichen Itza were doing well in earlier rankings . A spokeswoman for the Foundation said earlier this month that the result is wide open . The election ceremony will be held in Lisbon , Portugal . Hollywood actress Hilary Swank , British actor Sir Ben Kingsley and Bollywood actress Bipasha Basu have been announced as hosts , astronaut Neil Armstrong will be present , and performers will include Jennifer Lopez and Chaka Khan .","the 21 candidates left over after the previous election round ended on January 1 , 2006",Jennifer Lopez will not perform in Portugal .,Jennifer Lopez,1
88,"BAGHDAD , Iraq ( CNN ) - Australian Prime Minister , John Howard , has made an unannounced visit to Iraq , according to the office of Iraqi transitional Prime Minister Ibrahim al - Jaafari .","BAGHDAD , Iraq ( CNN ) - Australian Prime Minister , John Howard ,",Howard is a political representative of Australia .,a political representative of Australia,0
89,"NASA ' s two Great Observatories , the Hubble Space Telescope and the Chandra X - ray Observatory , have independently provided what could be the best direct evidence yet for the existence of an event horizon , the defining feature of a black hole .","NASA ' s two Great Observatories , the Hubble Space Telescope and the Chandra X - ray Observatory ,",Hubble discovers black holes .,black holes,0
90,"Hubble is helping astronomers precisely calculate the age of the universe by providing accurate distances to galaxies , an important prerequisite for calculating age . Hubble measures the distances to neighboring galaxies by finding accurate "" milepost markers , "" a special class of pulsating star called Cepheid variables . These , in turn , are being used to calibrate more remote milepost markers .",the distances to neighboring galaxies,Hubble discovers black holes .,black holes,1
91,"Queen Victoria died in 1901 , at Osborne House on the Isle of Wight .",Queen Victoria,Queen Victoria was born in 1901,Queen Victoria,1
92,"In 1979 , the leaders signed the Egypt - Israel peace treaty on the White House lawn . Both President Begin and Sadat received the Nobel Peace Prize for their work . The two nations have enjoyed peaceful relations to this day .",the leaders,The Israel - Egypt Peace Agreement was signed in 1979 .,The Israel - Egypt Peace Agreement,0
93,Suncreams designed for children could offer less protection than they claim on the bottle .,Suncreams designed for children,Suncreams designed for children protect at the level they advertise .,Suncreams designed for children,1
94,It could mean to leave in the street to thousands of workers .,the street,It could lead to thousands of job losses .,thousands of job losses,1
95,The Supreme Court said today states may bar the removal of life - sustaining treatment from comatose patients who have not made or can not make their desires known .,The Supreme Court,There is a Supreme Court decision about the removal of life - support .,a Supreme Court decision about the removal of life - support,0
