,sentence,source_np0,label
40,The birds give the worm a tug .,The birds,1
41,Waldo didn ' t report the possibility that anyone had left .,the possibility that anyone had left,0
42,The offer made Smith admire the administrators .,The offer,1
43,Where did John put the books ?,the books,1
44,Gilgamesh is not reading the cuneiform tablets .,the cuneiform tablets,1
45,Calvin did not do a back flip .,a back flip,1
46,"As it rains harder , how much faster a flow that appears in the river ?",a flow that appears in the river,0
47,That the Dalai Lama claims Tibet independence disturbs the Chinese government .,the Dalai Lama,1
48,"While Holly didn ' t discuss a report about every boy , she did every girl .",every girl,0
49,He was hoping for more than we offered .,more than we offered,1
50,They skated along the canals .,the canals,1
51,Tony bent at the rod .,the rod,0
52,Tony broke the window with a hammer .,the window,1
53,"Most columnists claim that a senior White House official has been briefing them , but none will reveal which one .",Most columnists,1
54,"Most columnists claim that a senior White House official has been briefing them , and the newspaper today reveals which one .",Most columnists,1
55,The son took care of his parents .,The son,1
56,Anna ' s tickling him drove Frank crazy .,Anna ' s tickling him,1
57,The book to whom did you give .,The book,0
58,The fence hit .,The fence,0
59,The cat was having eaten .,The cat,0
60,Susan whispered Rachel the news .,the news,0
61,"Bill bought a red house , and Max bought one too .",a red house,1
62,The doctor arrived a new actor .,The doctor,0
63,He ' ll bring me one if he sees a hot dog .,a hot dog,0
64,Students who fail the final exam will be executed or students who do not do the reading will be executed .,Students who fail the final exam,1
65,"If Mary listens to the Grateful Dead , she gets depressed .",the Grateful Dead,1
66,Jennifer craned his neck .,his neck,0
67,That pea soup tasted delicious to me .,That pea soup,1
68,"Two ships appeared , arrived , remained , emerged .",Two ships,1
69,Not until I was perhaps twenty - five was when I read them and enjoyed them .,twenty - five,0
70,Catherine did her homework .,her homework,1
71,Some student from Australia speaks Chinese .,Some student from Australia,1
72,He put in the washing machine .,the washing machine,1
73,We have someone in the living room .,someone in the living room,1
74,I lifted onto the table .,the table,0
75,Nora brought Pamela the book .,the book,1
76,"He announced he had eaten the asparagus , but we didn ' t know what .",the asparagus,0
77,Some sentences can go on and on and on .,Some sentences,1
78,John put his gold under the bathtub .,his gold,1
79,The teacher hated the pupils angry .,The teacher,0
80,Paul has interviewed every student who was at the scene of the crime and Kate has interviewed them too .,every student who was at the scene of the crime,1
81,I said that never in my life had I seen a place like Bangor .,my life,1
82,Carrie touched that cat .,that cat,1
83,He ' s a so reliable man .,a so reliable man,0
84,The tube was escaped by gas .,The tube,0
85,They believe that Charles Darwin ' s theory of evolution is just a scientific theory .,Charles Darwin ' s theory of evolution,1
86,"That dog is so ferocious , it even tried to bite itself .",That dog,1
87,There aren ' t many linguistics students here .,t many linguistics students,1
88,The fence hit with a stick .,The fence,0
89,Lee solved the puzzle how Kim solved it .,the puzzle,0
90,Lora buttered at the toast .,the toast,0
91,Which pictures of himself did Chris like ?,Which pictures,1
92,Ida hunted for deer in the woods .,the woods,1
93,The soundly and furry cat slept .,The soundly and furry cat,0
94,The worker will have a job .,The worker,1
95,The piano was bought for Jane by Frank .,The piano,1
96,The men were struck by the idea as nonsense .,The men,0
97,Cotton clothes dry easily .,Cotton clothes,1
98,We forgot our invitations .,our invitations,1
99,"Because never had Sir Thomas been so offended , even Mr Yates left .",even Mr Yates,0
100,Any woman who heard the news contributed to the fund .,Any woman who heard the news,1
101,Heather cabled the news .,the news,1
102,Carla slid the book .,the book,1
103,The tub leaked empty of water .,The tub,1
104,We ate enough the puddings to satisfy us .,enough the puddings,0
105,"The more lobbyists wine and dine him , the more every senator is susceptible to corruption .",every senator,1
106,"That they spoke to the janitor about that robbery yesterday is terrible , the cops .",the cops,0
107,"Will put , this girl in the red coat will put a picture of Bill on your desk before tomorrow .",this girl in the red coat,0
108,The glass cut Rachel ' s toe .,The glass,1
109,"We are open Saturdays , any national holiday , and on alternate .",open Saturdays,1
110,John wants to come up with as good a solution as Christine did .,as good a solution as Christine did,1
111,The foxes seem compatible with the chickens .,The foxes,1
112,The boy ' s we elected guardian ' s employer president .,The boy ' s we,0
113,The fish boned .,The fish,0
114,Janet broke Bill on the finger .,the finger,0
115,In the hallway ticked a grandfather clock .,the hallway,1
116,The squirrel ran straight .,The squirrel,1
117,"I threw the ball to Julian , but it fell short of him .",the ball,1
118,The students demonstrated this morning,The students,1
119,Doug cleared at the table of dishes .,the table of dishes,0
120,Which did you buy the table on Kim put the book ?,the table,0
121,Brian was wiping the counter .,the counter,1
122,Amanda burned the stove black .,the stove,1
123,Jason persuaded Medea to desert her family,her family,1
124,I do not think it unreasonable to ask for the return of my subscription .,the return of my subscription,1
125,Peter is owners of pigs .,owners of pigs,0
126,The contract is subject for approval by my committee .,The contract,0
127,"John , who I saw yesterday , will visit us .","John , who I saw yesterday ,",1
128,Bill is drying a lot of clothes on the line .,a lot of clothes,1
129,With which club did you hit the winning putt ?,which club,1
130,Cynthia gobbled on the pizza .,the pizza,0
131,I sent the package all the way around the world .,the package,1
132,He ' s an as reliable man .,an as reliable man,0
133,I broke the twig off of the branch .,the twig,1
134,In this cave was found an ancient treasure trove .,this cave,1
135,It was kissed the puppy .,the puppy,0
136,You are too flip with people who are jealous of you .,people who are jealous of you,1
137,That picture of Jenny in a rubber dress doesn ' t flatter her .,That picture of Jenny in a rubber dress,1
138,That the sun is out was obvious .,the sun,0
139,I shaped the dough .,the dough,1
140,The man whose car I hit last week sued me .,The man whose car I hit last week,1
141,Susan doesn ' t eat enough her vegetables .,her vegetables,0
142,Linda taped the label and the cover together .,the label and the cover,1
143,There was he in the garden .,the garden,0
144,The fear shivered Sharon .,The fear,0
145,"Fluffy is sick , which that no one here realizes is certain .",no one here,0
146,The course is jumping well .,The course,1
147,The eggs and the cream mixed .,The eggs and the cream,1
148,Exactly half of the students attended some seminar .,Exactly half of the students,1
149,We took the car to the town,the car,1
150,Selina touched the horse on the back .,the horse,1
151,The sheep cry,The sheep,1
152,Mary talked to any angry student .,any angry student,0
153,The dog smelled the flower bed bare .,The dog,0
154,Mickey slips up all the time .,all the time,1
155,The men were able to mine more gold .,The men,1
156,The bread cuts easily .,The bread,1
157,Can Fiona eat sauteed candy canes ?,sauteed candy canes,1
158,I saw this film several times last year during the summer .,this film,1
159,Martha said John sang the aria from La Bohème .,the aria,1
160,The elixir was hidden in a hole in the ground,The elixir,1
161,Hasn ' t the potion worked ?,the potion,1
162,Mary will complete her exam for an hour .,her exam,0
163,"In this experiment , fourteen variables must be kept track of simultaneously .",fourteen variables,1
164,The irritating and a bully man was my brother .,The irritating and a bully man,0
165,I ' ve never seen the taller man than my father .,the taller man than my father,0
166,Martha carved a toy for the baby .,the baby,1
167,Kiss pigs is my happiest memory,my happiest memory,0
168,Aunt Hattie wants you to be nice and kiss your granny .,Aunt Hattie,1
169,Under the bed wants to be a fun place to hide .,the bed,0
170,Bill is always complaining about the guys who work near him .,the guys who work near him,1
171,Which student ' s grades went unreported ?,Which student ' s grades,1
172,"His expectations are lower , the higher the stakes are .",His expectations,1
173,Euclid was interested in Plato ' s description of geometry .,Plato ' s description of geometry,1
174,John tried to be a good boy .,a good boy,1
175,The door has seven holes in it and the window .,The door,0
176,That the golden thread would show Jason his path through the labyrinth was,the golden thread,1
177,Some of the record contains evidence of wrongdoing .,Some of the record,1
178,The doctor cured Pat of pneumonia .,The doctor,1
179,Any owl can hunt mice .,Any owl,1
180,I think Rosie loves magazine ads .,magazine ads,1
181,The analysis of the problem was flawed,The analysis of the problem,1
182,I just know that the Big 12 South teams everyone knew would win actually won the game .,the Big 12 South teams everyone knew would win,1
183,The army ' s destruction of the palace was a tragedy .,The army ' s destruction of the palace,1
184,Jessica sprayed paint on the wall .,the wall,1
185,No reading of Shakespeare satisfied me,No reading of Shakespeare,1
186,Have you ever visited Doubtful Sound ?,Doubtful Sound,1
187,What this arch does is support the weight of the tower .,this arch,1
188,Mary scratched her arm too .,her arm,1
189,"If he were a rich man , he ' d buy a diamond ring .",a diamond ring,1
190,Sally is such a fool as people think .,such a fool as people think,0
191,"Because Dr Jones ate too much rich food didn ' t he , he died of apoplexy .",Dr Jones,0
192,"No books survived the fire , did they ?",No books,1
193,This noise can not be put up with .,This noise,1
194,These cars drive easily .,These cars,1
195,There is any book you could imagine in this library .,any book you could imagine in this library,1
196,Julie maintained her own ideas over the course of the argument .,her own ideas,1
197,Mr Knightley suggested that thieves would break into Hartfield .,Mr Knightley,1
198,John talked to any woman .,any woman,0
199,That photograph of Jane of Lucy ' s,That photograph,1
200,Jessica loaded boxes on the wagon .,the wagon,1
201,Heidi believes Bill ' s description of herself .,Bill ' s description of herself,0
202,Who did he believe that he would one day meet ?,one day,1
203,Books were taken from no student and given to Mary .,no student,1
204,Bill bled on the floor .,the floor,1
205,I have much of the manuscript left to type .,much of the manuscript,1
206,The consul ' s gift of the gladiator to himself .,The consul ' s gift of the gladiator,1
207,Have the kids arrived safely ?,the kids,1
208,Which book he read the book was that one .,that one,0
209,I shipped the package all the way around the world .,the package,1
210,Chocolate eggs were hidden from each other by the children .,Chocolate eggs,0
211,I ' m going to ask Bill to make the old geezer take up these points later .,the old geezer,1
212,A statue of Jefferson stood on the comer of the two boulevards .,A statue of Jefferson,1
213,The spaceship revolves the earth .,The spaceship,0
214,I saw all the students .,all the students,1
215,John placed on the table .,the table,0
216,I heated up the coffee and Sally wiped the table off .,the coffee,1
217,Accountant was sitting at her desk .,her desk,0
218,Paula hit the fence with the stick .,the fence,1
219,It is easy to play sonatas on this violin .,this violin,1
220,In the box put John the book .,the box,0
221,We sleep five people in each room .,five people,1
222,The monkeys kept forgot their lines .,The monkeys,0
223,Her family is all avid skiers .,Her family,1
224,There ' s anything Mary had asked for in this store .,anything Mary had asked for in this store,0
225,Nathan caused Benjamin to see himself in the mirror .,the mirror,1
226,It would be possible for the president not to approve the bill .,the president,1
227,The stodgy professor left with his teaching assistant .,The stodgy professor,1
228,The accident happened .,The accident,1
229,Owners of pigs love truffles,Owners of pigs,1
230,Amanda drove the package to New York .,the package,1
231,Eloise wants you to study a new language . assume to = T .,a new language,1
232,"The candidate was dogged by charges of infidelity and avoiding the draft , or at least trying to .",The candidate,1
233,We need another run to win .,another run to win,1
234,The horse was ridden .,The horse,1
235,The farm finally got to John after much litigation .,The farm,1
236,All of the plant virus web sites have been conveniently collected in one central location .,All of the plant virus web sites,1
237,Which experts testified against defendants who exposed them ?,defendants who exposed them,1
238,This scratch will cost Kim $ 500 to fix .,This scratch,1
239,Water bubbled up out of the kettle .,the kettle,1
240,Which quonset hut does the boy work in a skyscraper and the girl in ?,the girl,0
241,More caviar than mush is eaten by Jack .,More caviar than mush,1
242,How did you solve the problem ?,the problem,1
243,Kim to beat his dog and alienated cats .,his dog and alienated cats,0
244,No one could remove the blood on the wall,No one,1
245,Oliver fined ten pounds to the prisoner .,ten pounds,0
246,The boy who I watched Bill and was vain .,The boy,0
247,I loaned a man who was watching the race my binoculars .,a man who was watching the race my binoculars,1
248,Herman mixed the eggs with the cream .,the eggs,1
249,Alison poked the needle through the denim .,the needle,1
250,He worked his way through the book .,his way,1
251,the person I met is from Boston .,the person I met,1
252,John arranged for himself to get the prize .,the prize,1
253,Alex read the newspaper in an hour .,the newspaper,1
254,Jewels sparkled on the crown .,the crown,1
255,"This your , this girl in the red coat will put a picture of Bill on your desk before tomorrow .","This your , this girl in the red coat",0
256,He let the cats which were whining out .,the cats which were whining out,1
257,Humans love to eat some disgruntled old pigs in those ditches .,some disgruntled old pigs,1
258,The amoeba coughed and then it fainted .,The amoeba,1
259,The school board leader asked a question of the students .,The school board leader,1
260,I ate the sugar .,the sugar,1
261,Carla slid Dale the book .,the book,1
262,"If Fiona is here by 5 o ' clock , we can go to the party .",the party,1
263,Here is the snowball which I chased the boy who threw at our teacher .,the snowball which I chased the boy who threw at our teacher,0
264,He will eat deep fried muffins .,deep fried muffins,1
265,We ' re dancing the night away .,the night,1
266,"The Ferrari which Pietro , who Sofia adores , bought from me cost him a bundle .","The Ferrari which Pietro , who Sofia adores , bought from me",1
267,Bill left when I believe the claim that the bomb had just exploded .,the claim that the bomb had just exploded,0
268,His girlfriend bought this computer .,His girlfriend,1
269,"Tom washed the car , and Dick waxed the car .",the car,1
270,John eats so much .,so much,1
271,There ran a little boy in the yard .,a little boy,0
272,The train reached the station .,The train,1
273,That I should kiss pigs is my fondest dream,my fondest dream,1
274,The boy ' s loud playing of the piano drove everyone crazy .,The boy ' s loud playing of the piano,1
275,On that meeting I ' d like to sit in .,that meeting,0
276,The bus hopes to be here at five .,The bus,0
277,The monkeys proud of their leader .,The monkeys,0
278,The cat put her catnip toy on the plastic mat .,The cat,1
279,John put in the box .,the box,0
280,Bill was bitten the dog .,the dog,0
281,Which pictures of himself did Chris see in the gallery ?,Which pictures,1
282,Are you studying English syntax ?,English syntax,1
283,Tony broke the wall with the cup .,the wall,0
284,A fire raged over the fields .,A fire,1
285,The excellent whisky which I went to the store and have bought was very costly .,The excellent whisky which I went to the store and have bought,0
286,Today was visited by my uncle .,my uncle,0
287,The effectiveness of teaching and learning depends on several factors .,The effectiveness of teaching and learning,1
288,The time bomb had a snake behind the car which it was sitting in .,The time bomb,0
289,I separated the cream from the milk .,the cream,1
290,Sharon shivered at the thought of the cold sea .,the thought of the cold sea,1
291,Jason asked whether the potion was ready,the potion,1
292,Sharon fainted at the sight of the accident .,the sight of the accident,1
293,The crane loaded the truck .,The crane,1
294,We all thought him was unhappy,We all,0
295,The red dress with the pink stripes looks good on Sandy .,The red dress with the pink stripes,1
296,The concert started when the bell rang .,The concert,1
297,"If so , I ' ve lost $ 500 .",$ 500,1
298,"Clinton is anxious to find out which budget dilemmas Panetta would be willing to tackle in a certain way , but he won ' t say in which .",a certain way,1
299,I blew up the building .,the building,1
300,The hot sun was played under by the children .,The hot sun,0
301,"The newspaper has reported that they are about to appoint someone , but I can ' t remember who the newspaper has reported that they are about to appoint .",The newspaper,1
302,Carmen obtained a spare part from Diana .,a spare part,1
303,the attempt by John to leave surprised me .,the attempt,1
304,"I ' ll talk to John on Friday about the report that the shooting of the prisoners shocked me , and to his wife on Saturday .","the report that the shooting of the prisoners shocked me , and to his wife on Saturday",1
305,Erika made her mother an omelet and the kitchen a mess .,her mother,1
306,Calvin has not any catnip .,any catnip,0
307,Tony has a Fiat and yearns for a tall nurse .,a tall nurse,1
308,Max gave the car Levi ' s shove .,the car,0
309,The defendants denies the allegation .,The defendants,0
310,Leslie was in the flood zone .,the flood zone,1
311,She has enough a problem as it is .,enough a problem,0
312,What the water did to the whole bottle was fill it .,the water,0
313,To be able to buy myself a ticket to France would be a dream .,a ticket to France,1
314,The chair pushed .,The chair,0
315,The book costs $ 10 .,The book,1
316,Fruit hit the roof from the tree .,the roof,1
317,John is ready for you to inspect his bunk .,his bunk,1
318,We have not confirmed whether the flight had been booked .,the flight,1
319,This rock is too heavy for me to begin to decide about helping Bob to try to pick up .,This rock,0
320,"It ' s fine that he paid and apologized , but I don ' t really care about his gratitude , or the money , or anything .","his gratitude , or the money , or anything",1
321,Student studies English for 4 hours a day .,4 hours a day,0
322,I shipped the package halfway around the world .,the package,1
323,The trainer fed the steaks all to the lions .,The trainer,1
324,Mary beautifully plays the violin .,the violin,0
325,I wonder in whom to place my trust .,my trust,1
326,Wilma completed the assignment .,the assignment,1
327,The maple changed into an oak from a cedar .,The maple,0
328,I cut the soft bread .,the soft bread,1
329,"We launched the rocket to the moon , but it blew up before it got there .",the rocket,1
330,Brandon read every book that Megan did .,every book that Megan did,1
331,A review of this article came out yesterday .,A review of this article,1
332,There seemed to be a fountain in the park .,the park,1
333,In which box did John put the book ?,the book,1
334,The dogs barked .,The dogs,1
335,The raise which Scrooge generously gave Tom ' s father increased his yearly salary by five cents .,The raise which Scrooge generously gave Tom ' s father,1
336,"Sandy was trying to work out which students would be able to solve a certain problem , but she wouldn ' t tell us which one .",which one,1
337,Julie and Jenny arrived first,Julie and Jenny,1
338,The old pigs love truffles,The old pigs,1
339,A fragrant stew bubbled over the fire .,A fragrant stew,1
340,Ellen and Helen conferred .,Ellen and Helen,1
341,The power of your mind and the power of your body have a tight connection .,The power of your mind and the power of your body,1
342,That ' s a kindest answer that I ever heard .,a kindest answer that I ever heard,0
343,That the king or queen be present is a requirement on all Royal weddings .,a requirement on all Royal weddings,1
344,Oil spread over the sea shore .,the sea shore,1
345,We believed John to try to leave the country .,the country,1
346,"The dumplings which Sasha is gobbling down faster than I can reheat the meatballs are extremely tasty , if I do say so .",The dumplings which Sasha is gobbling down faster than I can reheat the meatballs,1
347,"He who is without sin among you , let him cast the first stone .",He who is without sin among you,1
348,Felicia kicked the ball out the window .,the ball,1
349,We painted the chairs all red .,the chairs,1
350,The ball lies completely in the box .,The ball,1
351,He likes cookies and he hates crumb cake .,crumb cake,1
352,John has been chosen for the position .,the position,1
353,I sensed his eagerness .,his eagerness,1
354,The horse kicked Penny ' s shin .,The horse,1
355,John is the kind of the fool that I told you about .,the kind of the fool that I told you about,1
356,Would for him to have played the piano have surprised you ?,the piano,0
357,This parcel is very heavy .,This parcel,1
358,The official to whom Smith loaned the money has been indicted .,The official to whom Smith loaned the money,1
359,It is to the best students that he gives this book .,the best students that he gives this book,1
360,John has something for Bill to do .,something for Bill to do,1
361,His friend kicked a ball .,His friend,1
362,He mended the shoe .,the shoe,1
363,The car will have been being driven .,The car,1
364,The torpedo sank the boat .,The torpedo,1
365,Where did you throw the ball ? To third base .,the ball,1
366,There exists a solution to this problem .,a solution to this problem,1
367,Her cousin clerked for Judge Davis .,Her cousin,1
368,"The TA ' s have been arguing about whether some student or other should pass , but I can ' t now remember which one .",The TA ' s,1
369,I weighed the package ten pounds .,the package ten pounds,0
370,"The contestant , who is the judge ' s brother - in - law , who won the first prize sang dreadfully .","The contestant , who is the judge ' s brother - in - law , who won the first prize",0
371,The dog that the rat bit chased the cat .,The dog that the rat bit,1
372,Every poodle gives live birth .,Every poodle,1
373,It was several young students that the policeman met in the park last night .,several young students,1
374,The thief chased down the street .,The thief,0
375,The horse that was raced past the barn fell .,The horse that was raced past the barn,1
376,I gave Pete the book to impress .,the book to impress,0
377,It was John on whom the sheriff placed the blame .,John on whom the sheriff placed the blame,1
378,Fond of some boy every girl is .,every girl,1
379,A hundred men surrounded the fort .,A hundred men,1
380,The chicken has eaten .,The chicken,1
381,"They ' re going to serve the guests something , but it ' s unclear what .",the guests,1
382,"Tom ordered bacon , and Dick lettuce , and I think that Harry tomatoes .",Dick lettuce,0
383,My eyes are itching me .,My eyes,1
384,The stick hit the fence .,The stick,1
385,I disliked the boy ' s playing the piano loudly .,the boy ' s,1
386,The pudding which the man who ordered ice cream said would be tasty was a horror show .,The pudding which the man who ordered ice cream said would be tasty,1
387,A grandfather clock ticked in the hallway .,A grandfather clock,1
388,Cynthia devoured at the pizza .,the pizza,0
389,"The ball , a man kicked .",The ball,1
390,I have much typing to do .,much typing to do,1
391,John met a student in the park .,the park,1
392,The spunky girl has a black eye .,The spunky girl,1
393,The toast buttered with unsalted butter .,The toast,0
394,How was the plot discovered by the authorities ?,the plot,1
395,The luscious chick who Billy and went to the movies will we d me ere the morn .,The luscious chick who Billy and went to the movies,0
396,To which city and which conference did Bill go to ?,which city,0
397,We admired the pictures of us in the album .,the pictures of us in the album,1
398,The silversmith pounded the metal flat .,The silversmith,1
399,They investigated the problem .,the problem,1
400,A pilot could be flying this plane .,A pilot,1
401,"Despite of his limited educational opportunities , Abraham Lincoln became one of the greatest intellectuals in the world .",Abraham Lincoln,0
402,Carmen obtained the spare part .,the spare part,1
403,This needs mending the shoe .,the shoe,0
404,Some people yell at the dogs .,Some people,1
405,Alice typed the letter .,the letter,1
406,The Dodgers beat the Red Sox and were beaten by the Giants .,The Dodgers,1
407,Benjamin gave the cloak to Lee .,the cloak,1
408,New York was slept in .,New York,0
409,Through the hall there echoed a loud cry .,the hall,1
410,for discussion of the same phenomenon in Russian .,discussion of the same phenomenon in Russian,1
411,Most boys did not laugh .,Most boys,1
412,How many did you buy of those pies at the fair ?,those pies,1
413,I detached the handle and the box .,the handle and the box,0
414,That the march should go ahead and that it should be cancelled has been argued by different people at different times .,the march,0
415,"It is important for the more you to eat , the more careful for you to be .",the more you to eat,0
416,I pushed against the table .,the table,1
417,I gave it to Pete to take to the fair .,the fair,1
418,Over the fort fluttered a large flag .,the fort,1
419,Bill cooked supper and washed the dishes .,the dishes,1
420,Mary has more friends than just Bill and Pete .,more friends than just Bill and Pete,1
421,Bill cooked the rice .,the rice,1
422,Has not the potion worked,the potion,0
423,The students drank too much beer last night .,The students,1
424,He ' s enough of the coward to pull the trigger .,the coward,0
425,Cheryl stood the books next to the magazines .,the books,1
426,To the washroom kissed the Blarney stone .,the washroom,0
427,My brother and few Americans meet in Vienna .,My brother and few Americans,0
428,Would the men each have been working ?,the men,1
429,Neither Von Karajan ' s recording of Beethoven ' s 6 th on Columbia nor Klemperer ' s on Angel has the right tempo .,Neither Von Karajan ' s recording of Beethoven ' s 6 th on Columbia nor Klemperer ' s on Angel,1
430,John put under the bathtub .,the bathtub,0
431,A large dog chased a small cat .,A large dog,1
432,Why can ' t the man who usually cuts the grass do so today ?,the man who usually cuts the grass,1
433,I owe it to you that the jury acquitted me .,the jury,1
434,Don swatted the mosquito with the newspaper .,the mosquito,1
435,How do you think that Mary solved the problem ?,the problem,1
436,John looked up the meaning of ` chanson ' .,the meaning of ` chanson ',1
437,He will indeed not endorse the treaty .,the treaty,0
438,They found pictures of themselves .,pictures of themselves,1
439,Her stepmother always clad her in black .,Her stepmother,0
440,A loud cry echoed through the hall .,A loud cry,1
441,We talked about that he had worked at the White House .,the White House,0
442,List associates of each defendant who speaks Spanish .,List associates,1
443,The claim you won ' t need it is being made by Jack .,The claim you won ' t need it,0
444,"Whenever Russia has made a major political blunder , the U . S . has too .",the U . S .,1
445,Rome ' s destruction of Carthage was horrific .,Rome ' s destruction of Carthage,1
446,Fred gave the ball under Molly .,the ball,0
447,"It ' s we go to the meeting , that Sally will tell us when .",the meeting,0
448,The president Fred voted for has resigned .,The president Fred voted for,1
449,John placed Kim behind the garage .,the garage,1
450,Bill rolled the ball down the hill .,the ball,1
451,Paula swatted the cloth against the fly .,the cloth,0
452,The children are seen in the yard .,The children,1
453,Jennie smiled the sandwich .,the sandwich,0
454,You and Kerry have outdone yourselves .,You and Kerry,1
455,I admired his honesty .,his honesty,1
456,The man arrived on the train was my brother .,The man arrived on the train,0
457,Gas escaped the tube .,the tube,1
458,Is whether he played the piano known ?,the piano,0
459,Michelle kept the desk with the papers .,the desk,0
460,Our love they .,Our love,1
461,Under the bed is a safe place to hide .,the bed,1
462,Bill not destroyed the world .,the world,0
463,I know a man who John is as tall as is .,a man who John is as tall as is,0
464,"I said that my father , he was tight as an owl .",my father,1
465,"It is the folks up at corporate headquarters who the sooner you solve this problem , the more easily you ' ll satisfy .","the folks up at corporate headquarters who the sooner you solve this problem , the more easily you ' ll satisfy",0
466,"Kim went to the store , and then Lou .",the store,1
467,"The more he eats , the poorer he knows a woman that gets .",a woman that gets,0
468,Zeke ate and cooked the chili .,the chili,1
469,Mary wrote a letter to him last year .,last year,1
470,Carla shoveled the snow from near the bushes .,the snow,1
471,Some of them made as many errors as Joan .,Some of them,1
472,"Joan said she talked to the students , but Fred couldn ' t figure out who .",the students,0
473,The oak developed out of a maple .,The oak,1
474,Smith threw the first base the ball .,the first base,0
475,Toms drives the way that that man does .,the way that that man does,1
476,Mira blamed Terry for the accident .,the accident,1
477,The horizon was appeared on by a pirate ship .,The horizon,0
478,He admires every man .,every man,1
479,Many people were there playing on the beach,Many people,0
480,No vampire slept .,No vampire,1
481,I mixed the sugar into the butter .,the sugar,1
482,The chicken was eaten .,The chicken,1
483,The cup emptied with water .,The cup,0
484,He bought a bench on which to sit .,a bench on which to sit,1
485,He will put the chair between some table and some sofa .,the chair,1
486,The boys and the girls seems happy .,The boys and the girls,0
487,"Flo desperately wants , though she doesn ' t really expect , the Miami Dolphins to be in the play - offs .",the Miami Dolphins,1
488,Peter is some disgruntled old pigs in those ditches .,some disgruntled old pigs in those ditches,0
489,Susan begged to be allowed to sing in the concert .,the concert,1
490,Tamara poured water over the flowers .,the flowers,1
491,He baked Tom the bread last night .,Tom the bread,1
492,I gave Leah the box .,the box,1
493,"During the early evening , Saturn can be found in the north , while Jupiter rises in the east .",the early evening,1
494,Ellen said about the present conditions .,the present conditions,0
495,Carol cut the whole wheat bread .,the whole wheat bread,1
496,Smith was scribbling his notes .,his notes,1
497,The president was hoping for a good cake .,The president,1
498,That Chris knew the answer occurred to Pat .,That Chris,1
499,Benjamin gave the cloak 0 and sent the book to Lee,the book,1
